epoch,train_loss,inner_val_loss,inner_val_macro_auc
1,0.5726518005132675,0.804395341873169,0.8472821397756687
2,0.3766149327158928,0.7638885736465454,0.8559102674719585
3,0.31692704036831854,0.5287929236888885,0.8705780845556513
4,0.26368300169706343,0.550044959783554,0.8826574633304572
5,0.26858310848474504,0.5617474257946015,0.8343399482312338
6,0.21856221035122872,0.5927068710327148,0.8464193270060398
7,0.21543611958622932,0.6225000619888306,0.8274374460742019
8,0.20697738230228424,0.621617603302002,0.8317515099223468
9,0.21180405765771865,0.7236370801925659,0.8464193270060396
10,0.2245040126144886,0.7520126342773438,0.8248490077653149
11,0.21092760264873506,0.6144532561302185,0.8472821397756687
12,0.20004406645894052,0.6062581837177277,0.8481449525452978
13,0.19747297316789628,0.6098506331443787,0.8360655737704918
14,0.19803294762969018,0.605673611164093,0.8524590163934426
