AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,failed_sample_id,kind,exposure_ev,p_scale,appearance,variable_isolation,valid_pixel_count,high_clip_element_fraction,high_clip_pixel_any_fraction,high_clip_pixel_all_fraction,low_clip_element_fraction,low_clip_pixel_any_fraction,low_clip_pixel_all_fraction,R_high_clip_fraction,R_low_clip_fraction,G_high_clip_fraction,G_low_clip_fraction,B_high_clip_fraction,B_low_clip_fraction,finite,nonfinite_count
True,True,True,True,L024_A1,appearance_reference,0.0,1.0,appearance0,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,exposure,-0.5,1.0,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,exposure,0.0,1.0,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,exposure,0.5,1.0,original,exposure_specular_or_appearance_only,65536,0.17864481608072916,0.5359344482421875,0.0,0.0,0.0,0.0,0.5359344482421875,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,exposure,0.46812571243388923,1.0,original,exposure_specular_or_appearance_only,65536,0.1612396240234375,0.4837188720703125,0.0,0.0,0.0,0.0,0.4837188720703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,specular,0.46812571243388923,0.0,original,exposure_specular_or_appearance_only,65536,0.1612396240234375,0.4837188720703125,0.0,0.0,0.0,0.0,0.4837188720703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,specular,0.46812571243388923,0.25,original,exposure_specular_or_appearance_only,65536,0.1612396240234375,0.4837188720703125,0.0,0.0,0.0,0.0,0.4837188720703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,specular,0.46812571243388923,0.5,original,exposure_specular_or_appearance_only,65536,0.1612396240234375,0.4837188720703125,0.0,0.0,0.0,0.0,0.4837188720703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,specular,0.46812571243388923,0.75,original,exposure_specular_or_appearance_only,65536,0.1612396240234375,0.4837188720703125,0.0,0.0,0.0,0.0,0.4837188720703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,specular,0.46812571243388923,1.0,original,exposure_specular_or_appearance_only,65536,0.1612396240234375,0.4837188720703125,0.0,0.0,0.0,0.0,0.4837188720703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,joint,-0.5,0.0,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,joint,-0.5,0.25,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
