strategy,variant,model,fold_mean_val_macro_auc,fold_std_val_macro_auc,fold_min_val_macro_auc,fold_max_val_macro_auc,fold_mean_train_macro_auc,fold_mean_generalization_gap_macro_auc,fold_std_generalization_gap_macro_auc,pooled_val_macro_auc,pooled_val_macro_f1,pooled_val_accuracy,pooled_val_balanced_accuracy,pooled_val_auc_normal,pooled_val_auc_mild,pooled_val_auc_severe,pooled_val_recall_normal,pooled_val_recall_mild,pooled_val_recall_severe,pooled_train_macro_auc_repeated_outer_train,mean_best_epoch,min_best_epoch,max_best_epoch,mean_validation_drop,mean_training_time_seconds,max_peak_gpu_memory_bytes,trainable_parameter_count,total_parameter_count,trainable_parameter_ratio,bootstrap_used,significance_test_used,delta_vs_full_fold_mean_val_macro_auc,delta_vs_full_pooled_val_macro_auc,delta_vs_full_gap
full,global_only,G0,0.7010958795895224,0.040016426701224586,0.6488706962514953,0.7522175435046684,0.9946011929338254,0.2935053133443032,0.032297317098874546,0.6927289430066761,0.5077556188667299,0.506,0.5296845276757219,0.8157876905702993,0.6120229099485008,0.6503762285012284,0.6434782608695652,0.4388185654008439,0.5067567567567568,0.9983256093129297,14.8,2,28,0.0324629819865266,24.693593740000097,,11178051.0,11178051.0,1.0,False,False,0.0,0.0,0.0
full,global_stage2a,G-A,0.7097511114555397,0.022115331887858688,0.6742275670242365,0.7344857358728065,0.9731707572875491,0.26341964583200944,0.06222568136239821,0.6984729422874588,0.513584225452977,0.522,0.5216827724807912,0.8500734048560136,0.6200766873626284,0.6252687346437347,0.6347826086956522,0.5654008438818565,0.36486486486486486,0.9924063195205357,6.4,1,10,0.061611401892724696,16.431603639999867,,11178072.0,11178072.0,1.0,False,False,0.0,0.0,0.0
frozen_backbone,global_only,G0,0.6637682259327342,0.028283414053537334,0.6424379334712186,0.7095236608765495,0.7293400107449188,0.06557178481218465,0.03359823617529244,0.661623035650491,0.46534402947258857,0.468,0.49032271126382293,0.797922077922078,0.5875727968426625,0.5993742321867321,0.6782608695652174,0.4345991561181435,0.3581081081081081,0.7283312755059379,45.0,39,50,0.0016739828141919323,118.3580615399973,176319488.0,1539.0,11178051.0,0.00013768053124824713,False,False,-0.03732765365678814,-0.031105907356185125,-0.22793352853211854
frozen_backbone,global_stage2a,G-A,0.660262378402453,0.03161611145853722,0.6306104823213371,0.7135527783679719,0.7326259969383269,0.07236361853587384,0.043014660906649065,0.6591422982689362,0.45283534769488715,0.456,0.4720856244246448,0.7888424618859402,0.5851983764098121,0.6033860565110565,0.6260869565217392,0.4388185654008439,0.35135135135135137,0.7312402901379217,47.0,35,50,0.0005054615153834652,131.33679149999662,176322048.0,1560.0,11178072.0,0.00013955895077433748,False,False,-0.04948873305308665,-0.0393306440185226,-0.1910560272961356
partial_layer4,global_only,G0,0.6875519789641558,0.03153879681094749,0.6373544163502617,0.7156997213826193,0.9764001903737223,0.2888482114095664,0.03211918371379871,0.6768293137061873,0.48274724134801156,0.488,0.4969270040541367,0.8009486166007905,0.5922735075644543,0.637265816953317,0.6347826086956522,0.4978902953586498,0.3581081081081081,0.9869250363318148,16.6,6,31,0.009513233127488797,60.1405536199949,277601280.0,8395267.0,11178051.0,0.7510492661019349,False,False,-0.01354390062536659,-0.015899629300488827,-0.004657101934736785
partial_layer4,global_stage2a,G-A,0.6823306411639042,0.035997127221296825,0.6210456947686264,0.7092471044586096,0.9862504726660284,0.3039198315021242,0.023093311681644996,0.6769012871019893,0.4770500695048594,0.482,0.48992291686292794,0.8045623941276115,0.592177247276636,0.6339642199017199,0.6086956521739131,0.48945147679324896,0.3716216216216216,0.9915408546618613,13.4,8,19,0.009284620218071993,56.23624268001149,277603840.0,8395288.0,11178072.0,0.7510497338002475,False,False,-0.027420470291635524,-0.02157165518546955,0.04050018567011476
