strategy,ga_minus_g0_fold_mean_val_macro_auc,ga_minus_g0_pooled_val_macro_auc,ga_minus_g0_fold_mean_generalization_gap_macro_auc,ga_minus_g0_pooled_val_balanced_accuracy,ga_minus_g0_pooled_val_macro_f1,ga_minus_g0_pooled_val_auc_normal,ga_minus_g0_pooled_val_auc_mild,ga_minus_g0_pooled_val_auc_severe,ga_minus_g0_pooled_val_recall_normal,ga_minus_g0_pooled_val_recall_mild,ga_minus_g0_pooled_val_recall_severe,ga_better_fold_count
full,0.008655231866017354,0.00574399928078273,-0.030085667512293746,-0.008001755194930738,0.005828606586247065,0.03428571428571425,0.008053777414127605,-0.02510749385749378,-0.008695652173912993,0.1265822784810126,-0.14189189189189194,3
frozen_backbone,-0.0035058475302811587,-0.002480737381554743,0.006791833723689189,-0.01823708683917813,-0.012508681777701425,-0.009079616036137828,-0.0023744204328504104,0.004011824324324342,-0.05217391304347818,0.004219409282700426,-0.006756756756756743,3
partial_layer4,-0.00522133780025158,7.197339580200524e-05,0.015071620092557803,-0.007004087191208763,-0.00569717184315216,0.003613777526821016,-9.626028781828389e-05,-0.0033015970515970494,-0.02608695652173909,-0.008438818565400852,0.013513513513513487,1
