high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,attempt,appearance_seed,exposure_ev,S_mean,P_mean,P_max
0.0,0.15413870246085012,0,False,False,0.0,0.0,0.0,0.0,0.461996644295302,0.0,1,4286210045548087870,-0.04082757508842855,1.0,0.00024529866641387343,0.025241397321224213
0.0,0.14724552572706934,0,False,False,0.0,0.0,0.0,0.0,0.4413590604026846,0.0,2,12144698555681728694,0.07717077509718018,1.0,0.0002730504493229091,0.029637236148118973
0.0,0.13400447427293066,0,False,False,0.0,0.0,0.0,0.0,0.40155201342281877,0.0,3,13543458578857933736,-0.2031807978110401,1.0,0.0009447257034480572,0.05705488845705986
0.0,0.15441834451901565,0,False,False,0.0,0.0,0.0,0.0,0.4629194630872483,0.0,4,5805454314834015796,0.0558628687389251,1.0,0.00021695546456612647,0.021201929077506065
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019295302013422,0.0,5,10827442348568889344,-0.27303213067082704,1.0,0.00023804526426829398,0.036141328513622284
0.0,0.16259787472035794,0,False,False,0.0,0.0,0.0,0.0,0.4873322147651007,0.0,6,16780657471823359430,-0.31643870247509076,1.0,0.00038063107058405876,0.0624852329492569
0.0,0.15116051454138701,0,False,False,0.0,0.0,0.0,0.0,0.45306208053691277,0.0,7,10187776467361643801,0.24339109606338205,1.0,0.0003327909216750413,0.022296713665127754
0.0,0.12807606263982102,0,False,False,0.0,0.0,0.0,0.0,0.3839765100671141,0.0,8,4219747814956848488,-0.09811265885338011,1.0,0.00033914195955730975,0.023732967674732208
0.0,0.16750559284116331,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,9,16955958792051829935,-0.2389083855886977,1.0,0.0,0.0
0.0,0.15608221476510067,0,False,False,0.0,0.0,0.0,0.0,0.4677852348993289,0.0,10,2984918213272693846,-0.36165659797187744,0.9999999403953552,5.379073627409525e-05,0.021277552470564842
0.0,0.1451761744966443,0,False,False,0.0,0.0,0.0,0.0,0.43523489932885906,0.0,11,17357571937665334148,0.11145008973468351,1.0,0.0005299923941493034,0.07838249206542969
0.0,0.1644854586129754,0,False,False,0.0,0.0,0.0,0.0,0.49307885906040266,0.0,12,5182029616138825082,-0.0868659253440095,1.0,0.0003605983220040798,0.036494772881269455
0.0,0.1641219239373602,0,False,False,0.0,0.0,0.0,0.0,0.49186241610738257,0.0,13,15495196983995058011,-0.3522465032710599,1.0,0.00037405238253995776,0.05031469091773033
0.0,0.16740771812080538,0,False,False,0.0,0.0,0.0,0.0,0.5018456375838927,0.0,14,4395895788764747977,0.04470939688758935,1.0,0.00030734550091437995,0.05546915531158447
0.0,0.16744966442953022,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,15,7597135928298078873,0.18970638577206866,0.9999999403953552,0.0,0.0
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,16,6397386625083688512,0.25375474790068697,1.0,0.0,0.0
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,17,4033189020386559609,-0.32297491583841126,1.0,0.0,0.0
0.0,0.13309563758389262,0,False,False,0.0,0.0,0.0,0.0,0.39886744966442955,0.0,18,11467243880455255859,-0.05767542014782473,1.0,0.0006752203335054219,0.05684337392449379
0.0,0.16325503355704699,0,False,False,0.0,0.0,0.0,0.0,0.48913590604026846,0.0,19,4372933344626109149,-0.44612550250958816,1.0,0.00036558235296979547,0.058002837002277374
0.0,0.14577740492170022,0,False,False,0.0,0.0,0.0,0.0,0.43695469798657716,0.0,20,4597732384688253478,0.11403266089972297,1.0,0.0002826895215548575,0.05246298015117645
0.0,0.16641498881431768,0,False,False,0.0,0.0,0.0,0.0,0.49878355704697985,0.0,21,7925831479457768666,0.019435763916291204,1.0,0.00019990150758530945,0.06573709100484848
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,22,9330311082062875927,0.21731911353288913,1.0,0.00012110913667129353,0.01773803122341633
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,23,7824010533886259847,-0.23308651111614348,1.0,0.0,0.0
0.0,0.12520973154362416,0,False,False,0.0,0.0,0.0,0.0,0.37533557046979865,0.0,24,8753989373023572083,-0.09505092324694447,1.0,0.0007467909017577767,0.06251998990774155
0.0,0.13810123042505593,0,False,False,0.0,0.0,0.0,0.0,0.4137164429530201,0.0,25,17146032757065321046,-0.30691186259955683,1.0,0.0003581969649530947,0.03443654999136925
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,26,5061278990938660281,-0.17307375565194333,1.0,0.0,0.0
0.0,0.1643596196868009,0,False,False,0.0,0.0,0.0,0.0,0.49278523489932885,0.0,27,18204428958054813700,0.06690054085993835,0.9999999403953552,0.00021475000539794564,0.03688438981771469
0.0,0.12869127516778522,0,False,False,0.0,0.0,0.0,0.0,0.3856543624161074,0.0,28,242466422682223274,-0.40070463615206814,1.0,0.0009608842665329576,0.07855361700057983
0.0,0.16714205816554809,0,False,False,0.0,0.0,0.0,0.0,0.5008808724832214,0.0,29,5385481835795242042,-0.4401737338263088,0.9999999403953552,0.00019873215933330357,0.07102784514427185
