left,right,contrast,fold_count,statistical_test,bootstrap,mean_delta_accuracy,std_delta_accuracy_ddof1,median_delta_accuracy,min_delta_accuracy,max_delta_accuracy,positive_folds_accuracy,right_better_folds_accuracy,left_better_folds_accuracy,tie_folds_accuracy,mean_delta_balanced_accuracy,std_delta_balanced_accuracy_ddof1,median_delta_balanced_accuracy,min_delta_balanced_accuracy,max_delta_balanced_accuracy,positive_folds_balanced_accuracy,right_better_folds_balanced_accuracy,left_better_folds_balanced_accuracy,tie_folds_balanced_accuracy,mean_delta_macro_precision,std_delta_macro_precision_ddof1,median_delta_macro_precision,min_delta_macro_precision,max_delta_macro_precision,positive_folds_macro_precision,right_better_folds_macro_precision,left_better_folds_macro_precision,tie_folds_macro_precision,mean_delta_macro_recall,std_delta_macro_recall_ddof1,median_delta_macro_recall,min_delta_macro_recall,max_delta_macro_recall,positive_folds_macro_recall,right_better_folds_macro_recall,left_better_folds_macro_recall,tie_folds_macro_recall,mean_delta_macro_f1,std_delta_macro_f1_ddof1,median_delta_macro_f1,min_delta_macro_f1,max_delta_macro_f1,positive_folds_macro_f1,right_better_folds_macro_f1,left_better_folds_macro_f1,tie_folds_macro_f1,mean_delta_macro_auc,std_delta_macro_auc_ddof1,median_delta_macro_auc,min_delta_macro_auc,max_delta_macro_auc,positive_folds_macro_auc,right_better_folds_macro_auc,left_better_folds_macro_auc,tie_folds_macro_auc,mean_delta_auc_normal,std_delta_auc_normal_ddof1,median_delta_auc_normal,min_delta_auc_normal,max_delta_auc_normal,positive_folds_auc_normal,right_better_folds_auc_normal,left_better_folds_auc_normal,tie_folds_auc_normal,mean_delta_auc_mild,std_delta_auc_mild_ddof1,median_delta_auc_mild,min_delta_auc_mild,max_delta_auc_mild,positive_folds_auc_mild,right_better_folds_auc_mild,left_better_folds_auc_mild,tie_folds_auc_mild,mean_delta_auc_severe,std_delta_auc_severe_ddof1,median_delta_auc_severe,min_delta_auc_severe,max_delta_auc_severe,positive_folds_auc_severe,right_better_folds_auc_severe,left_better_folds_auc_severe,tie_folds_auc_severe,mean_delta_severe_vs_rest_auc,std_delta_severe_vs_rest_auc_ddof1,median_delta_severe_vs_rest_auc,min_delta_severe_vs_rest_auc,max_delta_severe_vs_rest_auc,positive_folds_severe_vs_rest_auc,right_better_folds_severe_vs_rest_auc,left_better_folds_severe_vs_rest_auc,tie_folds_severe_vs_rest_auc,mean_delta_normal_vs_abnormal_auc,std_delta_normal_vs_abnormal_auc_ddof1,median_delta_normal_vs_abnormal_auc,min_delta_normal_vs_abnormal_auc,max_delta_normal_vs_abnormal_auc,positive_folds_normal_vs_abnormal_auc,right_better_folds_normal_vs_abnormal_auc,left_better_folds_normal_vs_abnormal_auc,tie_folds_normal_vs_abnormal_auc,mean_delta_recall_normal,std_delta_recall_normal_ddof1,median_delta_recall_normal,min_delta_recall_normal,max_delta_recall_normal,positive_folds_recall_normal,right_better_folds_recall_normal,left_better_folds_recall_normal,tie_folds_recall_normal,mean_delta_recall_mild,std_delta_recall_mild_ddof1,median_delta_recall_mild,min_delta_recall_mild,max_delta_recall_mild,positive_folds_recall_mild,right_better_folds_recall_mild,left_better_folds_recall_mild,tie_folds_recall_mild,mean_delta_recall_severe,std_delta_recall_severe_ddof1,median_delta_recall_severe,min_delta_recall_severe,max_delta_recall_severe,positive_folds_recall_severe,right_better_folds_recall_severe,left_better_folds_recall_severe,tie_folds_recall_severe,mean_delta_train_val_auc_gap,std_delta_train_val_auc_gap_ddof1,median_delta_train_val_auc_gap,min_delta_train_val_auc_gap,max_delta_train_val_auc_gap,positive_folds_train_val_auc_gap,right_better_folds_train_val_auc_gap,left_better_folds_train_val_auc_gap,tie_folds_train_val_auc_gap
o_mask,o_raw,o_raw - o_mask,5,not performed,not performed,0.10800000000000001,0.064187226143524873,0.089999999999999969,0.049999999999999989,0.19,5,5,0,0,0.1241056510751716,0.072421406783978973,0.16445677870284703,0.031832665227669865,0.18978312262308555,5,5,0,0,0.19403308555152657,0.086646338644952983,0.22542412642476017,0.047504757263529207,0.26586213559782323,5,5,0,0,0.1241056510751716,0.072421406783978973,0.16445677870284703,0.031832665227669865,0.18978312262308555,5,5,0,0,0.24066137594545139,0.053083749852269817,0.2602923927418187,0.17403429382374666,0.29843061422008788,5,5,0,0,0.14984462539021576,0.036165483601858513,0.17127196617854024,0.10287069789783915,0.18366980405449329,5,5,0,0,0.26883116883116881,0.038452602749825406,0.26990400903444378,0.21823828345567475,0.32411067193675891,5,5,0,0,0.11969056552306249,0.079635777486418854,0.16499397832195906,0.0064231232436772201,0.18549679487179493,5,5,0,0,0.061012141816415767,0.011640604098370847,0.061904761904761907,0.048095238095238191,0.074550752792617803,5,5,0,0,0.061012141816415767,0.011640604098370847,0.061904761904761907,0.048095238095238191,0.074550752792617803,5,5,0,0,0.26883116883116881,0.038452602749825406,0.26990400903444378,0.21823828345567475,0.32411067193675891,5,5,0,0,0.60869565217391308,0.1267598238009848,0.56521739130434778,0.52173913043478259,0.82608695652173914,5,5,0,0,0.20523049645390068,0.32013060706247731,0.34042553191489361,-0.36170212765957455,0.39583333333333331,4,4,1,0,-0.44160919540229882,0.45188526271529156,-0.53333333333333333,-0.76666666666666661,0.33333333333333331,1,1,4,0,0.028775051790857632,0.043726037004184377,0.0063736524721867971,-0.014399717974741266,0.083375100618721942,4,4,1,0
o_mask,o_stage2a,o_stage2a - o_mask,5,not performed,not performed,0.032000000000000008,0.0521536192416212,0.010000000000000009,-0.029999999999999971,0.10000000000000003,4,4,1,0,0.0025154532662746585,0.064780315817015571,-0.0016450108279193465,-0.072689896186658443,0.076883544043580998,2,2,3,0,0.10175720022461283,0.083939010942511952,0.14900767334525694,0.0030822788306729687,0.17964601564710084,5,5,0,0,0.0025154532662746585,0.064780315817015571,-0.0016450108279193465,-0.072689896186658443,0.076883544043580998,2,2,3,0,0.14493276906979058,0.044794137805527115,0.14085679325383996,0.10161951338421929,0.20498262646228199,5,5,0,0,0.013997142087744963,0.060978442147502539,0.048340757497072895,-0.07951931577557747,0.065978479424101066,3,3,2,0,-0.027498588368153574,0.059601497150724124,-0.035290796160361459,-0.11180124223602483,0.036702428006775811,2,2,3,0,0.038894024899895983,0.097974651392833081,0.072661581694098754,-0.10437575270975519,0.13100961538461542,3,3,2,0,0.030595989731492433,0.044860312013941479,0.01952380952380961,-0.022380952380952335,0.088571428571428634,4,4,1,0,0.030595989731492433,0.044860312013941479,0.01952380952380961,-0.022380952380952335,0.088571428571428634,4,4,1,0,-0.027498588368153574,0.059601497150724124,-0.035290796160361459,-0.11180124223602483,0.036702428006775811,2,2,3,0,0.22608695652173916,0.083632104615962377,0.21739130434782608,0.13043478260869565,0.34782608695652173,5,5,0,0,0.24352836879432621,0.29895898973165391,0.3125,-0.27659574468085113,0.45833333333333331,4,4,1,0,-0.46206896551724147,0.44982344123714973,-0.60000000000000009,-0.73333333333333339,0.33333333333333331,1,1,4,0,0.046950840560794529,0.070318090126746849,0.011545058847861722,-0.0084409407841165018,0.15519987333865737,3,3,2,0
o_mask,o_stage2b,o_stage2b - o_mask,5,not performed,not performed,0.043999999999999997,0.046151923036857306,0.049999999999999989,-0.020000000000000018,0.099999999999999978,4,4,1,0,0.015454852361053539,0.038991817693781398,0.032490492342481248,-0.028553808202281816,0.051588035769349339,3,3,2,0,0.10869545711128017,0.081164726002127568,0.13186876125020452,0.00058229813664595342,0.19898989898989899,5,5,0,0,0.015454852361053539,0.038991817693781398,0.032490492342481248,-0.028553808202281816,0.051588035769349339,3,3,2,0,0.15370002740670485,0.022382866557611524,0.15029048839728451,0.12229189169202895,0.17787860019521856,5,5,0,0,0.036393475074793444,0.072948263365659044,0.069599705813379487,-0.060494301475398582,0.10792462731853947,3,3,2,0,0.036645962732919278,0.096173142303524348,0.064370412196499194,-0.082439299830604107,0.16036137775268211,3,3,2,0,0.044748852278458873,0.11622193712899551,0.07346447209955842,-0.10999598554797269,0.16826923076923073,3,3,2,0,0.027785610213002208,0.045000723987545732,0.010952380952381047,-0.0048567265662942116,0.10714285714285721,4,4,1,0,0.027785610213002208,0.045000723987545732,0.010952380952381047,-0.0048567265662942116,0.10714285714285721,4,4,1,0,0.036645962732919278,0.096173142303524348,0.064370412196499194,-0.082439299830604107,0.16036137775268211,3,3,2,0,0.26956521739130435,0.16383864070797197,0.17391304347826086,0.13043478260869565,0.52173913043478271,5,5,0,0,0.26001773049645394,0.32771328684972206,0.38297872340425532,-0.31914893617021278,0.47916666666666669,4,4,1,0,-0.48321839080459766,0.45056342350389561,-0.62068965517241381,-0.86206896551724133,0.29999999999999999,1,1,4,0,0.02995229228471279,0.076613339341567124,-0.015502868156291316,-0.032758987844483611,0.13837281327530082,2,2,3,0
o_raw,o_stage2a,o_stage2a - o_raw,5,not performed,not performed,-0.075999999999999984,0.06228964600958975,-0.059999999999999998,-0.17999999999999999,-0.019999999999999962,0,0,5,0,-0.12159019780889695,0.061450783077865785,-0.10452256141432831,-0.22168082625353991,-0.062177244710977853,0,0,5,0,-0.092275885326913734,0.057088024770147849,-0.084350594737474471,-0.18542782638966421,-0.028968432477204376,0,0,5,0,-0.12159019780889695,0.061450783077865785,-0.10452256141432831,-0.22168082625353991,-0.062177244710977853,0,0,5,0,-0.095728606875660802,0.061067820749132189,-0.086709396790401627,-0.19681110083586856,-0.033177500569906704,0,0,5,0,-0.13584748330247079,0.026832011885103625,-0.12293120868146734,-0.18239001367341662,-0.11769132463039222,0,0,5,0,-0.29632975719932242,0.050086321181529336,-0.2874082439299831,-0.36589497459062675,-0.24788255223037825,0,0,5,0,-0.080796540623166505,0.022215631391111074,-0.081330128205128305,-0.11079887595343241,-0.054487179487179516,0,0,5,0,-0.030416152084923331,0.046687594036652458,-0.050476190476190452,-0.070476190476190526,0.026666666666666727,2,2,3,0,-0.030416152084923331,0.046687594036652458,-0.050476190476190452,-0.070476190476190526,0.026666666666666727,2,2,3,0,-0.29632975719932242,0.050086321181529336,-0.2874082439299831,-0.36589497459062675,-0.24788255223037825,0,0,5,0,-0.38260869565217387,0.089103919703996504,-0.34782608695652173,-0.47826086956521741,-0.30434782608695649,0,0,5,0,0.038297872340425532,0.097199674751473134,0.083333333333333315,-0.083333333333333315,0.14893617021276595,3,3,2,0,-0.020459770114942551,0.061953916362691624,0,-0.10344827586206901,0.034482758620689641,2,2,2,1,0.018175788769936897,0.03065221709273816,0.0059587771906247644,-0.004914573759141172,0.071824772719935426,4,4,1,0
o_raw,o_stage2b,o_stage2b - o_raw,5,not performed,not performed,-0.064000000000000001,0.027928480087537906,-0.070000000000000007,-0.090000000000000024,-0.029999999999999971,0,0,5,0,-0.10865079871411806,0.037518241032727447,-0.11286874293349769,-0.15729263028060431,-0.060386473429951681,0,0,5,0,-0.085337628440246394,0.039799369501383998,-0.093555365174555649,-0.13707202858738998,-0.043874404261284028,0,0,5,0,-0.10865079871411806,0.037518241032727447,-0.11286874293349769,-0.15729263028060431,-0.060386473429951681,0,0,5,0,-0.086961348538746527,0.034254178760931689,-0.096458175800031243,-0.12590777163045092,-0.050696488786998617,0,0,5,0,-0.1134511503154223,0.038944672126048435,-0.10244644519756663,-0.16336499937323773,-0.063347338860000768,0,0,5,0,-0.23218520609824958,0.079789447965860447,-0.24788255223037836,-0.33653303218520603,-0.1174477696216828,0,0,5,0,-0.074941713244603608,0.041583741687950621,-0.091529506222400636,-0.11641910879164991,-0.017227564102564208,0,0,5,0,-0.033226531603413559,0.044918489978836802,-0.055238095238095308,-0.063623118018455549,0.045238095238095299,1,1,4,0,-0.033226531603413559,0.044918489978836802,-0.055238095238095308,-0.063623118018455549,0.045238095238095299,1,1,4,0,-0.23218520609824958,0.079789447965860447,-0.24788255223037836,-0.33653303218520603,-0.1174477696216828,0,0,5,0,-0.33913043478260863,0.15186303649193897,-0.34782608695652173,-0.47826086956521735,-0.086956521739130377,0,0,5,0,0.054787234042553215,0.041232459159570585,0.042553191489361764,0,0.10638297872340424,4,4,0,1,-0.041609195402298862,0.21973482379078071,-0.033333333333333326,-0.37931034482758624,0.16666666666666669,2,2,3,0,0.0011772404938551583,0.035182430138935392,-0.0092750166040275195,-0.033551374699157588,0.054997712656578879,2,2,3,0
o_stage2a,o_stage2b,o_stage2b - o_stage2a,5,not performed,not performed,0.011999999999999988,0.054954526656136336,-0.020000000000000018,-0.030000000000000027,0.089999999999999969,2,2,3,0,0.01293939909477888,0.054215088824921688,-0.022884391137764415,-0.025295508274231659,0.094036315175745511,2,2,3,0,0.0069382568866673379,0.034332254766806201,-0.017138912095052417,-0.019047765100396685,0.048355797802274225,2,2,3,0,0.01293939909477888,0.054215088824921688,-0.022884391137764415,-0.025295508274231659,0.094036315175745511,2,2,3,0,0.0087672583369142743,0.044777012207601011,-0.018564901561811009,-0.02710402626706343,0.070903329205417642,2,2,3,0,0.022396332987048483,0.023255335758599994,0.019025014300178889,-0.0049450660639343003,0.059583869821466573,4,4,1,0,0.064144551101072853,0.08296034377623232,0.039525691699604737,1.1102230246251565e-16,0.20948616600790504,5,5,0,0,0.0058548273785628876,0.022683600971442938,0.00080289040545966639,-0.021634615384615252,0.037259615384615308,3,3,2,0,-0.0028103795184902247,0.039078872592550516,0.0067994171928120739,-0.067994171928120295,0.033333333333333381,3,3,2,0,-0.0028103795184902247,0.039078872592550516,0.0067994171928120739,-0.067994171928120295,0.033333333333333381,3,3,2,0,0.064144551101072853,0.08296034377623232,0.039525691699604737,1.1102230246251565e-16,0.20948616600790504,5,5,0,0,0.04347826086956523,0.20160040207599358,0,-0.13043478260869568,0.39130434782608703,1,1,2,2,0.01648936170212768,0.091633394513083735,-0.04166666666666663,-0.042553191489361708,0.16666666666666669,2,2,3,0,-0.021149425287356315,0.16168250981695823,-0.033333333333333326,-0.27586206896551724,0.13333333333333336,2,2,3,0,-0.016998548276081736,0.012546912568140349,-0.016827060063356547,-0.028636800940016416,0.0027528404217695979,1,1,4,0
