variant,fold,split_role,scale,feature,total_n,valid_n,missing_n,statistic_population,mean,std_ddof0,min,median,q1,q3,max,nonfinite,unavailable_filled_zero_n
o_mask,0,train,raw,forehead_available,400,400,0,all_cases,0.97499999999999998,0.1561249499599599,0,1,1,1,1,0,0
o_mask,0,train,standardized_model_input,forehead_available,400,400,0,all_cases,0.97499999999999998,0.1561249499599599,0,1,1,1,1,0,0
o_mask,0,val,raw,forehead_available,100,100,0,all_cases,0.95999999999999996,0.1959591794226542,0,1,1,1,1,0,0
o_mask,0,val,standardized_model_input,forehead_available,100,100,0,all_cases,0.95999999999999996,0.1959591794226542,0,1,1,1,1,0,0
o_raw,0,train,raw,cheek_mean_log2_y,400,400,0,all_cases,-1.9706568365919857,0.45790019395669879,-4.4573093916042916,-1.837152955180356,-2.244195595681246,-1.6444702115735073,-0.98864904885959803,0,0
o_raw,0,train,standardized_model_input,cheek_mean_log2_y,400,400,0,all_cases,1.7763568394002505e-17,1,-5.4305558019646858,0.29155672605863708,-0.59737637742762573,0.71235310516012618,2.1445891499780649,0,0
o_raw,0,train,raw,cheek_mean_log2_rg,400,400,0,all_cases,0.96342556079062935,0.1506582734796699,0.38897690337880753,0.95637006890220722,0.86620057011357976,1.0605165052439436,1.4927992180506124,0,0
o_raw,0,train,standardized_model_input,cheek_mean_log2_rg,400,400,0,all_cases,-7.3718808835110381e-16,1,-3.8129247345273671,-0.046831094804590197,-0.64533456033643755,0.64444482344619258,3.513737712727854,0,0
o_raw,0,train,raw,cheek_mean_log2_bg,400,400,0,all_cases,-0.58769971381236075,0.13679198110763649,-1.0548843422010488,-0.58496950916242163,-0.68104015353092895,-0.49062600186752992,-0.19672353384988661,0,0
o_raw,0,train,standardized_model_input,cheek_mean_log2_bg,400,400,0,all_cases,3.9968028886505636e-16,1,-3.415292509149916,0.019958806267970301,-0.68235315376507255,0.70964475518815084,2.8581805512037248,0,0
o_raw,0,train,raw,forehead_minus_cheek_log2_y,400,390,10,available_only,-0.029049678611134801,0.33632397058136182,-1.6423573811402985,-0.0189731928631875,-0.18720463256746231,0.1664465146747002,1.2722628297120335,0,0
o_raw,0,train,standardized_model_input,forehead_minus_cheek_log2_y,400,390,0,available_only,9.1095222533346178e-18,1,-4.7968858709072606,0.029960652910137001,-0.47024585753713771,0.58127344580258378,3.8692231959373857,0,10
o_raw,0,train,raw,forehead_minus_cheek_log2_rg,400,390,10,available_only,-0.051311617360791102,0.1162845598655048,-0.39252689382630113,-0.041351971061231702,-0.12415200615779361,0.024543769664495101,0.3962370708623289,0,0
o_raw,0,train,standardized_model_input,forehead_minus_cheek_log2_rg,400,390,0,available_only,0,1,-2.9343128344825922,0.085648914276140103,-0.62639776838171812,0.652325528969804,3.8487370012042574,0,10
o_raw,0,train,raw,forehead_minus_cheek_log2_bg,400,390,10,available_only,-0.13688323631354771,0.11905601912943919,-0.4281583056300497,-0.13475568189541409,-0.22542789903425009,-0.0489026996403518,0.1978571372089537,0,0
o_raw,0,train,standardized_model_input,forehead_minus_cheek_log2_bg,400,390,0,available_only,5.465713352000771e-17,1,-2.4465379528591811,0.0178701961789977,-0.74372268926979213,0.73898436481016805,2.8116207476966562,0,10
o_raw,0,train,raw,forehead_available,400,400,0,all_cases,0.97499999999999998,0.1561249499599599,0,1,1,1,1,0,0
o_raw,0,train,standardized_model_input,forehead_available,400,400,0,all_cases,0.97499999999999998,0.1561249499599599,0,1,1,1,1,0,0
o_raw,0,val,raw,cheek_mean_log2_y,100,100,0,all_cases,-1.9691757484253112,0.41839968472031908,-3.1188075638739177,-1.8932464576616987,-2.2966260437114028,-1.6260275446441828,-1.1436080685735359,0,0
o_raw,0,val,standardized_model_input,cheek_mean_log2_y,100,100,0,all_cases,0.0032345218155000999,0.91373554814411118,-2.5074257282155821,0.16905513461653501,-0.7118782901197942,0.75262971384631683,1.8061769331695443,0,0
