variant,class_index,class_name,feature,is_intercept,fold_count,coefficient_mean,coefficient_std_ddof1,coefficient_median,coefficient_min,coefficient_max,mean_abs_coefficient,positive_fold_count,negative_fold_count,zero_fold_count,sign_consistency_fraction
o_mask,0,normal,__intercept__,True,5,0.69419880972263093,0.19024813516074601,0.74992417463354943,0.44233988908671779,0.93343100485937525,0.69419880972263093,5,0,0,1
o_mask,0,normal,forehead_available,False,5,-0.71881522563234057,0.19718681591832676,-0.77775493815473418,-0.96196820447707565,-0.45565512882127168,0.71881522563234057,0,5,0,1
o_mask,1,mild,__intercept__,True,5,-0.19128292759016569,0.19536266339466832,-0.21065375997128211,-0.39649390199116352,0.11219391594594599,0.23616049396854408,1,4,0,0.80000000000000004
o_mask,1,mild,forehead_available,False,5,0.20093351606732363,0.19941725802547172,0.21893886560605069,-0.10682408890699931,0.41083262309028351,0.24366315163012336,4,1,0,0.80000000000000004
o_mask,2,severe,__intercept__,True,5,-0.50291588213247351,0.30861449875449359,-0.36179994674922522,-1.0456249208052888,-0.29812273648557502,0.50291588213247351,0,5,0,1
o_mask,2,severe,forehead_available,False,5,0.51788170956500446,0.31378091633770855,0.37335355747719517,0.30640327337749251,1.0687922933840834,0.51788170956500446,5,0,0,1
o_raw,0,normal,__intercept__,True,5,0.81795295075496699,0.1643041111280103,0.89322499047684201,0.56713638773506825,0.98418118015662204,0.81795295075496699,5,0,0,1
o_raw,0,normal,cheek_mean_log2_y,False,5,-0.44785051150909183,0.063378395601171852,-0.4514963664237151,-0.51922196063298898,-0.37367235981797298,0.44785051150909183,0,5,0,1
o_raw,0,normal,cheek_mean_log2_rg,False,5,0.16157719534077905,0.046701511622214621,0.13893846189322981,0.1234492044715771,0.23522491276387539,0.16157719534077905,5,0,0,1
o_raw,0,normal,cheek_mean_log2_bg,False,5,0.093662728289487268,0.017979424917007245,0.102651628998777,0.066094749702136094,0.1089675158141358,0.093662728289487268,5,0,0,1
o_raw,0,normal,forehead_minus_cheek_log2_y,False,5,-0.15758045256175968,0.058039580973555674,-0.15168485492931449,-0.2455479748830221,-0.092032743525207697,0.15758045256175968,0,5,0,1
o_raw,0,normal,forehead_minus_cheek_log2_rg,False,5,-0.33392336488027308,0.11531050352205777,-0.31860952942126908,-0.4582375880311409,-0.19146243791156969,0.33392336488027308,0,5,0,1
o_raw,0,normal,forehead_minus_cheek_log2_bg,False,5,-0.30806467332429799,0.045659056600213258,-0.32661271035658901,-0.36324605217054728,-0.2545404092079343,0.30806467332429799,0,5,0,1
o_raw,0,normal,forehead_available,False,5,-1.0299757484245053,0.17180678201248134,-1.1033947080385338,-1.2001698448978739,-0.77066712769298684,1.0299757484245053,0,5,0,1
o_raw,1,mild,__intercept__,True,5,-0.23459231087674492,0.23644017860907934,-0.24341169940732599,-0.48112922070974801,0.1411604480856663,0.29105649011101142,1,4,0,0.80000000000000004
o_raw,1,mild,cheek_mean_log2_y,False,5,0.22258678016508554,0.056418103693368721,0.24865598372553299,0.1218564131717649,0.25054762520981722,0.22258678016508554,5,0,0,1
o_raw,1,mild,cheek_mean_log2_rg,False,5,0.0023741642335687002,0.035362237730607288,-0.0056935084279476997,-0.038310327247328399,0.039878607896984199,0.028815748949341018,2,3,0,0.59999999999999998
o_raw,1,mild,cheek_mean_log2_bg,False,5,0.0087950907929465003,0.024791813755895394,0.0038753193610134998,-0.020620252510219501,0.046149935851240699,0.017807424093710458,3,2,0,0.59999999999999998
o_raw,1,mild,forehead_minus_cheek_log2_y,False,5,0.21496929267696899,0.044817474735580107,0.19787383455679211,0.16865621743985179,0.26690508823301512,0.21496929267696899,5,0,0,1
o_raw,1,mild,forehead_minus_cheek_log2_rg,False,5,0.39598498836151597,0.097209991373304286,0.39679255941797731,0.31209248836930342,0.55074241423782855,0.39598498836151597,5,0,0,1
o_raw,1,mild,forehead_minus_cheek_log2_bg,False,5,0.19015037499198167,0.021500925072135042,0.19363318237533089,0.16055347656551019,0.21359219596246351,0.19015037499198167,5,0,0,1
o_raw,1,mild,forehead_available,False,5,0.33281691957042281,0.23877400042964592,0.34580796331394942,-0.041880451303300703,0.58761256603538714,0.34956910009174308,4,1,0,0.80000000000000004
o_raw,2,severe,__intercept__,True,5,-0.58336063987822351,0.26358914536945843,-0.50305195944687531,-1.0403656531642071,-0.35696207723744988,0.58336063987822351,0,5,0,1
o_raw,2,severe,cheek_mean_log2_y,False,5,0.2252637313440064,0.052161013457214127,0.25181594664620888,0.1446465518457519,0.27056597690745582,0.2252637313440064,5,0,0,1
o_raw,2,severe,cheek_mean_log2_rg,False,5,-0.16395135957434817,0.026971523699878437,-0.16154537953186821,-0.19691458551654781,-0.1244339666808524,0.16395135957434817,0,5,0,1
o_raw,2,severe,cheek_mean_log2_bg,False,5,-0.10245781908243409,0.022599247697287151,-0.1122446855533773,-0.1220922606724274,-0.064368265754130294,0.10245781908243409,0,5,0,1
o_raw,2,severe,forehead_minus_cheek_log2_y,False,5,-0.057388840115209713,0.036248447745744872,-0.058925746869477998,-0.1066647292923948,-0.021357113349992799,0.057388840115209713,0,5,0,1
o_raw,2,severe,forehead_minus_cheek_log2_rg,False,5,-0.062061623481243292,0.060198262216177308,-0.078183029996709494,-0.12263094565422281,0.035670669896732399,0.076329891439936251,1,4,0,0.80000000000000004
o_raw,2,severe,forehead_minus_cheek_log2_bg,False,5,0.11791429833231612,0.028049836697726836,0.11503757681893211,0.090090126331016901,0.15747732788794949,0.11791429833231612,5,0,0,1
o_raw,2,severe,forehead_available,False,5,0.69715882885408198,0.25890886785587547,0.61255727886248146,0.476181135526001,1.1452751593418342,0.69715882885408198,5,0,0,1
