camera_name,illuminant_name,m,h,shading,specular,exposure,parameter_name,gradient_min,gradient_max,gradient_mean,gradient_abs_mean,all_finite,all_zero,gradcheck_status,dtype,status
Canon 5DMarkII,A,0.5,0.5,1.0,0.03,1.0,exposure,0.654996704097,0.654996704097,0.654996704097,0.654996704097,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.8,1.0,0.03,1.0,m,-0.554209916903,-0.554209916903,-0.554209916903,0.554209916903,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.8,1.0,0.03,1.0,h,-0.0330064132726,-0.0330064132726,-0.0330064132726,0.0330064132726,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.8,1.0,0.03,1.0,shading,0.313519888173,0.313519888173,0.313519888173,0.313519888173,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.8,1.0,0.03,1.0,specular,2.96827062454,2.96827062454,2.96827062454,2.96827062454,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.8,1.0,0.03,1.0,exposure,0.402568006909,0.402568006909,0.402568006909,0.402568006909,True,False,True,float64,PASS
Canon 5DMarkII,A,0.2,0.8,1.0,0.03,1.0,m,-2.21144721146,-2.21144721146,-2.21144721146,2.21144721146,True,False,True,float64,PASS
Canon 5DMarkII,A,0.2,0.8,1.0,0.03,1.0,h,-0.139945715293,-0.139945715293,-0.139945715293,0.139945715293,True,False,True,float64,PASS
Canon 5DMarkII,A,0.2,0.8,1.0,0.03,1.0,shading,1.00753445671,1.00753445671,1.00753445671,1.00753445671,True,False,True,float64,PASS
Canon 5DMarkII,A,0.2,0.8,1.0,0.03,1.0,specular,2.96827062454,2.96827062454,2.96827062454,2.96827062454,True,False,True,float64,PASS
Canon 5DMarkII,A,0.2,0.8,1.0,0.03,1.0,exposure,1.09658257545,1.09658257545,1.09658257545,1.09658257545,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.2,1.0,0.03,1.0,m,-0.606347416229,-0.606347416229,-0.606347416229,0.606347416229,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.2,1.0,0.03,1.0,h,-0.0488891613061,-0.0488891613061,-0.0488891613061,0.0488891613061,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.2,1.0,0.03,1.0,shading,0.337353776623,0.337353776623,0.337353776623,0.337353776623,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.2,1.0,0.03,1.0,specular,2.96827062454,2.96827062454,2.96827062454,2.96827062454,True,False,True,float64,PASS
Canon 5DMarkII,A,0.8,0.2,1.0,0.03,1.0,exposure,0.42640189536,0.42640189536,0.42640189536,0.42640189536,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.2,1.0,0.03,1.0,m,-2.38495923992,-2.38495923992,-2.38495923992,2.38495923992,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.2,1.0,0.03,1.0,h,-0.273791893657,-0.273791893657,-0.273791893657,0.273791893657,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.2,1.0,0.03,1.0,shading,0.977515733908,0.977515733908,0.977515733908,0.977515733908,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.2,1.0,0.03,1.0,specular,2.97996021027,2.97996021027,2.97996021027,2.97996021027,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.2,1.0,0.03,1.0,exposure,1.06691454022,1.06691454022,1.06691454022,1.06691454022,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.5,0.5,1.0,0.03,1.0,m,-0.979661349997,-0.979661349997,-0.979661349997,0.979661349997,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.5,0.5,1.0,0.03,1.0,h,-0.0936837885718,-0.0936837885718,-0.0936837885718,0.0936837885718,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.5,0.5,1.0,0.03,1.0,shading,0.461284583892,0.461284583892,0.461284583892,0.461284583892,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.5,0.5,1.0,0.03,1.0,specular,2.97996021027,2.97996021027,2.97996021027,2.97996021027,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.5,0.5,1.0,0.03,1.0,exposure,0.550683390201,0.550683390201,0.550683390201,0.550683390201,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.8,1.0,0.03,1.0,m,-0.463575138599,-0.463575138599,-0.463575138599,0.463575138599,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.8,1.0,0.03,1.0,h,-0.0381745100904,-0.0381745100904,-0.0381745100904,0.0381745100904,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.8,1.0,0.03,1.0,shading,0.237833922195,0.237833922195,0.237833922195,0.237833922195,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.8,1.0,0.03,1.0,specular,2.97996021027,2.97996021027,2.97996021027,2.97996021027,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.8,1.0,0.03,1.0,exposure,0.327232728503,0.327232728503,0.327232728503,0.327232728503,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.8,1.0,0.03,1.0,m,-2.0312849346,-2.0312849346,-2.0312849346,2.0312849346,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.8,1.0,0.03,1.0,h,-0.163404654807,-0.163404654807,-0.163404654807,0.163404654807,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.8,1.0,0.03,1.0,shading,0.852070884586,0.852070884586,0.852070884586,0.852070884586,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.8,1.0,0.03,1.0,specular,2.97996021027,2.97996021027,2.97996021027,2.97996021027,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.2,0.8,1.0,0.03,1.0,exposure,0.941469690894,0.941469690894,0.941469690894,0.941469690894,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.2,1.0,0.03,1.0,m,-0.527032512867,-0.527032512867,-0.527032512867,0.527032512867,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.2,1.0,0.03,1.0,h,-0.0611662512891,-0.0611662512891,-0.0611662512891,0.0611662512891,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.2,1.0,0.03,1.0,shading,0.266502925859,0.266502925859,0.266502925859,0.266502925859,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.2,1.0,0.03,1.0,specular,2.97996021027,2.97996021027,2.97996021027,2.97996021027,True,False,True,float64,PASS
Canon 5DMarkII,FL2,0.8,0.2,1.0,0.03,1.0,exposure,0.355901732167,0.355901732167,0.355901732167,0.355901732167,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.2,1.0,0.03,1.0,m,-2.45322053171,-2.45322053171,-2.45322053171,2.45322053171,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.2,1.0,0.03,1.0,h,-0.236890830008,-0.236890830008,-0.236890830008,0.236890830008,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.2,1.0,0.03,1.0,shading,1.03596084674,1.03596084674,1.03596084674,1.03596084674,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.2,1.0,0.03,1.0,specular,2.98439216252,2.98439216252,2.98439216252,2.98439216252,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.2,1.0,0.03,1.0,exposure,1.12549261161,1.12549261161,1.12549261161,1.12549261161,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.5,0.5,1.0,0.03,1.0,m,-1.03994295177,-1.03994295177,-1.03994295177,1.03994295177,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.5,0.5,1.0,0.03,1.0,h,-0.0812378856284,-0.0812378856284,-0.0812378856284,0.0812378856284,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.5,0.5,1.0,0.03,1.0,shading,0.506795195555,0.506795195555,0.506795195555,0.506795195555,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.5,0.5,1.0,0.03,1.0,specular,2.98439216252,2.98439216252,2.98439216252,2.98439216252,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.5,0.5,1.0,0.03,1.0,exposure,0.596326960431,0.596326960431,0.596326960431,0.596326960431,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.8,0.8,1.0,0.03,1.0,m,-0.508963985533,-0.508963985533,-0.508963985533,0.508963985533,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.8,0.8,1.0,0.03,1.0,h,-0.0339835712377,-0.0339835712377,-0.0339835712377,0.0339835712377,True,False,True,float64,PASS
