model_id,model_display_name,input_view,backbone,input_width,input_height,source_config,source_experiment_dir,loss,label_smoothing_alpha,trainability_strategy,n_oof_samples,n_folds
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
lip_roi_resnet34,Lip ROI ResNet34,lip_roi,resnet34,224,224,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
lip_roi_resnet50,Lip ROI ResNet50,lip_roi,resnet50,224,224,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
whole_face_sh93_resnet18,Whole-face SH93 ResNet18,whole_face_sh93,resnet18,256,320,config\train\R3DPR\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
whole_face_sh93_resnet34,Whole-face SH93 ResNet34,whole_face_sh93,resnet34,256,320,config\train\R3DPR\r3dpr_resnet34_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
whole_face_sh93_resnet50,Whole-face SH93 ResNet50,whole_face_sh93,resnet50,256,320,config\train\R3DPR\r3dpr_resnet50_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,500,5
