fold,split_role,target,representation,HONOR/BVL-AN00_valid_n,HONOR/BVL-AN00_mean,HONOR/BVL-AN00_median,HONOR/BVL-AN00_std,Xiaomi/M2006J10C_valid_n,Xiaomi/M2006J10C_mean,Xiaomi/M2006J10C_median,Xiaomi/M2006J10C_std,mean_difference_honor_minus_xiaomi,median_difference_honor_minus_xiaomi,pooled_std,standardized_mean_difference
0,train,cheek_mean_log2_y,raw,221,-1.7112233786775932,-1.6950936471168048,0.21390263857163519,179,-2.2909629494360124,-2.2927970446649488,0.47737479409362621,0.5797395707584192,0.59770339754814406,0.35666583487654069,1.6254418395838084
0,train,cheek_mean_log2_y,calibrated,221,-1.968059840091428,-1.967719526853984,0.19652923243930839,179,-1.973863184226752,-1.9310756814383121,0.45834362816859398,0.0058033441353235,-0.036643845415671797,0.33956543144545592,0.0170905033254415
0,train,cheek_mean_log2_rg,raw,221,0.91088689978590476,0.91054808957624123,0.1218881319180208,179,1.0282917288467419,1.0355538024207638,0.1580693885988316,-0.117404829060837,-0.1250057128445225,0.13923673399706801,-0.84320298020857976
0,train,cheek_mean_log2_rg,calibrated,221,0.96289963510675658,0.96206657260676676,0.1218326923405406,179,0.96407488803161245,0.97307642650206405,0.15480428543526989,-0.0011752529248556999,-0.011009853895297199,0.13755914553888079,-0.0085436189666034997
0,train,cheek_mean_log2_bg,raw,221,-0.60480809297714411,-0.60633749132765202,0.13853874640094979,179,-0.56657707808377356,-0.56060368536825322,0.13234726787276949,-0.038231014893370399,-0.045733805959398702,0.13580458926958661,-0.28151489650675771
0,train,cheek_mean_log2_bg,calibrated,221,-0.58787097314482428,-0.5879605371304768,0.13178379935584811,179,-0.58748827072591137,-0.58568478725315554,0.13194733023303429,-0.00038270241891289998,-0.0022757498773212002,0.13185696135016969,-0.0029024058721979001
0,train,forehead_minus_cheek_log2_y,raw,217,-0.043521267286228599,-0.019789298935890501,0.24839430472763449,173,-0.010897454666075,-0.015709540904849901,0.42237421160929223,-0.0326238126201535,-0.0040797580310405002,0.33679790450932018,-0.0968646543917282
0,train,forehead_minus_cheek_log2_y,calibrated,217,-0.029200756182889101,-0.0123941951613476,0.24452718053751291,173,-0.028860176685870601,-0.0133059418058736,0.41923683878432372,-0.00034057949701850001,0.00091174664452590005,0.33346835473139119,-0.0010213247889529001
0,train,forehead_minus_cheek_log2_rg,raw,217,-0.021327671652355901,-0.0185834017706842,0.1008475956188162,173,-0.088921537700273307,-0.082247439713184101,0.1238211074023275,0.067593866047917395,0.063664037942500001,0.1116167269695704,0.60558903565005295
0,train,forehead_minus_cheek_log2_rg,calibrated,217,-0.051003403165024497,-0.054750902294787303,0.099123156767362094,173,-0.051698221294209201,-0.045300730657122597,0.1238164352989411,0.00069481812918469998,-0.0094501716376647008,0.110751115335537,0.0062736896786968
0,train,forehead_minus_cheek_log2_bg,raw,217,-0.10541996171007539,-0.087941092608049207,0.1166117816524273,173,-0.17634873104738291,-0.17717210640479381,0.110666273176511,0.070928769337307407,0.089231013796744502,0.114014406952541,0.6221035677257164
0,train,forehead_minus_cheek_log2_bg,calibrated,217,-0.1365606430715712,-0.1219629298491907,0.115762443752914,173,-0.1372878763916339,-0.13271113666561021,0.1098422444928695,0.00072723332006259999,0.010748206816419499,0.11317624453629301,0.0064256710676548002
0,val,cheek_mean_log2_y,raw,46,-1.7039150683597826,-1.6652657472534116,0.25058080731609739,54,-2.1951385499626133,-2.2105354316510861,0.4048372986044888,0.49122348160283058,0.54526968439767454,0.34273695775773311,1.4332375615881396
0,val,cheek_mean_log2_y,calibrated,46,-1.9557108672455883,-1.9299638367299967,0.22321925512810381,54,-1.8897482830871448,-1.8872525970185767,0.44764146737809107,-0.065962584158443596,-0.042711239711419699,0.36228442470291128,-0.18207402709221021
0,val,cheek_mean_log2_rg,raw,46,0.93668906234399363,0.94524182354365238,0.112721886655668,54,1.0328476698260882,1.0523466675221085,0.13888335281355171,-0.096158607482094496,-0.1071048439784557,0.12753851396724911,-0.75395740855807147
0,val,cheek_mean_log2_rg,calibrated,46,0.98855207953139601,0.99726273034265922,0.1129531086099039,54,0.96638158171925603,0.96544193240515797,0.14461735582818031,0.0221704978121397,0.031820797937501102,0.13103122126260219,0.16920011580833411
0,val,cheek_mean_log2_bg,raw,46,-0.61327502165764136,-0.59987410916774864,0.15244634974732649,54,-0.5543036677959704,-0.55121394928113765,0.14177632057885489,-0.058971353861671003,-0.048660159886610897,0.14677217034777151,-0.40178838891555863
0,val,cheek_mean_log2_bg,calibrated,46,-0.59787248792160252,-0.59509513534592706,0.14011040540286279,54,-0.57506493396793323,-0.55358026624014323,0.1448672027974984,-0.0228075539536692,-0.041514869105783898,0.1427026485407949,-0.15982572283617569
0,val,forehead_minus_cheek_log2_y,raw,46,0.0144341396736894,0.021318033014068,0.25372832468519052,50,0.1290186521500003,0.12651008967692751,0.29760790114227698,-0.11458451247631091,-0.1051920566628594,0.27746890763005611,-0.41296343238963612
0,val,forehead_minus_cheek_log2_y,calibrated,46,0.026125334472298398,0.0142115446442865,0.242494934147718,50,0.1131984329783015,0.1268944986708069,0.30724632220631398,-0.087073098506003102,-0.1126829540265203,0.27813561501397072,-0.31305986650299872
0,val,forehead_minus_cheek_log2_rg,raw,46,-0.035812006434506397,-0.033680590485653798,0.10661333165746301,50,-0.093165839774679002,-0.1000847255939616,0.1225929065537802,0.057353833340172598,0.066404135108307699,0.1152199620729005,0.49777688091829442
0,val,forehead_minus_cheek_log2_rg,calibrated,46,-0.064401853971635697,-0.065154660375221399,0.1037950945195124,50,-0.0560467580909862,-0.063131694440367203,0.12271378889723999,-0.0083550958806494005,-0.0020229659348542,0.1140492148048403,-0.073258688321060306
0,val,forehead_minus_cheek_log2_bg,raw,46,-0.1185764029153195,-0.1182252860630888,0.1104152326594862,50,-0.1903645369122868,-0.20584805941662301,0.090056096595493601,0.071788133996967193,0.087622773353534203,0.1003193564568953,0.71559603781761505
0,val,forehead_minus_cheek_log2_bg,calibrated,46,-0.1501503350411294,-0.14520926701671269,0.112238690220234,50,-0.1503073997646738,-0.15598640077937601,0.087563330512795606,0.00015706472354440001,0.010777133762663199,0.1001375685064491,0.0015684894878819999
1,train,cheek_mean_log2_y,raw,212,-1.6950572988483752,-1.6671759292313073,0.2182356214061025,188,-2.2739055388912348,-2.297221125114381,0.46889778133797899,0.57884824004285962,0.63004519588307406,0.35854266417118008,1.6144473109802582
1,train,cheek_mean_log2_y,calibrated,212,-1.964412685968796,-1.9591449949395636,0.1982323093452002,188,-1.9701643576703345,-1.954146851620175,0.45745502526042048,0.0057516717015388,-0.0049981433193884003,0.34518962799744618,0.016662353776114702
1,train,cheek_mean_log2_rg,raw,212,0.90835307756938799,0.91010480371593683,0.123390355237892,188,1.0331482592288159,1.0396008917377819,0.15063476606614171,-0.124795181659428,-0.1294960880218452,0.1368682256478152,-0.91179074667444637
1,train,cheek_mean_log2_rg,calibrated,212,0.96642400556279362,0.96958656386851716,0.1231472610661225,188,0.96766402127880524,0.97395758731150439,0.14938567781809289,-0.0012400157160116,-0.0043710234429873004,0.13610680116275431,-0.0091106080329434007
1,train,cheek_mean_log2_bg,raw,212,-0.60012857331905778,-0.59927720519352246,0.14190524521413561,188,-0.56520073817891392,-0.56286438843822295,0.13864308394664709,-0.034927835140143901,-0.036412816755299303,0.1403819627248476,-0.2488057187845667
1,train,cheek_mean_log2_bg,calibrated,212,-0.58387560768033497,-0.58992281953476811,0.133450236513002,188,-0.58352855049492036,-0.58594824071016616,0.13825188581752099,-0.00034705718541460002,-0.0039745788246018003,0.1357274458369056,-0.0025570155194082002
1,train,forehead_minus_cheek_log2_y,raw,209,-0.038516096187635303,-0.038690042124882702,0.2385921001643917,180,0.0290615492255294,0.018729229295282802,0.39758333191896239,-0.0675776454131648,-0.057419271420165702,0.3220397928932327,-0.2098425315891603
