fold,split_role,target,valid_n,representation,scope,camera_id,condition,spearman_rho
0,train,cheek_mean_log2_bg,400,calibrated,overall,ALL,log2_iso_condition,-0.053445609186863897
0,train,cheek_mean_log2_bg,221,calibrated,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.030798701720707901
0,train,cheek_mean_log2_bg,221,calibrated,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.029485185909300101
0,train,cheek_mean_log2_bg,179,calibrated,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.027601163501620399
0,train,cheek_mean_log2_bg,179,calibrated,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.0116160823634629
0,train,forehead_minus_cheek_log2_y,390,raw,overall,ALL,relative_optical_exposure,0.021066791525399298
0,train,forehead_minus_cheek_log2_y,390,raw,overall,ALL,log2_iso_condition,-0.1146361001236586
0,train,forehead_minus_cheek_log2_y,217,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.15514926670560361
0,train,forehead_minus_cheek_log2_y,217,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.19704966680449709
0,train,forehead_minus_cheek_log2_y,173,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.092915092009366207
0,train,forehead_minus_cheek_log2_y,173,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.047823756610095802
0,train,forehead_minus_cheek_log2_y,390,residual,overall,ALL,relative_optical_exposure,0.0016745788329516999
0,train,forehead_minus_cheek_log2_y,390,residual,overall,ALL,log2_iso_condition,-0.044927315584284103
0,train,forehead_minus_cheek_log2_y,217,residual,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.018727952936723399
0,train,forehead_minus_cheek_log2_y,217,residual,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.0184801040385753
0,train,forehead_minus_cheek_log2_y,173,residual,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.035291288927090998
0,train,forehead_minus_cheek_log2_y,173,residual,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.032248326148959998
0,train,forehead_minus_cheek_log2_y,390,calibrated,overall,ALL,relative_optical_exposure,0.0016745788329516999
0,train,forehead_minus_cheek_log2_y,390,calibrated,overall,ALL,log2_iso_condition,-0.044927315584284103
