iteration,selected_camera,selection_score_min_distance_to_seen_or_prior_unseen,nearest_reference_camera,candidate_rank,tie_detected,tie_break_rule
1,Canon 1DMarkIII,0.1578544827517647,Canon 5DMarkII,1,False,not_needed
2,Nikon D5100,0.15029310582683125,SONY NEX-5N,1,False,not_needed
