,D65,A,FL2,FL11
D65,0.0,0.659937211843835,0.5663924950799375,0.932280948019896
A,0.659937211843835,0.0,0.8604875504653525,1.0575804551181767
FL2,0.5663924950799375,0.8604875504653525,0.0,0.8314072983477502
FL11,0.932280948019896,1.0575804551181767,0.8314072983477502,0.0
