light_name,finite,nonnegative,wavelength_aligned,peak_wavelength_nm,spectral_centroid_nm,spectral_std_nm,area
D65,True,True,True,460.0,549.2688885877728,91.0380796876966,0.29194342800648176
A,True,True,True,720.0,616.1375563363279,78.890215182974,0.3195181531246289
FL2,True,True,True,580.0,550.4686285368094,68.84307884184165,0.19042019110866087
FL11,True,True,True,610.0,559.8533566979779,68.14732075022218,0.19268867378634905
