,D65,A,FL2,FL11
D65,0.0,0.31937362224059784,0.2698227172628199,0.44856926563035
A,0.31937362224059784,0.0,0.4112733589372042,0.5153099772935452
FL2,0.2698227172628199,0.4112733589372042,0.0,0.37097098705529086
FL11,0.44856926563035,0.5153099772935452,0.37097098705529086,0.0
