epoch,train_loss,inner_val_macro_auc
1,0.8041232362389564,0.8990509059534082
2,0.494506211578846,0.8576358930112165
3,0.4128581412136555,0.8904227782571184
4,0.32165902107954025,0.9050905953408109
5,0.24340228587388993,0.907679033649698
6,0.240000382065773,0.8843830888697154
7,0.21725046038627624,0.8973252804141502
8,0.22169934064149857,0.912855910267472
9,0.22375538796186448,0.8757549611734253
10,0.2195546507835388,0.8869715271786023
11,0.2058044232428074,0.8464193270060397
12,0.20578946620225907,0.8774805867126834
13,0.19732741564512252,0.8852459016393441
14,0.21112729087471963,0.8515962036238136
15,0.20795356780290603,0.8861087144089733
16,0.20512702390551568,0.8731665228645384
17,0.243111252784729,0.8559102674719585
18,0.2055765062570572,0.8533218291630715
