epoch,train_loss,inner_val_loss,inner_val_macro_auc
1,0.6177081078290939,0.6842150807380676,0.8705780845556514
2,0.380314127355814,0.5701269745826721,0.8809318377911992
3,0.31342787891626356,0.5648518979549408,0.8507333908541846
4,0.2658010609447956,0.5459025859832763,0.8550474547023296
5,0.254531791806221,0.7486966013908386,0.8490077653149267
6,0.22166770845651626,0.6046868801116944,0.8274374460742019
7,0.21254976838827133,0.5948994576930999,0.8360655737704918
8,0.20002572983503342,0.6667299389839172,0.8343399482312338
9,0.2135916158556938,0.5369923412799835,0.8783433994823124
10,0.2025197148323059,0.6433829069137573,0.8412424503882656
11,0.20281664058566093,0.6520408749580383,0.8628127696289906
12,0.1839717894792557,0.552184772491455,0.8740293356341674
