epoch,train_loss,inner_val_macro_auc
1,0.6259172543883323,0.7679033649698015
2,0.3902557998895645,0.7955133735979293
3,0.3128855563700199,0.814495254529767
4,0.24260920360684396,0.8559102674719586
5,0.2223165363073349,0.8403796376186368
6,0.23700059875845908,0.8101811906816221
7,0.23941849544644356,0.8610871440897325
8,0.2113707736134529,0.8058671268334772
9,0.20310760661959648,0.8550474547023296
10,0.2027842342853546,0.8015530629853322
11,0.1921348363161087,0.8386540120793787
12,0.2077966660261154,0.8170836928386541
13,0.1995763249695301,0.8360655737704917
14,0.19199386984109879,0.8326143226919758
15,0.18714068755507468,0.8360655737704917
16,0.20907764807343482,0.8421052631578947
17,0.2004638522863388,0.8455565142364107
