epoch,train_loss,inner_val_macro_auc
1,0.6296963676810264,0.807592752372735
2,0.42076665461063384,0.8490077653149266
3,0.30128711089491844,0.8205349439171699
4,0.24920667484402656,0.8800690250215703
5,0.21859672889113427,0.8464193270060396
6,0.2290504276752472,0.8550474547023297
7,0.21196716353297235,0.8559102674719586
8,0.21285626366734506,0.8395168248490076
9,0.1978502355515957,0.8464193270060396
10,0.19754561632871628,0.8403796376186367
11,0.18813236132264138,0.8464193270060396
12,0.2001208633184433,0.8386540120793787
13,0.1973811149597168,0.8576358930112167
14,0.19212126806378366,0.8498705780845557
