camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,m_base,h_base,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 20D,D65,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,R,0.40873947739601135,0.4439021751284599,0.4754639118909836,0.5264590084552765,0.5699512511491776,0.6129994988441467,0.5249561071395874,0.02975146286189556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249561071395874,0.02975146286189556,0.40873947739601135,0.6129994988441467
Canon 20D,D65,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,G,0.21656931936740875,0.24262670576572418,0.2638728618621826,0.2978353798389435,0.3292020410299301,0.36254382133483887,0.2969757914543152,0.020522918552160263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2969757914543152,0.020522918552160263,0.21656931936740875,0.36254382133483887
Canon 20D,D65,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,B,0.07473123073577881,0.08944853581488132,0.09925544075667858,0.12327902764081955,0.14611759781837463,0.1747990995645523,0.12295371294021606,0.014453926123678684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12295371294021606,0.014453926123678684,0.07473123073577881,0.1747990995645523
Canon 20D,A,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,R,0.44102397561073303,0.4777255177497864,0.5111078470945358,0.56547611951828,0.6115507483482361,0.6586447954177856,0.5638009309768677,0.03157710283994675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5638009309768677,0.03157710283994675,0.44102397561073303,0.6586447954177856
Canon 20D,A,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,G,0.2185930609703064,0.24472484290599822,0.26613637804985046,0.30012552440166473,0.33157336711883545,0.3643830418586731,0.2992785573005676,0.02052578702569008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2992785573005676,0.02052578702569008,0.2185930609703064,0.3643830418586731
Canon 20D,A,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,B,0.0943140760064125,0.11083058491349221,0.121586374938488,0.1462932452559471,0.1697619892656803,0.19944189488887787,0.14593490958213806,0.014977706596255302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14593490958213806,0.014977706596255302,0.0943140760064125,0.19944189488887787
Canon 20D,FL2,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,R,0.37666451930999756,0.4106744885444641,0.44021327793598175,0.4881901144981384,0.5292488634586334,0.5677682161331177,0.48683595657348633,0.02805362455546856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48683595657348633,0.02805362455546856,0.37666451930999756,0.5677682161331177
Canon 20D,FL2,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,G,0.23746362328529358,0.2644656330347061,0.2869342565536499,0.3223853260278702,0.354719378054142,0.3874562978744507,0.32144612073898315,0.021243397146463394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32144612073898315,0.021243397146463394,0.23746362328529358,0.3874562978744507
Canon 20D,FL2,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,B,0.05492286756634712,0.06685194410383702,0.07626042328774929,0.0997067391872406,0.12243139185011387,0.1499357521533966,0.09941007196903229,0.014124414883553982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09941007196903229,0.014124414883553982,0.05492286756634712,0.1499357521533966
Canon 20D,FL11,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,R,0.4101811349391937,0.4458410292863846,0.47752534598112106,0.5288765728473663,0.5726132988929749,0.6148630976676941,0.5273666381835938,0.029982464388012886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5273666381835938,0.029982464388012886,0.4101811349391937,0.6148630976676941
Canon 20D,FL11,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,G,0.22216345369815826,0.24828680008649825,0.26994092017412186,0.30406196415424347,0.3355224132537842,0.36794888973236084,0.3032076954841614,0.02056383527815342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3032076954841614,0.02056383527815342,0.22216345369815826,0.36794888973236084
Canon 20D,FL11,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,B,0.05433601886034012,0.0661165926605463,0.07588499411940575,0.09978673607110977,0.12286641262471676,0.15066201984882355,0.09949367493391037,0.01434285193681717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949367493391037,0.01434285193681717,0.05433601886034012,0.15066201984882355
Canon 20D,D65,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.5,R,0.42251184582710266,0.4431872650980949,0.45860687643289566,0.5161318778991699,0.5800092220306396,0.6171185374259949,0.5172260999679565,0.03722597658634186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172260999679565,0.03722597658634186,0.42251184582710266,0.6171185374259949
Canon 20D,D65,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.5,G,0.21963189542293549,0.23065293133258818,0.23959149792790413,0.2781990319490433,0.3223996087908745,0.3725234866142273,0.2792923152446747,0.025409089401364326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2792923152446747,0.025409089401364326,0.21963189542293549,0.3725234866142273
Canon 20D,D65,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.5,B,0.08436626195907593,0.0892792634665966,0.0962764210999012,0.12267860770225525,0.1544000431895256,0.25914525985717773,0.12394048273563385,0.019827138632535934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12394048273563385,0.019827138632535934,0.08436626195907593,0.25914525985717773
Canon 20D,A,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.5,R,0.4571704566478729,0.4792293444275856,0.49552633613348007,0.5571267008781433,0.6248529851436615,0.6638542413711548,0.5581726431846619,0.03959024325013161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5581726431846619,0.03959024325013161,0.4571704566478729,0.6638542413711548
