camera_name,light_name,latent_id,m_base,h_base,AUDIT_ONLY
Nikon D3X,FL2,HM00,0.75,0.1875,True
Nikon D3X,FL11,HM00,0.75,0.1875,True
Nikon D3X,D65,HM01,0.75,0.5,True
Nikon D3X,A,HM01,0.75,0.5,True
Nikon D3X,FL2,HM01,0.75,0.5,True
Nikon D3X,FL11,HM01,0.75,0.5,True
Nikon D3X,D65,HM02,0.75,0.8125,True
Nikon D3X,A,HM02,0.75,0.8125,True
Nikon D3X,FL2,HM02,0.75,0.8125,True
Nikon D3X,FL11,HM02,0.75,0.8125,True
Nikon D3X,D65,HM03,0.85,0.1875,True
Nikon D3X,A,HM03,0.85,0.1875,True
Nikon D3X,FL2,HM03,0.85,0.1875,True
Nikon D3X,FL11,HM03,0.85,0.1875,True
Nikon D3X,D65,HM04,0.85,0.5,True
Nikon D3X,A,HM04,0.85,0.5,True
Nikon D3X,FL2,HM04,0.85,0.5,True
Nikon D3X,FL11,HM04,0.85,0.5,True
Nikon D3X,D65,HM05,0.85,0.8125,True
Nikon D3X,A,HM05,0.85,0.8125,True
Nikon D3X,FL2,HM05,0.85,0.8125,True
Nikon D3X,FL11,HM05,0.85,0.8125,True
Nikon D3X,D65,HM06,0.9375,0.1875,True
Nikon D3X,A,HM06,0.9375,0.1875,True
Nikon D3X,FL2,HM06,0.9375,0.1875,True
Nikon D3X,FL11,HM06,0.9375,0.1875,True
Nikon D3X,D65,HM07,0.9375,0.5,True
Nikon D3X,A,HM07,0.9375,0.5,True
Nikon D3X,FL2,HM07,0.9375,0.5,True
Nikon D3X,FL11,HM07,0.9375,0.5,True
Nikon D3X,D65,HM08,0.9375,0.8125,True
Nikon D3X,A,HM08,0.9375,0.8125,True
Nikon D3X,FL2,HM08,0.9375,0.8125,True
Nikon D3X,FL11,HM08,0.9375,0.8125,True
Nikon D3X,D65,HM09,0.9791666667,0.1875,True
Nikon D3X,A,HM09,0.9791666667,0.1875,True
Nikon D3X,FL2,HM09,0.9791666667,0.1875,True
Nikon D3X,FL11,HM09,0.9791666667,0.1875,True
Nikon D3X,D65,HM10,0.9791666667,0.5,True
Nikon D3X,A,HM10,0.9791666667,0.5,True
Nikon D3X,FL2,HM10,0.9791666667,0.5,True
Nikon D3X,FL11,HM10,0.9791666667,0.5,True
Nikon D3X,D65,HM11,0.9791666667,0.8125,True
Nikon D3X,A,HM11,0.9791666667,0.8125,True
Nikon D3X,FL2,HM11,0.9791666667,0.8125,True
Nikon D3X,FL11,HM11,0.9791666667,0.8125,True
Nikon D200,D65,HM00,0.75,0.1875,True
Nikon D200,A,HM00,0.75,0.1875,True
Nikon D200,FL2,HM00,0.75,0.1875,True
Nikon D200,FL11,HM00,0.75,0.1875,True
Nikon D200,D65,HM01,0.75,0.5,True
Nikon D200,A,HM01,0.75,0.5,True
Nikon D200,FL2,HM01,0.75,0.5,True
Nikon D200,FL11,HM01,0.75,0.5,True
Nikon D200,D65,HM02,0.75,0.8125,True
Nikon D200,A,HM02,0.75,0.8125,True
Nikon D200,FL2,HM02,0.75,0.8125,True
Nikon D200,FL11,HM02,0.75,0.8125,True
Nikon D200,D65,HM03,0.85,0.1875,True
Nikon D200,A,HM03,0.85,0.1875,True
Nikon D200,FL2,HM03,0.85,0.1875,True
Nikon D200,FL11,HM03,0.85,0.1875,True
Nikon D200,D65,HM04,0.85,0.5,True
Nikon D200,A,HM04,0.85,0.5,True
Nikon D200,FL2,HM04,0.85,0.5,True
Nikon D200,FL11,HM04,0.85,0.5,True
Nikon D200,D65,HM05,0.85,0.8125,True
Nikon D200,A,HM05,0.85,0.8125,True
Nikon D200,FL2,HM05,0.85,0.8125,True
Nikon D200,FL11,HM05,0.85,0.8125,True
Nikon D200,D65,HM06,0.9375,0.1875,True
Nikon D200,A,HM06,0.9375,0.1875,True
Nikon D200,FL2,HM06,0.9375,0.1875,True
Nikon D200,FL11,HM06,0.9375,0.1875,True
Nikon D200,D65,HM07,0.9375,0.5,True
Nikon D200,A,HM07,0.9375,0.5,True
Nikon D200,FL2,HM07,0.9375,0.5,True
Nikon D200,FL11,HM07,0.9375,0.5,True
Nikon D200,D65,HM08,0.9375,0.8125,True
Nikon D200,A,HM08,0.9375,0.8125,True
Nikon D200,FL2,HM08,0.9375,0.8125,True
Nikon D200,FL11,HM08,0.9375,0.8125,True
Nikon D200,D65,HM09,0.9791666667,0.1875,True
Nikon D200,A,HM09,0.9791666667,0.1875,True
Nikon D200,FL2,HM09,0.9791666667,0.1875,True
Nikon D200,FL11,HM09,0.9791666667,0.1875,True
Nikon D200,D65,HM10,0.9791666667,0.5,True
Nikon D200,A,HM10,0.9791666667,0.5,True
Nikon D200,FL2,HM10,0.9791666667,0.5,True
Nikon D200,FL11,HM10,0.9791666667,0.5,True
Nikon D200,D65,HM11,0.9791666667,0.8125,True
Nikon D200,A,HM11,0.9791666667,0.8125,True
Nikon D200,FL2,HM11,0.9791666667,0.8125,True
Nikon D200,FL11,HM11,0.9791666667,0.8125,True
Nikon D3,D65,HM00,0.75,0.1875,True
Nikon D3,A,HM00,0.75,0.1875,True
Nikon D3,FL2,HM00,0.75,0.1875,True
Nikon D3,FL11,HM00,0.75,0.1875,True
Nikon D3,D65,HM01,0.75,0.5,True
Nikon D3,A,HM01,0.75,0.5,True
Nikon D3,FL2,HM01,0.75,0.5,True
Nikon D3,FL11,HM01,0.75,0.5,True
Nikon D3,D65,HM02,0.75,0.8125,True
Nikon D3,A,HM02,0.75,0.8125,True
Nikon D3,FL2,HM02,0.75,0.8125,True
Nikon D3,FL11,HM02,0.75,0.8125,True
Nikon D3,D65,HM03,0.85,0.1875,True
Nikon D3,A,HM03,0.85,0.1875,True
Nikon D3,FL2,HM03,0.85,0.1875,True
Nikon D3,FL11,HM03,0.85,0.1875,True
Nikon D3,D65,HM04,0.85,0.5,True
Nikon D3,A,HM04,0.85,0.5,True
Nikon D3,FL2,HM04,0.85,0.5,True
Nikon D3,FL11,HM04,0.85,0.5,True
Nikon D3,D65,HM05,0.85,0.8125,True
Nikon D3,A,HM05,0.85,0.8125,True
Nikon D3,FL2,HM05,0.85,0.8125,True
Nikon D3,FL11,HM05,0.85,0.8125,True
Nikon D3,D65,HM06,0.9375,0.1875,True
Nikon D3,A,HM06,0.9375,0.1875,True
Nikon D3,FL2,HM06,0.9375,0.1875,True
Nikon D3,FL11,HM06,0.9375,0.1875,True
Nikon D3,D65,HM07,0.9375,0.5,True
Nikon D3,A,HM07,0.9375,0.5,True
Nikon D3,FL2,HM07,0.9375,0.5,True
Nikon D3,FL11,HM07,0.9375,0.5,True
Nikon D3,D65,HM08,0.9375,0.8125,True
Nikon D3,A,HM08,0.9375,0.8125,True
Nikon D3,FL2,HM08,0.9375,0.8125,True
Nikon D3,FL11,HM08,0.9375,0.8125,True
Nikon D3,D65,HM09,0.9791666667,0.1875,True
Nikon D3,A,HM09,0.9791666667,0.1875,True
Nikon D3,FL2,HM09,0.9791666667,0.1875,True
Nikon D3,FL11,HM09,0.9791666667,0.1875,True
Nikon D3,D65,HM10,0.9791666667,0.5,True
Nikon D3,A,HM10,0.9791666667,0.5,True
Nikon D3,FL2,HM10,0.9791666667,0.5,True
Nikon D3,FL11,HM10,0.9791666667,0.5,True
Nikon D3,D65,HM11,0.9791666667,0.8125,True
Nikon D3,A,HM11,0.9791666667,0.8125,True
Nikon D3,FL2,HM11,0.9791666667,0.8125,True
Nikon D3,FL11,HM11,0.9791666667,0.8125,True
Nikon D300s,D65,HM00,0.75,0.1875,True
Nikon D300s,A,HM00,0.75,0.1875,True
Nikon D300s,FL2,HM00,0.75,0.1875,True
Nikon D300s,FL11,HM00,0.75,0.1875,True
Nikon D300s,D65,HM01,0.75,0.5,True
Nikon D300s,A,HM01,0.75,0.5,True
Nikon D300s,FL2,HM01,0.75,0.5,True
Nikon D300s,FL11,HM01,0.75,0.5,True
Nikon D300s,D65,HM02,0.75,0.8125,True
Nikon D300s,A,HM02,0.75,0.8125,True
Nikon D300s,FL2,HM02,0.75,0.8125,True
Nikon D300s,FL11,HM02,0.75,0.8125,True
Nikon D300s,D65,HM03,0.85,0.1875,True
Nikon D300s,A,HM03,0.85,0.1875,True
Nikon D300s,FL2,HM03,0.85,0.1875,True
Nikon D300s,FL11,HM03,0.85,0.1875,True
Nikon D300s,D65,HM04,0.85,0.5,True
Nikon D300s,A,HM04,0.85,0.5,True
Nikon D300s,FL2,HM04,0.85,0.5,True
Nikon D300s,FL11,HM04,0.85,0.5,True
Nikon D300s,D65,HM05,0.85,0.8125,True
Nikon D300s,A,HM05,0.85,0.8125,True
Nikon D300s,FL2,HM05,0.85,0.8125,True
Nikon D300s,FL11,HM05,0.85,0.8125,True
Nikon D300s,D65,HM06,0.9375,0.1875,True
Nikon D300s,A,HM06,0.9375,0.1875,True
Nikon D300s,FL2,HM06,0.9375,0.1875,True
Nikon D300s,FL11,HM06,0.9375,0.1875,True
Nikon D300s,D65,HM07,0.9375,0.5,True
Nikon D300s,A,HM07,0.9375,0.5,True
Nikon D300s,FL2,HM07,0.9375,0.5,True
Nikon D300s,FL11,HM07,0.9375,0.5,True
