sample_id,latent_id,camera_name,light_name,acquisition_role,low_clip_fraction,all_zero_fraction,nonfinite_count
L015_A3,L015,Pentax Q,FL2,appearance_only,0.0,0.0,0
L015_A4,L015,SONY NEX-5N,D65,joint,0.0,0.0,0
L016_A0,L016,SONY NEX-5N,D65,reference,0.0,0.0,0
L016_A1,L016,Olympus E-PL2,D65,camera_only,0.0,0.0,0
L016_A2,L016,SONY NEX-5N,A,light_only,0.0,0.0,0
L016_A3,L016,SONY NEX-5N,D65,appearance_only,0.0,0.0,0
L016_A4,L016,Olympus E-PL2,A,joint,0.0,0.0,0
L017_A0,L017,Olympus E-PL2,A,reference,0.0,0.0,0
L017_A1,L017,Canon 5DMarkII,A,camera_only,0.0,0.0,0
L017_A2,L017,Olympus E-PL2,FL2,light_only,0.0,0.0,0
L017_A3,L017,Olympus E-PL2,A,appearance_only,0.0,0.0,0
L017_A4,L017,Canon 5DMarkII,FL2,joint,0.0,0.0,0
L018_A0,L018,Canon 5DMarkII,D65,reference,0.0,0.0,0
L018_A1,L018,Nikon D3X,D65,camera_only,0.0,0.0,0
L018_A2,L018,Canon 5DMarkII,A,light_only,0.0,0.0,0
L018_A3,L018,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0
L018_A4,L018,Nikon D3X,A,joint,0.0,0.0,0
L019_A0,L019,Nikon D3X,A,reference,0.0,0.0,0
L019_A1,L019,Nikon D80,A,camera_only,0.0,0.0,0
L019_A2,L019,Nikon D3X,FL2,light_only,0.0,0.0,0
L019_A3,L019,Nikon D3X,A,appearance_only,0.0,0.0,0
L019_A4,L019,Nikon D80,FL2,joint,0.0,0.0,0
L020_A0,L020,Nikon D80,FL2,reference,0.0,0.0,0
L020_A1,L020,Pentax Q,FL2,camera_only,0.0,0.0,0
L020_A2,L020,Nikon D80,D65,light_only,0.0,0.0,0
L020_A3,L020,Nikon D80,FL2,appearance_only,0.0,0.0,0
L020_A4,L020,Pentax Q,D65,joint,0.0,0.0,0
L021_A0,L021,Pentax Q,D65,reference,0.0,0.0,0
L021_A1,L021,SONY NEX-5N,D65,camera_only,0.0,0.0,0
L021_A2,L021,Pentax Q,A,light_only,0.0,0.0,0
L021_A3,L021,Pentax Q,D65,appearance_only,0.0,0.0,0
L021_A4,L021,SONY NEX-5N,A,joint,0.0,0.0,0
L022_A0,L022,SONY NEX-5N,A,reference,0.0,0.0,0
L022_A1,L022,Olympus E-PL2,A,camera_only,0.0,0.0,0
L022_A2,L022,SONY NEX-5N,FL2,light_only,0.0,0.0,0
L022_A3,L022,SONY NEX-5N,A,appearance_only,0.0,0.0,0
L022_A4,L022,Olympus E-PL2,FL2,joint,0.0,0.0,0
L023_A0,L023,Olympus E-PL2,FL2,reference,0.0,0.0,0
L023_A1,L023,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0
L023_A2,L023,Olympus E-PL2,D65,light_only,0.0,0.0,0
L023_A3,L023,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0
L023_A4,L023,Canon 5DMarkII,D65,joint,0.0,0.0,0
L024_A0,L024,Canon 5DMarkII,D65,reference,0.0,0.0,0
L024_A1,L024,Nikon D3X,D65,camera_only,0.0,0.0,0
L024_A2,L024,Canon 5DMarkII,A,light_only,0.0,0.0,0
L024_A3,L024,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0
L024_A4,L024,Nikon D3X,A,joint,0.0,0.0,0
L025_A0,L025,Nikon D3X,A,reference,0.0,0.0,0
L025_A1,L025,Nikon D80,A,camera_only,0.0,0.0,0
L025_A2,L025,Nikon D3X,FL2,light_only,0.0,0.0,0
L025_A3,L025,Nikon D3X,A,appearance_only,0.0,0.0,0
L025_A4,L025,Nikon D80,FL2,joint,0.0,0.0,0
L026_A0,L026,Nikon D80,FL2,reference,0.0,0.0,0
L026_A1,L026,Pentax Q,FL2,camera_only,0.0,0.0,0
L026_A2,L026,Nikon D80,D65,light_only,0.0,0.0,0
L026_A3,L026,Nikon D80,FL2,appearance_only,0.0,0.0,0
L026_A4,L026,Pentax Q,D65,joint,0.0,0.0,0
