camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 5DMarkII,D65,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.40745294094085693,0.4424716100096703,0.4738978073000908,0.5247101783752441,0.5680884718894958,0.6111766695976257,0.5232110023498535,0.02964017167687416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5232110023498535,0.02964017167687416,0.40745294094085693,0.6111766695976257
Canon 5DMarkII,D65,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.22029472887516022,0.2466866686940193,0.268146812915802,0.30252256989479065,0.3342006355524063,0.3680341839790344,0.3016492426395416,0.020772751420736313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3016492426395416,0.020772751420736313,0.22029472887516022,0.3680341839790344
Canon 5DMarkII,D65,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.059288930147886276,0.07226957231760026,0.0816328153014183,0.10566691681742668,0.12868858128786087,0.15670795738697052,0.1053357869386673,0.014378231950104237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053357869386673,0.014378231950104237,0.059288930147886276,0.15670795738697052
Canon 5DMarkII,A,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.44113966822624207,0.47775283008813857,0.5111342221498489,0.5654459297657013,0.6115100383758545,0.6587923169136047,0.5637708902359009,0.03155359998345375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5637708902359009,0.03155359998345375,0.44113966822624207,0.6587923169136047
Canon 5DMarkII,A,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.22008304297924042,0.2464257560670376,0.2679205536842346,0.302139550447464,0.3338141590356827,0.3669443428516388,0.3012888729572296,0.020671281963586807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3012888729572296,0.020671281963586807,0.22008304297924042,0.3669443428516388
Canon 5DMarkII,A,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.08488717675209045,0.10043829120695591,0.11067450046539307,0.13493303209543228,0.15795569494366646,0.18712273240089417,0.13458633422851562,0.014653755351901054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13458633422851562,0.014653755351901054,0.08488717675209045,0.18712273240089417
Canon 5DMarkII,FL2,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.37518414855003357,0.40909059792757035,0.4384751170873642,0.4862816035747528,0.5272124856710434,0.5656764507293701,0.4849289059638977,0.027943216264247894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4849289059638977,0.027943216264247894,0.37518414855003357,0.5656764507293701
Canon 5DMarkII,FL2,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.23953723907470703,0.2667121320962906,0.28935056179761887,0.32506313920021057,0.35760846734046936,0.3906829059123993,0.32411354780197144,0.02140202559530735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32411354780197144,0.02140202559530735,0.23953723907470703,0.3906829059123993
Canon 5DMarkII,FL2,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.03865404054522514,0.04804934877902269,0.05906745791435242,0.083006102591753,0.10642744041979313,0.13348762691020966,0.08271734416484833,0.014413978904485703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08271734416484833,0.014413978904485703,0.03865404054522514,0.13348762691020966
Canon 5DMarkII,FL11,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.40902116894721985,0.44450895488262177,0.47616513073444366,0.5273345112800598,0.570934846997261,0.6132100820541382,0.5258328318595886,0.029888978227972984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5258328318595886,0.029888978227972984,0.40902116894721985,0.6132100820541382
Canon 5DMarkII,FL11,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.22434651851654053,0.2507111832499504,0.2724827006459236,0.30689339339733124,0.3385823369026184,0.37136310338974,0.3060241937637329,0.02073349617421627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3060241937637329,0.02073349617421627,0.22434651851654053,0.37136310338974
Canon 5DMarkII,FL11,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.042306315153837204,0.0521919384598732,0.06308942101895809,0.08728005737066269,0.11079135164618492,0.13817226886749268,0.08697102963924408,0.014506425708532333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08697102963924408,0.014506425708532333,0.042306315153837204,0.13817226886749268
Canon 5DMarkII,D65,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.42090904712677,0.4415237635374069,0.4568820744752884,0.514103889465332,0.5777630060911179,0.6145475506782532,0.5152298212051392,0.037068262696266174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152298212051392,0.037068262696266174,0.42090904712677,0.6145475506782532
Canon 5DMarkII,D65,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.2239578813314438,0.23515006080269812,0.24420812726020813,0.2834175378084183,0.32815028727054596,0.37662309408187866,0.28449106216430664,0.02572215348482132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28449106216430664,0.02572215348482132,0.2239578813314438,0.37662309408187866
Canon 5DMarkII,D65,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.06551485508680344,0.07254223860800266,0.07944338768720627,0.10475996881723404,0.13590595126152039,0.251140832901001,0.10613389313220978,0.019953899085521698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10613389313220978,0.019953899085521698,0.06551485508680344,0.251140832901001
Canon 5DMarkII,A,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.45715096592903137,0.47926097065210344,0.4954873248934746,0.5570057332515717,0.6246690303087234,0.6634937524795532,0.5580644607543945,0.03954898193478584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5580644607543945,0.03954898193478584,0.45715096592903137,0.6634937524795532
Canon 5DMarkII,A,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.2221343219280243,0.2333401195704937,0.24239550530910492,0.2810964435338974,0.32558969408273697,0.375088632106781,0.28221583366394043,0.02552047185599804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28221583366394043,0.02552047185599804,0.2221343219280243,0.375088632106781
Canon 5DMarkII,A,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.09843891113996506,0.10227361358702183,0.10912758857011795,0.13655439764261246,0.1688178852200508,0.26689937710762024,0.13773658871650696,0.019918132573366165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13773658871650696,0.019918132573366165,0.09843891113996506,0.26689937710762024
Canon 5DMarkII,FL2,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.3864784240722656,0.4057465761899948,0.4201349541544914,0.47369417548179626,0.5338291078805923,0.569186270236969,0.4748350977897644,0.034890227019786835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4748350977897644,0.034890227019786835,0.3864784240722656,0.569186270236969
Canon 5DMarkII,FL2,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.24217589199543,0.25456336587667466,0.2646111026406288,0.3044477701187134,0.35043757408857346,0.39658352732658386,0.3055366277694702,0.026410037651658058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055366277694702,0.026410037651658058,0.24217589199543,0.39658352732658386
Canon 5DMarkII,FL2,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.04625152051448822,0.054820735938847065,0.062024123035371304,0.0862944908440113,0.11667187884449959,0.24325330555438995,0.08772929012775421,0.02007218264043331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08772929012775421,0.02007218264043331,0.04625152051448822,0.24325330555438995
Canon 5DMarkII,FL11,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.42414718866348267,0.44481724202632905,0.4603743478655815,0.5184733271598816,0.5827666521072388,0.6207647323608398,0.519525408744812,0.03752971068024635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519525408744812,0.03752971068024635,0.42414718866348267,0.6207647323608398
Canon 5DMarkII,FL11,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.22619283199310303,0.23771033212542533,0.24706662818789482,0.28564970195293427,0.33020778000354767,0.3797004520893097,0.28676095604896545,0.025558045133948326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28676095604896545,0.025558045133948326,0.22619283199310303,0.3797004520893097
Canon 5DMarkII,FL11,HM01,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.04816081002354622,0.056800007820129395,0.06411830522119999,0.08877727389335632,0.11960216052830219,0.24410633742809296,0.09022606164216995,0.02019432932138443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09022606164216995,0.02019432932138443,0.04816081002354622,0.24410633742809296
Canon 5DMarkII,D65,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.43740761280059814,0.4428181529045105,0.4587928503751755,0.507916271686554,0.5593704730272293,0.5849565863609314,0.5084688663482666,0.030201151967048645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5084688663482666,0.030201151967048645,0.43740761280059814,0.5849565863609314
Canon 5DMarkII,D65,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.2220166027545929,0.22937771677970886,0.238396517932415,0.2697037309408188,0.303134024143219,0.3262194097042084,0.26985272765159607,0.01939358189702034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26985272765159607,0.01939358189702034,0.2220166027545929,0.3262194097042084
Canon 5DMarkII,D65,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.07315976917743683,0.07664174996316434,0.0831250548362732,0.1033291406929493,0.12439149059355259,0.153891921043396,0.10339786112308502,0.012634744867682457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10339786112308502,0.012634744867682457,0.07315976917743683,0.153891921043396
Canon 5DMarkII,A,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.476468950510025,0.4824368357658386,0.4996163472533226,0.5525501668453217,0.6076043546199799,0.6350129842758179,0.5530621409416199,0.032455287873744965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5530621409416199,0.032455287873744965,0.476468950510025,0.6350129842758179
Canon 5DMarkII,A,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.21873435378074646,0.22605454921722412,0.2349308244884014,0.2658448815345764,0.2989233434200287,0.32104235887527466,0.26600372791290283,0.019137881696224213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26600372791290283,0.019137881696224213,0.21873435378074646,0.32104235887527466
Canon 5DMarkII,A,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.10449329763650894,0.10866912938654423,0.11543117836117744,0.1371520534157753,0.15947526320815086,0.1880863457918167,0.13713829219341278,0.013514877296984196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13713829219341278,0.013514877296984196,0.10449329763650894,0.1880863457918167
Canon 5DMarkII,FL2,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.39987805485725403,0.4051367148756981,0.41996555030345917,0.46570806205272675,0.513898178935051,0.5379212498664856,0.4662749767303467,0.02817365899682045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4662749767303467,0.02817365899682045,0.39987805485725403,0.5379212498664856
Canon 5DMarkII,FL2,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.2408526986837387,0.24761689826846123,0.2571512833237648,0.28976963460445404,0.3244282528758049,0.34451398253440857,0.2899859547615051,0.02003813534975052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899859547615051,0.02003813534975052,0.2408526986837387,0.34451398253440857
Canon 5DMarkII,FL2,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.05789661407470703,0.06185247339308262,0.06814062595367432,0.08746455982327461,0.10762126184999943,0.1369926780462265,0.08754228055477142,0.01207637693732977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08754228055477142,0.01207637693732977,0.05789661407470703,0.1369926780462265
Canon 5DMarkII,FL11,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.4418652653694153,0.4472992837429047,0.4633214399218559,0.5131433308124542,0.565375566482544,0.5913201570510864,0.5137285590171814,0.030624475330114365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137285590171814,0.030624475330114365,0.4418652653694153,0.5913201570510864
Canon 5DMarkII,FL11,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.22337791323661804,0.23033820167183877,0.2393343709409237,0.27043160796165466,0.30359119176864624,0.324390709400177,0.2706143856048584,0.019179334864020348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2706143856048584,0.019179334864020348,0.22337791323661804,0.324390709400177
Canon 5DMarkII,FL11,HM02,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.058667369186878204,0.06268666498363018,0.06903235800564289,0.08881308510899544,0.10935367830097675,0.1392473578453064,0.08887480199337006,0.012317225337028503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08887480199337006,0.012317225337028503,0.058667369186878204,0.1392473578453064
