epoch,train_loss,inner_val_macro_ovr_auc
1,1.043629950284958,0.7100307051230225
2,0.5807776048779487,0.7038385895293789
3,0.3994226649403572,0.6823583376002732
4,0.29253530204296113,0.6685717710494875
5,0.2734743021428585,0.6650765298101885
6,0.22578901648521424,0.6897213351479056
7,0.21537592262029648,0.7210295844898985
8,0.2087099939584732,0.7177516203142265
9,0.20361993834376335,0.6933931490913664
10,0.20012870207428932,0.6945303446789016
11,0.19701989442110063,0.7002845375086463
12,0.19580189436674117,0.6902664928450157
13,0.19459513947367668,0.6956168703568958
14,0.1935475543141365,0.7000243103277907
15,0.19302494078874588,0.6889297055362421
16,0.19254534915089608,0.6953212724912641
17,0.1921898327767849,0.6962449807313984
