experiment,display_name,status,representation,input_type,model_type,completed_folds,n_oof,macro_auc,macro_auc_ci_low,macro_auc_ci_high,accuracy,macro_precision,macro_recall,macro_f1,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,pr_auc,patient_sensitivity,sensitivity_ci_low,sensitivity_ci_high,control_specificity,specificity_ci_low,specificity_ci_high,ppv,npv,delta_auc_vs_rgb,delta_auc_ci_low,delta_auc_ci_high,delta_macro_f1_vs_rgb,delta_balanced_accuracy_vs_rgb,delta_sensitivity_vs_rgb,delta_specificity_vs_rgb,warning_count
p1_a,P1-A,COMPLETED,albedo,image,resnet18_single,5.0,500.0,0.618746470920384,0.5623722531782985,0.6750456735947125,0.66,0.5499711034496503,0.5566346696781479,0.5514133119419053,0.5052158633529084,0.5964713022253108,0.5566346696781479,0.5073180875600731,0.6058193889443889,0.8488663480259396,0.7480519480519481,0.7030371107147757,0.7893402597402597,0.3652173913043478,0.27906023637056804,0.452991452991453,0.7977839335180056,0.302158273381295,-0.20907961603613767,-0.2758238087361156,-0.142951583183212,-0.14363603197854036,-0.133201581027668,-0.1272727272727272,-0.13913043478260867,0.0
p1_n,P1-N,COMPLETED,normal,image,resnet18_single,5.0,500.0,0.5813212874082438,0.5220530621527808,0.6417942652193536,0.65,0.5265072765072765,0.5287972896668549,0.5269631031220435,0.4800722083995135,0.575692709711959,0.5287972896668549,0.48005933508939974,0.5794775795315995,0.8187201840327696,0.7532467532467533,0.7116809140226862,0.7969161457857581,0.30434782608695654,0.21929197994987468,0.39622641509433965,0.7837837837837838,0.2692307692307692,-0.24650479954827786,-0.3209057640830168,-0.17166834651662752,-0.16808624079840218,-0.16103896103896098,-0.12207792207792201,-0.19999999999999996,0.0
p1_l,P1-L,COMPLETED,light,vector,linear_probe,5.0,500.0,0.7780914737436476,0.7328958094333288,0.8237939065206452,0.704,0.6659177749717116,0.728514963297572,0.6632138501028563,0.6208375562601308,0.7085792414925186,0.728514963297572,0.6824682248873329,0.774317707333503,0.923031206735061,0.6831168831168831,0.6385853432947115,0.7305723661485319,0.7739130434782608,0.6928982434887947,0.8484912146676853,0.9100346020761245,0.4218009478672986,-0.04973461321287409,-0.10070693774737079,0.0014762316135706914,-0.03183549381758943,0.03867871259175615,-0.19220779220779216,0.26956521739130435,0.0
p1_s,P1-S,COMPLETED,shading,image,resnet18_single,5.0,500.0,0.8225861095426311,0.7807720592592,0.8620771269989808,0.778,0.7099666085946574,0.761321287408244,0.7240988471805885,0.6826476100987655,0.7673873065543064,0.761321287408244,0.7159743757034149,0.8055286413859798,0.9377207791654687,0.7922077922077922,0.7531350034109991,0.8320413436692506,0.7304347826086957,0.648,0.8095238095238095,0.9077380952380952,0.5121951219512195,-0.005239977413890595,-0.05853066841438938,0.04915809605331174,0.029049503260142773,0.07148503670242812,-0.08311688311688303,0.22608695652173916,0.0
p1_spec,P1-Spec,SKIPPED_UNAVAILABLE_BY_FRONTEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p1_r,P1-R,COMPLETED,residual,image,resnet18_single,5.0,500.0,0.8508413325804629,0.8163814965522134,0.8836523630735713,0.78,0.7042582076139123,0.7412761151891587,0.7169384057971014,0.669327807486631,0.7608988408550862,0.7412761151891587,0.6932720368435386,0.7879609847108139,0.9543115115094407,0.812987012987013,0.7736842105263158,0.8513872278160474,0.6695652173913044,0.5825926585887384,0.7522935779816514,0.8917378917378918,0.5167785234899329,0.023015245623941194,-0.018901733683624352,0.0636013932197243,0.021889061876655735,0.05143986448334281,-0.06233766233766225,0.16521739130434787,0.0
p1_rgb_a,P1-RGB+A,COMPLETED,rgb_albedo,dual_image,shared_resnet18_dual_branch,5.0,500.0,0.724336533032185,0.670805318720875,0.7768140388595816,0.784,0.691423540632413,0.6767927724449463,0.6832398695417536,0.6340017414895363,0.7304402628972719,0.6767927724449463,0.6289747062759745,0.7267728516577039,0.8927530200341156,0.8753246753246753,0.8420985499462943,0.9079335911016237,0.4782608695652174,0.3858267716535433,0.5714285714285714,0.8488664987405542,0.5339805825242718,-0.10348955392433667,-0.1672639421225486,-0.03869882515560876,-0.011809474378692064,-0.013043478260869601,0.0,-0.02608695652173909,0.0
