experiment,display_name,pair_count,matched_rows,label_mismatch,fold_mismatch,patient_group_mismatch,delta_macro_auc,delta_accuracy,delta_macro_f1,delta_balanced_accuracy,delta_patient_sensitivity,delta_control_specificity,probability_mae,probability_rmse,pearson,spearman,hard_prediction_agreement,changed_prediction_count,delta_auc_ci_low,delta_auc_ci_high,delta_macro_f1_ci_low,delta_macro_f1_ci_high,delta_balanced_accuracy_ci_low,delta_balanced_accuracy_ci_high,delta_sensitivity_ci_low,delta_sensitivity_ci_high,delta_specificity_ci_low,delta_specificity_ci_high,status
p1_a,P1-A,500,500,0,0,0,-0.20907961603613767,-0.13,-0.14363603197854036,-0.133201581027668,-0.1272727272727272,-0.13913043478260867,0.28540935496613384,0.3858897222833166,0.2356119906917884,0.20505624422497687,0.698,151,-0.2758238087361156,-0.142951583183212,-0.20227698142122763,-0.08486107944483401,-0.1948670049280056,-0.07119895198691682,-0.17839644651830575,-0.07710736282194862,-0.2520380136233795,-0.026537129665255916,available
p1_l,P1-L,500,500,0,0,0,-0.04973461321287409,-0.08600000000000008,-0.03183549381758943,0.03867871259175615,-0.19220779220779216,0.26956521739130435,0.28766416560998187,0.33929810698859264,0.5282548112571532,0.5777010308041232,0.702,149,-0.10070693774737079,0.0014762316135706914,-0.08784712510069444,0.024556525683776566,-0.022834518470299475,0.09845453780999043,-0.23712871946508957,-0.14499257105943159,0.1519946428571428,0.379060583844308,available
p1_n,P1-N,500,500,0,0,0,-0.24650479954827786,-0.14,-0.16808624079840218,-0.16103896103896098,-0.12207792207792201,-0.19999999999999996,0.30251161903562024,0.41486258477800264,0.06530389236721261,0.009001188436810803,0.66,170,-0.3209057640830168,-0.17166834651662752,-0.23659709078880223,-0.10182659984857964,-0.2323877047870276,-0.09250506444483775,-0.17370919387075293,-0.06824146981627299,-0.3300993771753068,-0.06719911104937856,available
p1_r,P1-R,500,500,0,0,0,0.023015245623941194,-0.010000000000000009,0.021889061876655735,0.05143986448334281,-0.06233766233766225,0.16521739130434787,0.1732520528837049,0.29124265237905567,0.6397037943160908,0.693609988019474,0.798,101,-0.018901733683624352,0.0636013932197243,-0.03474968741962087,0.07668120671586323,-0.011841064797029104,0.11194250432140329,-0.09725786884141004,-0.027772038567493156,0.04166666666666663,0.28318584070796454,available
p1_rgb_a,P1-RGB+A,500,500,0,0,0,-0.10348955392433667,-0.006000000000000005,-0.011809474378692064,-0.013043478260869601,0.0,-0.02608695652173909,0.23762954876478762,0.3391791760272832,0.36917252218605223,0.21374390748884833,0.782,109,-0.1672639421225486,-0.03869882515560876,-0.07221891127215738,0.04887872582679465,-0.07777159510600347,0.047915422885571796,-0.03876220026509214,0.03866229121713414,-0.15325879765395897,0.09090909090909088,available
p1_s,P1-S,500,500,0,0,0,-0.005239977413890595,-0.01200000000000001,0.029049503260142773,0.07148503670242812,-0.08311688311688303,0.22608695652173916,0.2532869125172492,0.360593752523772,0.43164543406112765,0.4195979983919936,0.72,140,-0.05853066841438938,0.04915809605331174,-0.031869125242297,0.08934661039565298,0.005140982160386017,0.13630403261971127,-0.12703201292895952,-0.040319878059327144,0.09997933884297519,0.34822452490170375,available
