model_id,model_display_name,input_view,backbone,input_width,input_height,source_config,source_experiment_dir,loss,label_smoothing_alpha,trainability_strategy,fold,protocol,selected_epoch,inner_best_macro_auc,macro_auc,balanced_accuracy,macro_f1,sensitivity,specificity
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,0,outer_5fold_inner_holdout_direct_test,7,0.8723037100949094,0.7442123094297007,0.7134387351778657,0.6973285958678774,0.8181818181818182,0.6086956521739131
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,1,outer_5fold_inner_holdout_direct_test,3,0.7911993097497843,0.823828345567476,0.7182382834556748,0.6310763888888888,0.6103896103896104,0.8260869565217391
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,2,outer_5fold_inner_holdout_direct_test,11,0.7722174288179465,0.8260869565217392,0.6677018633540373,0.6702508960573477,0.8571428571428571,0.4782608695652174
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,3,outer_5fold_inner_holdout_direct_test,8,0.7825711820534943,0.7989836250705816,0.7289666854884247,0.66078697421981,0.6753246753246753,0.782608695652174
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,4,outer_5fold_inner_holdout_direct_test,2,0.8222605694564279,0.792772444946358,0.7549407114624507,0.6961196820944366,0.7272727272727273,0.782608695652174
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,0,outer_5fold_inner_holdout_direct_test,23,0.8032786885245901,0.7628458498023716,0.681253529079616,0.612789025334661,0.6233766233766234,0.7391304347826086
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,1,outer_5fold_inner_holdout_direct_test,14,0.817083692838654,0.7922077922077922,0.746188594014681,0.6994831109508355,0.7532467532467533,0.7391304347826086
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,2,outer_5fold_inner_holdout_direct_test,23,0.8334771354616048,0.8136645962732919,0.6784302653867871,0.6974040452301322,0.922077922077922,0.4347826086956521
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,3,outer_5fold_inner_holdout_direct_test,4,0.7799827437446073,0.6453980801806888,0.5835686053077358,0.5305164319248826,0.5584415584415584,0.6086956521739131
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,4,outer_5fold_inner_holdout_direct_test,9,0.7955133735979293,0.7922077922077921,0.6741953698475438,0.6794871794871795,0.8701298701298701,0.4782608695652174
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,0,outer_5fold_inner_holdout_direct_test,24,0.8101811906816221,0.826651609260305,0.7329192546583851,0.7258771929824561,0.8571428571428571,0.6086956521739131
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,1,outer_5fold_inner_holdout_direct_test,4,0.8429680759275238,0.800112930547713,0.7134387351778657,0.6973285958678774,0.8181818181818182,0.6086956521739131
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,2,outer_5fold_inner_holdout_direct_test,14,0.8559102674719586,0.7012987012987013,0.6849237718802936,0.7076023391812865,0.935064935064935,0.4347826086956521
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,3,outer_5fold_inner_holdout_direct_test,10,0.7713546160483175,0.7419536984754376,0.7046866177300959,0.6984649122807017,0.8441558441558441,0.5652173913043478
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,4,outer_5fold_inner_holdout_direct_test,4,0.7627264883520276,0.717673630717109,0.637492941840768,0.6194824961948249,0.7532467532467533,0.5217391304347826
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,0,outer_5fold_inner_holdout_direct_test,8,0.729939603106126,0.748729531338227,0.5807453416149069,0.5858260469397147,0.8571428571428571,0.3043478260869565
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,1,outer_5fold_inner_holdout_direct_test,8,0.8283002588438308,0.803500846979108,0.6877470355731226,0.6212121212121212,0.6363636363636364,0.7391304347826086
