AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,pair_id,latent_id,m_hash_equal,h_hash_equal,mask_hash_equal
True,True,True,True,R1V025_A0_A4,R1V025,True,True,True
True,True,True,True,R1V026_A0_A1,R1V026,True,True,True
True,True,True,True,R1V026_A0_A2,R1V026,True,True,True
True,True,True,True,R1V026_A0_A3,R1V026,True,True,True
True,True,True,True,R1V026_A0_A4,R1V026,True,True,True
True,True,True,True,R1V027_A0_A1,R1V027,True,True,True
True,True,True,True,R1V027_A0_A2,R1V027,True,True,True
True,True,True,True,R1V027_A0_A3,R1V027,True,True,True
True,True,True,True,R1V027_A0_A4,R1V027,True,True,True
True,True,True,True,R1V028_A0_A1,R1V028,True,True,True
True,True,True,True,R1V028_A0_A2,R1V028,True,True,True
True,True,True,True,R1V028_A0_A3,R1V028,True,True,True
True,True,True,True,R1V028_A0_A4,R1V028,True,True,True
True,True,True,True,R1V029_A0_A1,R1V029,True,True,True
True,True,True,True,R1V029_A0_A2,R1V029,True,True,True
True,True,True,True,R1V029_A0_A3,R1V029,True,True,True
True,True,True,True,R1V029_A0_A4,R1V029,True,True,True
True,True,True,True,R1V030_A0_A1,R1V030,True,True,True
True,True,True,True,R1V030_A0_A2,R1V030,True,True,True
True,True,True,True,R1V030_A0_A3,R1V030,True,True,True
True,True,True,True,R1V030_A0_A4,R1V030,True,True,True
True,True,True,True,R1V031_A0_A1,R1V031,True,True,True
True,True,True,True,R1V031_A0_A2,R1V031,True,True,True
True,True,True,True,R1V031_A0_A3,R1V031,True,True,True
True,True,True,True,R1V031_A0_A4,R1V031,True,True,True
True,True,True,True,R1V032_A0_A1,R1V032,True,True,True
True,True,True,True,R1V032_A0_A2,R1V032,True,True,True
True,True,True,True,R1V032_A0_A3,R1V032,True,True,True
True,True,True,True,R1V032_A0_A4,R1V032,True,True,True
True,True,True,True,R1V033_A0_A1,R1V033,True,True,True
True,True,True,True,R1V033_A0_A2,R1V033,True,True,True
True,True,True,True,R1V033_A0_A3,R1V033,True,True,True
True,True,True,True,R1V033_A0_A4,R1V033,True,True,True
True,True,True,True,R1V034_A0_A1,R1V034,True,True,True
True,True,True,True,R1V034_A0_A2,R1V034,True,True,True
True,True,True,True,R1V034_A0_A3,R1V034,True,True,True
True,True,True,True,R1V034_A0_A4,R1V034,True,True,True
True,True,True,True,R1V035_A0_A1,R1V035,True,True,True
True,True,True,True,R1V035_A0_A2,R1V035,True,True,True
True,True,True,True,R1V035_A0_A3,R1V035,True,True,True
True,True,True,True,R1V035_A0_A4,R1V035,True,True,True
True,True,True,True,R1V036_A0_A1,R1V036,True,True,True
True,True,True,True,R1V036_A0_A2,R1V036,True,True,True
True,True,True,True,R1V036_A0_A3,R1V036,True,True,True
True,True,True,True,R1V036_A0_A4,R1V036,True,True,True
True,True,True,True,R1V037_A0_A1,R1V037,True,True,True
True,True,True,True,R1V037_A0_A2,R1V037,True,True,True
True,True,True,True,R1V037_A0_A3,R1V037,True,True,True
True,True,True,True,R1V037_A0_A4,R1V037,True,True,True
True,True,True,True,R1V038_A0_A1,R1V038,True,True,True
True,True,True,True,R1V038_A0_A2,R1V038,True,True,True
True,True,True,True,R1V038_A0_A3,R1V038,True,True,True
True,True,True,True,R1V038_A0_A4,R1V038,True,True,True
True,True,True,True,R1V039_A0_A1,R1V039,True,True,True
True,True,True,True,R1V039_A0_A2,R1V039,True,True,True
True,True,True,True,R1V039_A0_A3,R1V039,True,True,True
True,True,True,True,R1V039_A0_A4,R1V039,True,True,True
True,True,True,True,R1V040_A0_A1,R1V040,True,True,True
True,True,True,True,R1V040_A0_A2,R1V040,True,True,True
True,True,True,True,R1V040_A0_A3,R1V040,True,True,True
True,True,True,True,R1V040_A0_A4,R1V040,True,True,True
True,True,True,True,R1V041_A0_A1,R1V041,True,True,True
True,True,True,True,R1V041_A0_A2,R1V041,True,True,True
True,True,True,True,R1V041_A0_A3,R1V041,True,True,True
True,True,True,True,R1V041_A0_A4,R1V041,True,True,True
True,True,True,True,R1V042_A0_A1,R1V042,True,True,True
True,True,True,True,R1V042_A0_A2,R1V042,True,True,True
True,True,True,True,R1V042_A0_A3,R1V042,True,True,True
True,True,True,True,R1V042_A0_A4,R1V042,True,True,True
True,True,True,True,R1V043_A0_A1,R1V043,True,True,True
True,True,True,True,R1V043_A0_A2,R1V043,True,True,True
True,True,True,True,R1V043_A0_A3,R1V043,True,True,True
True,True,True,True,R1V043_A0_A4,R1V043,True,True,True
True,True,True,True,R1V044_A0_A1,R1V044,True,True,True
True,True,True,True,R1V044_A0_A2,R1V044,True,True,True
True,True,True,True,R1V044_A0_A3,R1V044,True,True,True
True,True,True,True,R1V044_A0_A4,R1V044,True,True,True
True,True,True,True,R1V045_A0_A1,R1V045,True,True,True
True,True,True,True,R1V045_A0_A2,R1V045,True,True,True
True,True,True,True,R1V045_A0_A3,R1V045,True,True,True
True,True,True,True,R1V045_A0_A4,R1V045,True,True,True
True,True,True,True,R1V046_A0_A1,R1V046,True,True,True
True,True,True,True,R1V046_A0_A2,R1V046,True,True,True
True,True,True,True,R1V046_A0_A3,R1V046,True,True,True
True,True,True,True,R1V046_A0_A4,R1V046,True,True,True
True,True,True,True,R1V047_A0_A1,R1V047,True,True,True
True,True,True,True,R1V047_A0_A2,R1V047,True,True,True
True,True,True,True,R1V047_A0_A3,R1V047,True,True,True
True,True,True,True,R1V047_A0_A4,R1V047,True,True,True
True,True,True,True,R1V048_A0_A1,R1V048,True,True,True
True,True,True,True,R1V048_A0_A2,R1V048,True,True,True
True,True,True,True,R1V048_A0_A3,R1V048,True,True,True
True,True,True,True,R1V048_A0_A4,R1V048,True,True,True
True,True,True,True,R1V049_A0_A1,R1V049,True,True,True
True,True,True,True,R1V049_A0_A2,R1V049,True,True,True
True,True,True,True,R1V049_A0_A3,R1V049,True,True,True
True,True,True,True,R1V049_A0_A4,R1V049,True,True,True
True,True,True,True,R1V050_A0_A1,R1V050,True,True,True
True,True,True,True,R1V050_A0_A2,R1V050,True,True,True
True,True,True,True,R1V050_A0_A3,R1V050,True,True,True
True,True,True,True,R1V050_A0_A4,R1V050,True,True,True
True,True,True,True,R1V051_A0_A1,R1V051,True,True,True
True,True,True,True,R1V051_A0_A2,R1V051,True,True,True
True,True,True,True,R1V051_A0_A3,R1V051,True,True,True
True,True,True,True,R1V051_A0_A4,R1V051,True,True,True
True,True,True,True,R1V052_A0_A1,R1V052,True,True,True
True,True,True,True,R1V052_A0_A2,R1V052,True,True,True
True,True,True,True,R1V052_A0_A3,R1V052,True,True,True
True,True,True,True,R1V052_A0_A4,R1V052,True,True,True
True,True,True,True,R1V053_A0_A1,R1V053,True,True,True
True,True,True,True,R1V053_A0_A2,R1V053,True,True,True
True,True,True,True,R1V053_A0_A3,R1V053,True,True,True
True,True,True,True,R1V053_A0_A4,R1V053,True,True,True
True,True,True,True,R1V054_A0_A1,R1V054,True,True,True
True,True,True,True,R1V054_A0_A2,R1V054,True,True,True
True,True,True,True,R1V054_A0_A3,R1V054,True,True,True
True,True,True,True,R1V054_A0_A4,R1V054,True,True,True
True,True,True,True,R1V055_A0_A1,R1V055,True,True,True
True,True,True,True,R1V055_A0_A2,R1V055,True,True,True
True,True,True,True,R1V055_A0_A3,R1V055,True,True,True
True,True,True,True,R1V055_A0_A4,R1V055,True,True,True
True,True,True,True,R1V056_A0_A1,R1V056,True,True,True
True,True,True,True,R1V056_A0_A2,R1V056,True,True,True
True,True,True,True,R1V056_A0_A3,R1V056,True,True,True
True,True,True,True,R1V056_A0_A4,R1V056,True,True,True
True,True,True,True,R1V057_A0_A1,R1V057,True,True,True
True,True,True,True,R1V057_A0_A2,R1V057,True,True,True
True,True,True,True,R1V057_A0_A3,R1V057,True,True,True
True,True,True,True,R1V057_A0_A4,R1V057,True,True,True
True,True,True,True,R1V058_A0_A1,R1V058,True,True,True
True,True,True,True,R1V058_A0_A2,R1V058,True,True,True
True,True,True,True,R1V058_A0_A3,R1V058,True,True,True
True,True,True,True,R1V058_A0_A4,R1V058,True,True,True
True,True,True,True,R1V059_A0_A1,R1V059,True,True,True
True,True,True,True,R1V059_A0_A2,R1V059,True,True,True
True,True,True,True,R1V059_A0_A3,R1V059,True,True,True
True,True,True,True,R1V059_A0_A4,R1V059,True,True,True
True,True,True,True,R1V060_A0_A1,R1V060,True,True,True
True,True,True,True,R1V060_A0_A2,R1V060,True,True,True
True,True,True,True,R1V060_A0_A3,R1V060,True,True,True
True,True,True,True,R1V060_A0_A4,R1V060,True,True,True
True,True,True,True,R1V061_A0_A1,R1V061,True,True,True
True,True,True,True,R1V061_A0_A2,R1V061,True,True,True
True,True,True,True,R1V061_A0_A3,R1V061,True,True,True
True,True,True,True,R1V061_A0_A4,R1V061,True,True,True
True,True,True,True,R1V062_A0_A1,R1V062,True,True,True
True,True,True,True,R1V062_A0_A2,R1V062,True,True,True
True,True,True,True,R1V062_A0_A3,R1V062,True,True,True
True,True,True,True,R1V062_A0_A4,R1V062,True,True,True
True,True,True,True,R1V063_A0_A1,R1V063,True,True,True
True,True,True,True,R1V063_A0_A2,R1V063,True,True,True
True,True,True,True,R1V063_A0_A3,R1V063,True,True,True
True,True,True,True,R1V063_A0_A4,R1V063,True,True,True
True,True,True,True,R1V064_A0_A1,R1V064,True,True,True
True,True,True,True,R1V064_A0_A2,R1V064,True,True,True
True,True,True,True,R1V064_A0_A3,R1V064,True,True,True
True,True,True,True,R1V064_A0_A4,R1V064,True,True,True
True,True,True,True,R1V065_A0_A1,R1V065,True,True,True
True,True,True,True,R1V065_A0_A2,R1V065,True,True,True
True,True,True,True,R1V065_A0_A3,R1V065,True,True,True
True,True,True,True,R1V065_A0_A4,R1V065,True,True,True
True,True,True,True,R1V066_A0_A1,R1V066,True,True,True
True,True,True,True,R1V066_A0_A2,R1V066,True,True,True
True,True,True,True,R1V066_A0_A3,R1V066,True,True,True
True,True,True,True,R1V066_A0_A4,R1V066,True,True,True
True,True,True,True,R1V067_A0_A1,R1V067,True,True,True
True,True,True,True,R1V067_A0_A2,R1V067,True,True,True
True,True,True,True,R1V067_A0_A3,R1V067,True,True,True
True,True,True,True,R1V067_A0_A4,R1V067,True,True,True
True,True,True,True,R1V068_A0_A1,R1V068,True,True,True
True,True,True,True,R1V068_A0_A2,R1V068,True,True,True
True,True,True,True,R1V068_A0_A3,R1V068,True,True,True
True,True,True,True,R1V068_A0_A4,R1V068,True,True,True
True,True,True,True,R1V069_A0_A1,R1V069,True,True,True
True,True,True,True,R1V069_A0_A2,R1V069,True,True,True
True,True,True,True,R1V069_A0_A3,R1V069,True,True,True
True,True,True,True,R1V069_A0_A4,R1V069,True,True,True
True,True,True,True,R1V070_A0_A1,R1V070,True,True,True
True,True,True,True,R1V070_A0_A2,R1V070,True,True,True
True,True,True,True,R1V070_A0_A3,R1V070,True,True,True
True,True,True,True,R1V070_A0_A4,R1V070,True,True,True
True,True,True,True,R1V071_A0_A1,R1V071,True,True,True
True,True,True,True,R1V071_A0_A2,R1V071,True,True,True
True,True,True,True,R1V071_A0_A3,R1V071,True,True,True
True,True,True,True,R1V071_A0_A4,R1V071,True,True,True
True,True,True,True,R1V072_A0_A1,R1V072,True,True,True
True,True,True,True,R1V072_A0_A2,R1V072,True,True,True
True,True,True,True,R1V072_A0_A3,R1V072,True,True,True
