AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,pair_id,latent_id,m_hash_equal,h_hash_equal,mask_hash_equal
True,True,True,True,R1V114_A0_A1,R1V114,True,True,True
True,True,True,True,R1V114_A0_A2,R1V114,True,True,True
True,True,True,True,R1V114_A0_A3,R1V114,True,True,True
True,True,True,True,R1V114_A0_A4,R1V114,True,True,True
True,True,True,True,R1V115_A0_A1,R1V115,True,True,True
True,True,True,True,R1V115_A0_A2,R1V115,True,True,True
True,True,True,True,R1V115_A0_A3,R1V115,True,True,True
True,True,True,True,R1V115_A0_A4,R1V115,True,True,True
True,True,True,True,R1V116_A0_A1,R1V116,True,True,True
True,True,True,True,R1V116_A0_A2,R1V116,True,True,True
True,True,True,True,R1V116_A0_A3,R1V116,True,True,True
True,True,True,True,R1V116_A0_A4,R1V116,True,True,True
True,True,True,True,R1V117_A0_A1,R1V117,True,True,True
True,True,True,True,R1V117_A0_A2,R1V117,True,True,True
True,True,True,True,R1V117_A0_A3,R1V117,True,True,True
True,True,True,True,R1V117_A0_A4,R1V117,True,True,True
True,True,True,True,R1V118_A0_A1,R1V118,True,True,True
True,True,True,True,R1V118_A0_A2,R1V118,True,True,True
True,True,True,True,R1V118_A0_A3,R1V118,True,True,True
True,True,True,True,R1V118_A0_A4,R1V118,True,True,True
True,True,True,True,R1V119_A0_A1,R1V119,True,True,True
True,True,True,True,R1V119_A0_A2,R1V119,True,True,True
True,True,True,True,R1V119_A0_A3,R1V119,True,True,True
True,True,True,True,R1V119_A0_A4,R1V119,True,True,True
True,True,True,True,R1V120_A0_A1,R1V120,True,True,True
True,True,True,True,R1V120_A0_A2,R1V120,True,True,True
True,True,True,True,R1V120_A0_A3,R1V120,True,True,True
True,True,True,True,R1V120_A0_A4,R1V120,True,True,True
True,True,True,True,R1V121_A0_A1,R1V121,True,True,True
True,True,True,True,R1V121_A0_A2,R1V121,True,True,True
True,True,True,True,R1V121_A0_A3,R1V121,True,True,True
True,True,True,True,R1V121_A0_A4,R1V121,True,True,True
True,True,True,True,R1V122_A0_A1,R1V122,True,True,True
True,True,True,True,R1V122_A0_A2,R1V122,True,True,True
True,True,True,True,R1V122_A0_A3,R1V122,True,True,True
True,True,True,True,R1V122_A0_A4,R1V122,True,True,True
True,True,True,True,R1V123_A0_A1,R1V123,True,True,True
True,True,True,True,R1V123_A0_A2,R1V123,True,True,True
True,True,True,True,R1V123_A0_A3,R1V123,True,True,True
True,True,True,True,R1V123_A0_A4,R1V123,True,True,True
True,True,True,True,R1V124_A0_A1,R1V124,True,True,True
True,True,True,True,R1V124_A0_A2,R1V124,True,True,True
True,True,True,True,R1V124_A0_A3,R1V124,True,True,True
True,True,True,True,R1V124_A0_A4,R1V124,True,True,True
True,True,True,True,R1V125_A0_A1,R1V125,True,True,True
True,True,True,True,R1V125_A0_A2,R1V125,True,True,True
True,True,True,True,R1V125_A0_A3,R1V125,True,True,True
True,True,True,True,R1V125_A0_A4,R1V125,True,True,True
True,True,True,True,R1V126_A0_A1,R1V126,True,True,True
True,True,True,True,R1V126_A0_A2,R1V126,True,True,True
True,True,True,True,R1V126_A0_A3,R1V126,True,True,True
True,True,True,True,R1V126_A0_A4,R1V126,True,True,True
True,True,True,True,R1V127_A0_A1,R1V127,True,True,True
True,True,True,True,R1V127_A0_A2,R1V127,True,True,True
True,True,True,True,R1V127_A0_A3,R1V127,True,True,True
True,True,True,True,R1V127_A0_A4,R1V127,True,True,True
