candidate,subject_id,reference_f_mel,actual_f_mel,abs_delta_f_mel,reference_f_blood,actual_f_blood,abs_delta_f_blood,reference_logrmse,actual_logrmse,abs_delta_logrmse
V2R-PS,p003,0.0803294599097717,0.08032946001822625,1.0845455089558698e-10,0.0650056406292292,0.06500563996205681,6.671723867812673e-10,0.0579221255033753,0.057922125503375416,1.1796119636642288e-16
V2R-PS,p004,0.0984921080367412,0.09849210804202853,5.2873261324748455e-12,0.0554022912105527,0.05540229120290218,7.650519107116338e-12,0.0547553001595607,0.05475530015956076,6.245004513516506e-17
V2R-PS,p005,0.1127669065658516,0.11276690693173565,3.658840452835932e-10,0.0850355961423975,0.08503559407377598,2.068621524076164e-09,0.0601941509530759,0.060194150953076134,2.3592239273284576e-16
V2R-PS,p006,0.1110951021513298,0.11109510217824475,2.691495637474617e-11,0.0846861483492443,0.08468614815385007,1.9539422857484112e-10,0.054785358335537,0.054785358335537035,3.469446951953614e-17
V2R-PS,p007,0.1266222476388175,0.1266222467446792,8.941382911853424e-10,0.0927311429317938,0.09273114924444366,6.312649861173192e-09,0.0692542845434711,0.06925428454347037,7.355227538141662e-16
V2R-PS,p008,0.0760581875521239,0.07605818727256658,2.795573217362346e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.2340761645959272,0.23407616459592723,2.7755575615628914e-17
V2R-PS,p009,0.1410605183726935,0.14106051843729667,6.460315615797185e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1018093041879918,0.1018093041879918,0.0
V2R-PS,p010,0.0837945081373335,0.08379450813733356,6.938893903907228e-17,0.0999999999999999,0.09999999999999995,5.551115123125783e-17,0.0690430256226354,0.06904302562263542,2.7755575615628914e-17
V2R-PS,p011,0.0528885344063331,0.052888539820629625,5.414296525008133e-09,0.038759637625828,0.038759616535762924,2.1090065076279085e-08,0.0695223390657688,0.06952233906576957,7.771561172376096e-16
V2R-PS,p012,0.0736915393946496,0.07369153931537549,7.927411505015414e-11,0.090629464623086,0.09062946528386578,6.607797781166269e-10,0.0480738365631466,0.04807383656314663,2.7755575615628914e-17
V2R-PS,p013,0.0801002382139089,0.08010023827382946,5.992056850701033e-11,0.0999999999999999,0.09999999999999998,8.326672684688674e-17,0.0530850758346725,0.05308507583467254,4.163336342344337e-17
V2R-PS,p014,0.1392540767486824,0.13925407722991368,4.812312770496874e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1188009815972688,0.11880098159726891,1.1102230246251565e-16
