candidate,subject_id,outer_fold,setting,value,f_mel,f_blood,logrmse,rmse,sam_deg,delta_f_mel,delta_f_blood,logrmse_change,boundary_any,converged,prediction_above_one_count
V2R-PS,p003,2,diameter_um,0.0,0.07982606097208002,0.0596230945903192,0.05780133294066303,0.020813564643020387,3.4395629812043844,-0.0005033990461462273,-0.005382545371737615,-0.00012079256271238514,False,True,0
V2R-PS,p003,2,diameter_um,7.5,0.08009521384745677,0.06226047933845509,0.05764401786076763,0.021116162921081004,3.4633662543186636,-0.0002342461707694754,-0.0027451606236017223,-0.0002781076426077861,False,True,0
V2R-PS,p003,2,diameter_um,15.0,0.08032946001822625,0.06500563996205681,0.057922125503375416,0.02151527040965304,3.503286741489647,0.0,0.0,0.0,False,True,0
V2R-PS,p003,2,diameter_um,30.0,0.0806986632986802,0.07069422169210308,0.05940811638021719,0.022502441911214373,3.618163170045481,0.00036920328045395023,0.0056885817300462715,0.0014859908768417723,False,True,0
V2R-PS,p003,2,s0,0.5,0.08115003491736952,0.054327481085493456,0.06429027892808978,0.024910758736936173,3.955824485379137,0.0008205748991432782,-0.010678158876563357,0.006368153424714362,False,True,0
V2R-PS,p003,2,s0,0.7,0.08032946001822625,0.06500563996205681,0.057922125503375416,0.02151527040965304,3.503286741489647,0.0,0.0,0.0,False,True,0
V2R-PS,p003,2,s0,0.9,0.08084713493877274,0.07300795774467254,0.055670483557149354,0.01903717496874254,3.2309020546525047,0.0005176749205464959,0.008002317782615731,-0.0022516419462260615,False,True,0
V2R-PS,p003,2,epidermis_thickness_mm,0.05,0.08554827376660525,0.07600457384576502,0.0553706390574019,0.01880713733336982,3.193730336917169,0.005218813748379,0.010998933883708206,-0.0025514864459735137,False,True,0
V2R-PS,p003,2,epidermis_thickness_mm,0.06,0.08032946001822625,0.06500563996205681,0.057922125503375416,0.02151527040965304,3.503286741489647,0.0,0.0,0.0,False,True,0
V2R-PS,p003,2,epidermis_thickness_mm,0.07,0.07630188561432645,0.054529123611724,0.06781503184712945,0.026289142814255567,4.163291269310167,-0.004027574403899795,-0.010476516350332817,0.009892906343754032,False,True,0
V2R-PS,p003,2,whole_blood_hb_g_l,100.0,0.08018577858277219,0.09518892051465612,0.07084865878311045,0.026914542881782223,3.451844067799595,-0.00014368143545405443,0.030183280552599306,0.01292653327973503,False,True,0
V2R-PS,p003,2,whole_blood_hb_g_l,150.0,0.08032946001822625,0.06500563996205681,0.057922125503375416,0.02151527040965304,3.503286741489647,0.0,0.0,0.0,False,True,0
V2R-PS,p003,2,whole_blood_hb_g_l,200.0,0.08046473608780642,0.05002451730196975,0.06335996981606905,0.02161821308046084,3.6896619059076627,0.00013527606958017857,-0.014981122660087061,0.005437844312693632,False,True,0
V2R-PS,p003,2,scattering_amplitude_multiplier,0.9,0.07462776100163536,0.06441986193072718,0.05572996988806777,0.019835716357984808,3.3013851664328895,-0.005701699016590886,-0.0005857780313296285,-0.0021921556153076463,False,True,0
