candidate,subject_id,outer_fold,f_mel,f_blood,logrmse,rmse,sam_deg,converged,prediction_above_one_count
V2R-PS,p003,2,0.08032946001822625,0.06500563996205681,0.057922125503375416,0.02151527040965304,3.503286741489647,True,0
V2R-PS,p004,1,0.09849210804202853,0.05540229120290218,0.05475530015956076,0.016683258682310704,3.1695802301903817,True,0
V2R-PS,p005,4,0.11276690693173565,0.08503559407377598,0.060194150953076134,0.017074355953970388,3.5239709882915093,True,0
V2R-PS,p006,1,0.11109510217824475,0.08468614815385007,0.054785358335537035,0.014430003436950981,3.1276928310422942,True,0
V2R-PS,p007,5,0.1266222467446792,0.09273114924444366,0.06925428454347037,0.015537070620084172,3.694433312383348,True,0
V2R-PS,p008,3,0.07605818727256658,0.09999999999999999,0.23407616459592723,0.07721121008508672,13.700815894560831,True,0
V2R-PS,p009,5,0.14106051843729667,0.09999999999999999,0.1018093041879918,0.021504206875070014,5.512923285158938,True,0
V2R-PS,p010,2,0.08379450813733356,0.09999999999999995,0.06904302562263542,0.023983883309254803,3.968672746684671,True,0
V2R-PS,p011,1,0.052888539820629625,0.038759616535762924,0.06952233906576957,0.03608437056987121,4.263475136868604,True,0
V2R-PS,p012,4,0.07369153931537549,0.09062946528386578,0.04807383656314663,0.015292086597674557,2.624228935403787,True,0
V2R-PS,p013,2,0.08010023827382946,0.09999999999999998,0.05308507583467254,0.0157895944044464,2.8601111730077666,True,0
V2R-PS,p014,3,0.13925407722991368,0.09999999999999999,0.11880098159726891,0.02417720275761264,6.298576063657784,True,0
V2R-PS,p015,3,0.07169148622000845,0.09719282203383427,0.0464988596394662,0.014781044473525233,2.548344045206266,True,0
V2R-PS,p017,5,0.0737016099744108,0.035292467341197405,0.07925577178012164,0.035170314672559135,4.685785905577283,True,0
V2R-PS,p018,2,0.13599722214757679,0.09999999999999999,0.09568013638873035,0.018982547348680892,4.835493893241811,True,0
V2R-PS,p019,1,0.10270063228304337,0.09999999999999999,0.07199964434433494,0.017693029282576996,3.674382142040526,True,0
V2R-PS,p020,2,0.05954295787581836,0.09999999999999999,0.18114392407814853,0.06693621054960835,10.360924831734406,True,0
V2R-PS,p021,3,0.05064709329408876,0.09999999999999999,0.1353003733130338,0.051416188027583624,7.4542985069564,True,0
V2R-PS,p022,3,0.0542465672940319,0.09999999999999999,0.1689777213672086,0.06450373294658328,9.59189895260312,True,0
V2R-PS,p023,2,0.1029208741714399,0.09999999999999981,0.05103417825702526,0.013650328748042938,2.862793103543119,True,0
V2R-PS,p024,5,0.10889300593729376,0.09999999999999998,0.06321482064176343,0.01912929533181614,3.73747424477362,True,0
V2R-PS,p025,4,0.0938678615667492,0.043266338186892156,0.06276243219653499,0.022112195883486528,3.69609383203225,True,0
V2R-PS,p026,4,0.11045496269708785,0.09999999999999999,0.05910624139900956,0.016444170725454947,3.3671375070265044,True,0
V2R-PS,p027,4,0.11084789071637864,0.06332228341199289,0.05502575727598904,0.01575221143989363,3.210993373768534,True,0
V2R-PS,p028,3,0.08624712169006381,0.07482432385101925,0.05184127988456079,0.016707881444431888,3.0384997974202004,True,0
V2R-PS,p029,4,0.10689505207075038,0.07456088798981296,0.056025072404002806,0.014468071284643603,3.0238526298573825,True,0
V2R-PS,p031,4,0.0806400976337483,0.07746398616977686,0.0492759781570936,0.017016764961779708,2.7476666010576976,True,0
V2R-PS,p032,1,0.09006866223997956,0.09999999999999999,0.04683669283241691,0.012062167840567465,2.3395493974578403,True,0
V2R-PS,p033,3,0.07522859848013148,0.05211796156047384,0.0370422244772449,0.011996099638235214,1.9754213698092122,True,0
V2R-PS,p034,4,0.06155313271045568,0.04404725842630519,0.05370547700799406,0.024003792086844437,3.1422622469426202,True,0
V2R-PS,p037,2,0.08332945069254136,0.042972452524620154,0.04137671606252328,0.012811589639821921,2.1558524499535547,True,0
V2R-PS,p038,2,0.1144746522933008,0.09717364891126416,0.06363654304557742,0.013300571571309818,2.9833357377209064,True,0
V2R-PS,p040,5,0.07173600883962337,0.06843741233698676,0.05825258367748167,0.02440923236091406,3.465541908180094,True,0
V2R-PS,p041,2,0.09826475531104541,0.03987072103859949,0.06446331309180002,0.022389152684337246,3.7768849757387346,True,0
V2R-PS,p042,5,0.07380604930651948,0.0421211407518631,0.05424613205561631,0.022771485202298224,3.3604760821883457,True,0
V2R-PS,p043,3,0.0795602542615874,0.0277653871206917,0.06512761345204497,0.028292918369746633,4.019754125602328,True,0
V2R-PS,p044,1,0.1379246301093984,0.09999999999999999,0.05983637833546097,0.013071216715611594,3.3608932644553042,True,0
V2R-PS,p045,5,0.1045086783119063,0.06040294363556005,0.06492892250255239,0.020465496336566934,3.7214895368927197,True,0
V2R-PS,p046,3,0.1376505290696262,0.09999999999999999,0.11238811255401251,0.023813199696834594,6.069688231319116,True,0
V2R-PS,p047,5,0.11891577923121,0.09999999999999999,0.07668061211131444,0.01852586187011537,4.142029920687701,True,0
V2R-PS,p048,4,0.09976142030783758,0.09999999999999999,0.08915272416537738,0.025284781891019056,4.92855097741799,True,0
V2R-PS,p049,1,0.11946425164290528,0.09999999999999999,0.06531188699334146,0.013651561683147113,3.151666861425461,True,0
V2R-PS,p050,1,0.09031702766267768,0.09999999999999999,0.052025330539360294,0.013670701811115982,2.607445109486742,True,0
V2R-PS,p051,1,0.09516380256138783,0.09999999999999999,0.0515188920067662,0.013023966533237327,2.575722926042894,True,0
V2R-PSG,p003,2,0.08830536566768228,0.06989793289125336,0.054955602473589965,0.019996550133325016,3.310900116416318,True,0
V2R-PSG,p004,1,0.10569315733004374,0.057367851914789596,0.05319776412006476,0.016237608741140785,3.1072950543484015,True,0
V2R-PSG,p005,4,0.12174242494079905,0.08676583480581994,0.05868276588056724,0.016623405677292973,3.4579122410405443,True,0
V2R-PSG,p006,1,0.1188963166989931,0.08783237390121335,0.05378307563521644,0.014238875990339671,3.0893167182322747,True,0
V2R-PSG,p007,5,0.1389812896543318,0.09316657082664855,0.06717394591396988,0.015284998759103788,3.6340422382215105,True,0
V2R-PSG,p008,3,0.10556624860280224,0.09999999999999999,0.24890374385277267,0.0820123449928931,14.650566063672317,True,0
V2R-PSG,p009,5,0.1544864782630071,0.09999999999999999,0.10063111773940538,0.02141136554188041,5.5063186964543975,True,0
V2R-PSG,p010,2,0.09310122669595164,0.09999999999999999,0.06627798121174942,0.022498222369245657,3.7812411712506666,True,0
V2R-PSG,p011,1,0.05803573539758032,0.04172454407506328,0.06245018678372146,0.032028235729397406,3.8289037274242013,True,0
V2R-PSG,p012,4,0.08027356781851365,0.09999999986227139,0.04783598091621012,0.015461267444224314,2.6414761831510547,True,0
