base_candidate,subject_id,outer_fold,setting,value,f_mel,f_blood,s,logrmse,delta_f_mel,delta_f_blood,delta_s,logrmse_change,boundary_any,converged,prediction_above_one_count
V2R-PS,p003,2,diameter_um,0.0,0.07998508257367899,0.06250367079380452,0.7836667587803674,0.057251542001660216,-0.0005398673263019571,-0.009789615660195872,-0.07628078547797046,0.0017987320690900782,False,True,0
V2R-PS,p003,2,diameter_um,7.5,0.08028969674951808,0.06719469187152353,0.8244968789044619,0.05629338355562162,-0.0002352531504628691,-0.005098594582476856,-0.035450665353875976,0.0008405736230514826,False,True,0
V2R-PS,p003,2,diameter_um,15.0,0.08052494966633617,0.0722932869092026,0.8599475302394541,0.05545280993257032,-2.3364478407561506e-10,4.5520220925965305e-10,-1.4018883720545716e-08,1.8041124150158794e-16,False,True,0
V2R-PS,p003,2,diameter_um,30.0,0.0808218037767831,0.08346174330903157,0.9150947423302721,0.05403189974047146,0.0002968538768021445,0.011168456855031178,0.055147198071934245,-0.0014209101920986747,False,True,0
V2R-PS,p003,2,epidermis_thickness_mm,0.05,0.0855312984748171,0.07472379906347802,0.6689738762852645,0.05526883011035857,0.005006348574836145,0.002430512609477631,-0.19097366797307336,-0.00018397982221157044,False,True,0
V2R-PS,p003,2,epidermis_thickness_mm,0.06,0.08052494966633617,0.0722932869092026,0.8599475302394541,0.05545280993257032,-2.3364478407561506e-10,4.5520220925965305e-10,-1.4018883720545716e-08,1.8041124150158794e-16,False,True,0
V2R-PS,p003,2,epidermis_thickness_mm,0.07,0.07641655045595434,0.0723453908568153,0.9999999999999999,0.057853265436062416,-0.004108399444026606,5.2104402814903694e-05,0.14005245574166203,0.0024004555034922784,True,True,0
V2R-PS,p003,2,whole_blood_hb_g_l,100.0,0.08074986040902488,0.09999999999999999,0.829336961400998,0.06706149521899331,0.00022491050904392684,0.0277067135459996,-0.030610582857339863,0.01160868528642317,True,True,0
V2R-PS,p003,2,whole_blood_hb_g_l,150.0,0.08052494966633617,0.0722932869092026,0.8599475302394541,0.05545280993257032,-2.3364478407561506e-10,4.5520220925965305e-10,-1.4018883720545716e-08,1.8041124150158794e-16,False,True,0
V2R-PS,p003,2,whole_blood_hb_g_l,200.0,0.08063126929587905,0.056916834008429,0.8830648532024509,0.060482557682030105,0.00010631939589809958,-0.015376452445571391,0.023117308944113013,0.005029747749459967,False,True,0
V2R-PS,p003,2,scattering_amplitude_multiplier,0.9,0.07468128963609548,0.0667452793746289,0.7609731913279417,0.055354309122087185,-0.0058436602638854696,-0.005548007079371489,-0.09897435293039614,-9.850081048295295e-05,False,True,0
V2R-PS,p003,2,scattering_amplitude_multiplier,1.0,0.08052494966633617,0.0722932869092026,0.8599475302394541,0.05545280993257032,-2.3364478407561506e-10,4.5520220925965305e-10,-1.4018883720545716e-08,1.8041124150158794e-16,False,True,0
V2R-PS,p003,2,scattering_amplitude_multiplier,1.05,0.0834489138087365,0.07511091050426714,0.9091615642276005,0.055757358582133015,0.0029239639087555447,0.0028176240502667538,0.04921401996926267,0.0003045486495628774,False,True,0
V2R-PS,p003,2,delta_bs_shift,-0.1,0.07852922892724644,0.0768373336261383,0.8252561160646465,0.055002347309851596,-0.0019957209727345104,0.0045440471721379105,-0.03469142819369131,-0.0004504626227185421,False,True,0
V2R-PS,p003,2,delta_bs_shift,0.0,0.08052494966633617,0.0722932869092026,0.8599475302394541,0.05545280993257032,-2.3364478407561506e-10,4.5520220925965305e-10,-1.4018883720545716e-08,1.8041124150158794e-16,False,True,0
V2R-PS,p003,2,bandwidth_420_680,260.0,0.08052494966633617,0.0722932869092026,0.8599475302394541,0.05545280993257032,-2.3364478407561506e-10,4.5520220925965305e-10,-1.4018883720545716e-08,1.8041124150158794e-16,False,True,0
V2R-PS,p003,2,bandwidth_430_670,240.0,0.08229003416088349,0.0663034781754661,0.8945586266902323,0.052583579463164935,0.0017650842609025358,-0.005989808278534292,0.03461108243189448,-0.0028692304694052026,False,True,0
V2R-PS,p003,2,bandwidth_440_660,220.0,0.08230309019136936,0.0651000223199024,0.8481425481043794,0.05082352612328443,0.001778140291388411,-0.0071932641340979875,-0.011804996153958469,-0.004629283809285706,False,True,0
V2R-PS,p004,1,diameter_um,0.0,0.09843856509499788,0.049206994554782904,0.6948068326191704,0.05648467229044748,-0.0002615375700731337,-0.008320538868318815,-0.08089484753190868,0.0021076368904931267,False,True,0
V2R-PS,p004,1,diameter_um,7.5,0.0986015471891344,0.05315490830738093,0.7373602172744036,0.055341579251491906,-9.855547593660974e-05,-0.004372625115720792,-0.0383414628766755,0.000964543851537554,False,True,0
V2R-PS,p004,1,diameter_um,15.0,0.09870010310313596,0.05752752966927577,0.775701648526983,0.05437703539995487,4.380649454294172e-10,-3.753825951469114e-09,-3.1624096119564626e-08,5.204170427930421e-16,False,True,0
V2R-PS,p004,1,diameter_um,30.0,0.0987760799446287,0.06718772864050668,0.8383779371713769,0.052855664764619996,7.59772795576874e-05,0.009660195217404959,0.06267625702029778,-0.0015213706353343556,False,True,0
V2R-PS,p004,1,epidermis_thickness_mm,0.05,0.10449663298363762,0.06487631034017753,0.5249944778456929,0.05846387440462768,0.005796530318566612,0.007348776917075812,-0.25070720230538623,0.004086839004673326,False,True,0
V2R-PS,p004,1,epidermis_thickness_mm,0.06,0.09870010310313596,0.05752752966927577,0.775701648526983,0.05437703539995487,4.380649454294172e-10,-3.753825951469114e-09,-3.1624096119564626e-08,5.204170427930421e-16,False,True,0
V2R-PS,p004,1,epidermis_thickness_mm,0.07,0.09410365448573343,0.05270929180267284,0.9999999999999999,0.053954137738818825,-0.0045964481793375755,-0.004818241620428876,0.2242983198489208,-0.00042289766113552674,True,True,0
V2R-PS,p004,1,whole_blood_hb_g_l,100.0,0.0986693298303447,0.0817964197898545,0.745418280670528,0.06464593941358786,-3.07728347263142e-05,0.024268886366752777,-0.030283399480551143,0.010268904013633506,False,True,0
V2R-PS,p004,1,whole_blood_hb_g_l,150.0,0.09870010310313596,0.05752752966927577,0.775701648526983,0.05437703539995487,4.380649454294172e-10,-3.753825951469114e-09,-3.1624096119564626e-08,5.204170427930421e-16,False,True,0
V2R-PS,p004,1,whole_blood_hb_g_l,200.0,0.09872297253053462,0.04549368466909676,0.8013391666257702,0.05850961875403696,2.286986546361225e-05,-0.012033848754004962,0.025637486474691107,0.004132583354082606,False,True,0
V2R-PS,p004,1,scattering_amplitude_multiplier,0.9,0.09145543035656183,0.05592553279917578,0.6413393524283026,0.056348595157701596,-0.007244672308509184,-0.001602000623925938,-0.13436232772277645,0.0019715597577472446,False,True,0
V2R-PS,p004,1,scattering_amplitude_multiplier,1.0,0.09870010310313596,0.05752752966927577,0.775701648526983,0.05437703539995487,4.380649454294172e-10,-3.753825951469114e-09,-3.1624096119564626e-08,5.204170427930421e-16,False,True,0
V2R-PS,p004,1,scattering_amplitude_multiplier,1.05,0.10232955473551585,0.05814735103556731,0.8452412510269146,0.05382398295918835,0.0036294520704448358,0.0006198176124655938,0.06953957087583551,-0.0005530524407659984,False,True,0
V2R-PS,p004,1,delta_bs_shift,-0.1,0.09634287951367569,0.06260016096288855,0.7294972367904762,0.055069937283347914,-0.0023572231513953185,0.0050726275397868295,-0.04620444336060292,0.0006929018833935624,False,True,0
V2R-PS,p004,1,delta_bs_shift,0.0,0.09870010310313596,0.05752752966927577,0.775701648526983,0.05437703539995487,4.380649454294172e-10,-3.753825951469114e-09,-3.1624096119564626e-08,5.204170427930421e-16,False,True,0
V2R-PS,p004,1,bandwidth_420_680,260.0,0.09870010310313596,0.05752752966927577,0.775701648526983,0.05437703539995487,4.380649454294172e-10,-3.753825951469114e-09,-3.1624096119564626e-08,5.204170427930421e-16,False,True,0
V2R-PS,p004,1,bandwidth_430_670,240.0,0.10091651059200497,0.051225594962435186,0.8362628461050883,0.04751678657594383,0.0022164079269339637,-0.006301938460666533,0.06056116595400918,-0.006860248824010519,False,True,0
V2R-PS,p004,1,bandwidth_440_660,220.0,0.10149520822109355,0.04890838273183856,0.7987086350471585,0.047272502780925284,0.0027951055560225396,-0.008619150691263157,0.0230069548960794,-0.007104532619029068,False,True,0
