base_candidate,subject_id,outer_fold,f_mel,f_blood,s,logrmse,rmse,sam_deg,converged,prediction_above_one_count
V2R-PS,p003,2,0.08052494989998095,0.07229328645400039,0.8599475442583379,0.05545280993257014,0.01928506373559835,3.249112298555467,True,0
V2R-PS,p004,1,0.09870010266507101,0.05752753342310172,0.7757016801510791,0.05437703539995435,0.016291590854248507,3.1218481974677643,True,0
V2R-PS,p005,4,0.11334995296000026,0.09999999999999999,0.8962091502686014,0.05598168650482218,0.01487432238981867,3.1830799308114384,True,0
V2R-PS,p006,1,0.11109764316560373,0.07993110448911683,0.6288638325836722,0.05443451267771035,0.01455263526622963,3.138047201204921,True,0
V2R-PS,p007,5,0.12672271431336674,0.08355210257769882,0.5891386272129813,0.06869959799870615,0.015503717300531409,3.674594481726871,True,0
V2R-PS,p008,3,0.07028298174318046,0.09999999999999999,2.866619949807741e-25,0.18432656450188553,0.058041220563550856,10.722161398071195,True,0
V2R-PS,p009,5,0.13431989604880157,0.09999999999999999,0.038709851049663145,0.08848323173758796,0.017507748646511303,4.658117118854353,True,0
V2R-PS,p010,2,0.08718853114162034,0.09999999999999999,0.9618233172847771,0.05882884476849009,0.017672578605798323,3.1524457363139358,True,0
V2R-PS,p011,1,0.052833005705352876,0.04671568813961361,0.9999999999999999,0.05863482046616106,0.02788125050077732,3.477027502289112,True,0
V2R-PS,p012,4,0.07378141016781378,0.08506315632369973,0.6145381086974343,0.04728749086118692,0.015328849005927339,2.620004968579538,True,0
V2R-PS,p013,2,0.07975044024311621,0.09999999999999999,0.6660945773121347,0.05293097479125555,0.015831462936005736,2.8641217503068113,True,0
V2R-PS,p014,3,0.13212169131904128,0.09999999999999999,3.1089617650800966e-17,0.10448967211127401,0.019883615406692833,5.341240537718175,True,0
V2R-PS,p015,3,0.07175844329455161,0.0941045676676075,0.660062251076431,0.04628510825225886,0.01487026593666738,2.556955871524782,True,0
V2R-PS,p017,5,0.07308715117720993,0.046194645136638145,0.9999999999999999,0.06752366452052128,0.02767619033383762,3.8326552689409237,True,0
V2R-PS,p018,2,0.13231303518543153,0.09999999999999999,0.379292651778232,0.09146121517326668,0.017871008867369836,4.579369319309815,True,0
V2R-PS,p019,1,0.10288867743882377,0.09999999999999999,0.7157429929214395,0.07197774743613213,0.0176287416821257,3.6658895594424754,True,0
V2R-PS,p020,2,0.054648319751736334,0.09999999999999999,4.519312677301269e-21,0.1384826421936994,0.04763748360829897,7.778336951493295,True,0
V2R-PS,p021,3,0.04624446534592319,0.09999999999999999,6.624246951357852e-16,0.10329508962506173,0.03574528531790951,5.559160978674555,True,0
V2R-PS,p022,3,0.049542281618994176,0.09999999999999999,3.687439361570466e-22,0.12090418716550858,0.04239123738616385,6.706964132823237,True,0
V2R-PS,p023,2,0.10190264432542,0.09999999999999999,0.6088871361887774,0.05006658298635541,0.013520810318685485,2.8352310837712817,True,0
V2R-PS,p024,5,0.11249900425533986,0.09999999999999999,0.9534758167309672,0.054532718074236444,0.014866371325669252,3.098834758551584,True,0
V2R-PS,p025,4,0.09480320709909087,0.04927765482410092,0.9805764587943478,0.05747265097821037,0.01872639087333108,3.3041675915128144,True,0
V2R-PS,p026,4,0.1128093640573522,0.09999999999999999,0.8740449971410842,0.0552691613722423,0.014303937147285528,3.0511736261093505,True,0
V2R-PS,p027,4,0.11105477670895073,0.06696517440390647,0.7875162179934108,0.05447563286357844,0.015227394342059638,3.145434084520494,True,0
V2R-PS,p028,3,0.08624876575122715,0.07492014016665462,0.7019667683772588,0.05184090128259281,0.016696764608333272,3.0374174871935953,True,0
V2R-PS,p029,4,0.10671731835349876,0.06857196096950989,0.5651686458760298,0.05490825827150348,0.01423206245392906,2.9749210185382386,True,0
V2R-PS,p031,4,0.08090204163537618,0.09149945964385307,0.9151682689692494,0.04166644534158508,0.012442790200237534,2.15309016331608,True,0
V2R-PS,p032,1,0.08957871947880967,0.09999999999999998,0.6544326159119758,0.046536542979640896,0.011970976724869336,2.326216738043231,True,0
V2R-PS,p033,3,0.07519169131085712,0.051760036707165814,0.6826457526052737,0.037011626218701243,0.012073994985924649,1.9815533004891122,True,0
V2R-PS,p034,4,0.06230198876433569,0.04974263225074407,0.9932455724759779,0.0450648764064682,0.017676549485591424,2.497075058182197,True,0
V2R-PS,p037,2,0.08343875993000846,0.0435163349139369,0.7382746944477976,0.04127171460912802,0.012620284252553507,2.137741931217468,True,0
V2R-PS,p038,2,0.11456629434005304,0.09021060522126857,0.6203334748189335,0.06322701947114773,0.013188427347234905,2.9556060315505857,True,0
V2R-PS,p040,5,0.07212645146616253,0.08613477206161557,0.9999999999999999,0.04229120591282263,0.014720672378792647,2.3022028185391847,True,0
V2R-PS,p041,2,0.09892146049265023,0.04754853959517551,0.9999999999999999,0.05680473343986599,0.018062271278947564,3.226839913668458,True,0
V2R-PS,p042,5,0.07433936664713701,0.04581916214494386,0.909004232071655,0.051078844690863295,0.020158351578997195,3.0970968230213756,True,0
V2R-PS,p043,3,0.07974888441525586,0.03279800932801738,0.9999999999999989,0.05720160331309628,0.02343094433473532,3.484534097190398,True,0
V2R-PS,p044,1,0.13789974140262298,0.09999999999999999,0.6981526847136283,0.05983609028939122,0.01307375279981683,3.3612917098901414,True,0
V2R-PS,p045,5,0.10545235968990532,0.07507283683910307,0.9999999999997295,0.0563039717781041,0.015899460667893557,3.091759904938683,True,0
V2R-PS,p046,3,0.13051219374051437,0.09999999999999999,1.3518724952218403e-22,0.09316309979253237,0.01817561436976211,4.871253298359408,True,0
V2R-PS,p047,5,0.11446172131667258,0.09999999999999999,0.260835529054812,0.06583672229259264,0.015056591750502816,3.520405436067688,True,0
V2R-PS,p048,4,0.09418303887031512,0.09999999999999999,0.05078301485273824,0.06639878079397331,0.01679485218424425,3.558793664115586,True,0
V2R-PS,p049,1,0.11911257922781594,0.09999999999999999,0.6718330127488462,0.06524405531831115,0.013708503607669528,3.1573038107597786,True,0
V2R-PS,p050,1,0.0883892038752317,0.09999999999999999,0.5081095767829861,0.04761859070007091,0.012143390155305397,2.3815568396691456,True,0
V2R-PS,p051,1,0.09322278633409949,0.09999999999999999,0.5118389902689792,0.04737635606376041,0.011816065401886407,2.3827397119201135,True,0
V2R-PSG,p003,2,0.08843497941036377,0.07568931784343708,0.8141363366078832,0.05372914457085276,0.018717079855746655,3.1653608092392824,True,0
V2R-PSG,p004,1,0.1057997093758889,0.05847210963821158,0.7375566707223068,0.05310867321081642,0.01610411680922574,3.091029374470325,True,0
V2R-PSG,p005,4,0.12254053611516626,0.09999999999999999,0.8864076715600271,0.055013761890020864,0.014790430418825178,3.169365841651434,True,0
V2R-PSG,p006,1,0.11890882223867244,0.08118095262204365,0.6070349381396827,0.05321438759766963,0.014316773081171415,3.09203813412827,True,0
V2R-PSG,p007,5,0.1390761660101325,0.08227373340088528,0.5712274027911425,0.0664982187790598,0.015190150616909126,3.6037051925368635,True,0
V2R-PSG,p008,3,0.09859990811881356,0.09999999999999999,1.8069763519913096e-20,0.2020690945559049,0.0642164015562303,11.841314773786804,True,0
V2R-PSG,p009,5,0.1473203432870998,0.09999999999999999,0.022092099590640037,0.08795708589484177,0.017550456077847554,4.669615661950104,True,0
V2R-PSG,p010,2,0.09623667720159165,0.09999999999999999,0.936396580551226,0.05856992771069452,0.017579919011916034,3.1435168192188225,True,0
V2R-PSG,p011,1,0.05851671246769819,0.04825068386961505,0.9999999999999999,0.05405601607445186,0.024949483292734147,3.1864195161786126,True,0
V2R-PSG,p012,4,0.08047885149703929,0.08996544624194477,0.567783462413647,0.04602660021270702,0.015106696382926622,2.586954350616986,True,0
V2R-PSG,p013,2,0.08841309190963205,0.09999999999999999,0.6121076221131267,0.05203978096961857,0.01584953253696004,2.8696186874714877,True,0
V2R-PSG,p014,3,0.16715814789537337,0.09999999999999999,1.0408479367254415e-16,0.09957555561442674,0.019285283650499772,5.1821018610485865,True,0
V2R-PSG,p015,3,0.09598035330177516,0.09999999999999999,0.5020970274840687,0.044823947192470154,0.015356150480044349,2.6478860454326503,True,0
V2R-PSG,p017,5,0.08222181592003787,0.046967625416619134,0.9999999999999999,0.06110391272172996,0.02437769933158225,3.4539187378673235,True,0
V2R-PSG,p018,2,0.14374147047178104,0.09999999999999999,0.371357013235294,0.08976729848301633,0.017632540448798254,4.51967575580395,True,0
V2R-PSG,p019,1,0.11075120863058399,0.09999999999999999,0.6932780088070127,0.07134862210818137,0.017577232238153773,3.6576876529515023,True,0
V2R-PSG,p020,2,0.06313848969921171,0.09999999999999999,4.6611939085866236e-21,0.14558892910237503,0.0504606395513195,8.199054483435829,True,0
V2R-PSG,p021,3,0.07042473268681924,0.09999999999999999,8.025278288961008e-22,0.1163266137822613,0.04115203182833523,6.278142648471386,True,0
V2R-PSG,p022,3,0.07448917478719813,0.09999999999999999,6.270897149868266e-20,0.14351304910809995,0.051714944806085295,8.052600904045699,True,0
V2R-PSG,p023,2,0.11165801820069643,0.09999999999999999,0.5736684709537193,0.050880389705545766,0.013735344300096448,2.8832643520687773,True,0
V2R-PSG,p024,5,0.12408600296644189,0.09999999999999999,0.9453470864095682,0.05397656783081935,0.01467307327873733,3.0660281267098823,True,0
V2R-PSG,p025,4,0.1024934268166951,0.05008635227373233,0.9426080680219369,0.05556805466857493,0.01797421981482143,3.183587968653759,True,0
V2R-PSG,p026,4,0.12200006500737544,0.09999999999999999,0.8635696715470622,0.054457165774149524,0.014123508615334335,3.0177514334650084,True,0
V2R-PSG,p027,4,0.1197200764063663,0.06763391122354866,0.7638592294895883,0.05282068103660059,0.014789424145280236,3.061671367626305,True,0
V2R-PSG,p028,3,0.11123097183700054,0.08566825562515434,0.5919917196077613,0.051449944309653946,0.016120343169061194,2.9565084414346927,True,0
V2R-PSG,p029,4,0.11510135620908273,0.06994038728699221,0.5291947394704744,0.05332824856794027,0.01397826356360178,2.924423728469555,True,0
V2R-PSG,p031,4,0.08801372071128793,0.0959719003816491,0.8836426370794277,0.04056346598070488,0.012377332367366375,2.146327665263924,True,0
V2R-PSG,p032,1,0.09684618374154969,0.09999999999999998,0.6162998573176651,0.04522173265823824,0.011901037332055801,2.3129249736222826,True,0
V2R-PSG,p033,3,0.0977388689058813,0.05974764030740796,0.4730313103322353,0.034264140993601915,0.011641802229066188,1.931257049419096,True,0
