base_candidate,subject_id,outer_fold,base_logrmse,best_o_logrmse,logrmse_change,delta_f_mel,delta_f_blood
V2R-PS,p003,2,0.057922125503375416,0.05545280993257014,-0.0024693155708052777,0.00019548988175470405,0.007287646491943578
V2R-PS,p004,1,0.05475530015956076,0.05437703539995435,-0.0003782647596064087,0.00020799462304248173,0.0021252422201995386
V2R-PS,p005,4,0.060194150953076134,0.05598168650482218,-0.004212464448253954,0.0005830460282646166,0.014964405926224014
V2R-PS,p006,1,0.054785358335537035,0.05443451267771035,-0.0003508456578266844,2.5409873589815613e-06,-0.004755043664733241
V2R-PS,p007,5,0.06925428454347037,0.06869959799870615,-0.0005546865447642185,0.00010046756868753448,-0.009179046666744836
V2R-PS,p008,3,0.23407616459592723,0.18432656450188553,-0.049749600094041696,-0.005775205529386124,0.0
V2R-PS,p009,5,0.1018093041879918,0.08848323173758796,-0.013326072450403847,-0.006740622388495099,0.0
V2R-PS,p010,2,0.06904302562263542,0.05882884476849009,-0.010214180854145334,0.0033940230042867753,4.163336342344337e-17
V2R-PS,p011,1,0.06952233906576957,0.05863482046616106,-0.010887518599608514,-5.5534115276749396e-05,0.007956071603850687
V2R-PS,p012,4,0.04807383656314663,0.04728749086118692,-0.0007863457019597064,8.98708524382924e-05,-0.00556630896016605
V2R-PS,p013,2,0.05308507583467254,0.05293097479125555,-0.000154101043416989,-0.0003497980307132498,1.3877787807814457e-17
V2R-PS,p014,3,0.11880098159726891,0.10448967211127401,-0.014311309485994905,-0.007132385910872396,0.0
V2R-PS,p015,3,0.0464988596394662,0.04628510825225886,-0.00021375138720734072,6.69570745431558e-05,-0.0030882543662267697
V2R-PS,p017,5,0.07925577178012164,0.06752366452052128,-0.01173210725960036,-0.000614458797200873,0.01090217779544074
V2R-PS,p018,2,0.09568013638873035,0.09146121517326668,-0.004218921215463675,-0.0036841869621452583,0.0
V2R-PS,p019,1,0.07199964434433494,0.07197774743613213,-2.1896908202811982e-05,0.00018804515578040026,0.0
V2R-PS,p020,2,0.18114392407814853,0.1384826421936994,-0.04266128188444912,-0.004894638124082029,0.0
V2R-PS,p021,3,0.1353003733130338,0.10329508962506173,-0.032005283687972064,-0.004402627948165566,0.0
V2R-PS,p022,3,0.1689777213672086,0.12090418716550858,-0.04807353420170002,-0.004704285675037723,0.0
V2R-PS,p023,2,0.05103417825702526,0.05006658298635541,-0.0009675952706698493,-0.0010182298460199024,1.8041124150158794e-16
V2R-PS,p024,5,0.06321482064176343,0.054532718074236444,-0.00868210256752698,0.0036059983180461025,1.3877787807814457e-17
V2R-PS,p025,4,0.06276243219653499,0.05747265097821037,-0.005289781218324623,0.0009353455323416748,0.006011316637208761
V2R-PS,p026,4,0.05910624139900956,0.0552691613722423,-0.0038370800267672617,0.002354401360264352,0.0
V2R-PS,p027,4,0.05502575727598904,0.05447563286357844,-0.0005501244124105978,0.00020688599257208395,0.003642890991913575
V2R-PS,p028,3,0.05184127988456079,0.05184090128259281,-3.7860196797773193e-07,1.6440611633472546e-06,9.581631563536364e-05
V2R-PS,p029,4,0.056025072404002806,0.05490825827150348,-0.0011168141324993247,-0.00017773371725161857,-0.00598892702030307
V2R-PS,p031,4,0.0492759781570936,0.04166644534158508,-0.007609532815508517,0.00026194400162787845,0.014035473474076215
V2R-PS,p032,1,0.04683669283241691,0.046536542979640896,-0.000300149852776016,-0.0004899427611698842,-1.3877787807814457e-17
V2R-PS,p033,3,0.0370422244772449,0.037011626218701243,-3.059825854365844e-05,-3.690716927436111e-05,-0.000357924853308024
V2R-PS,p034,4,0.05370547700799406,0.0450648764064682,-0.008640600601525855,0.0007488560538800107,0.005695373824438882
V2R-PS,p037,2,0.04137671606252328,0.04127171460912802,-0.00010500145339525924,0.00010930923746710342,0.000543882389316748
V2R-PS,p038,2,0.06363654304557742,0.06322701947114773,-0.0004095235744296932,9.164204675224386e-05,-0.0069630436899955905
V2R-PS,p040,5,0.05825258367748167,0.04229120591282263,-0.015961377764659043,0.0003904426265391586,0.01769735972462881
V2R-PS,p041,2,0.06446331309180002,0.05680473343986599,-0.007658579651934033,0.0006567051816048219,0.007677818556576017
V2R-PS,p042,5,0.05424613205561631,0.051078844690863295,-0.0031672873647530173,0.0005333173406175395,0.003698021393080758
V2R-PS,p043,3,0.06512761345204497,0.05720160331309628,-0.00792601013894869,0.00018863015366846203,0.005032622207325681
V2R-PS,p044,1,0.05983637833546097,0.05983609028939122,-2.880460697463061e-07,-2.4888706775416658e-05,0.0
V2R-PS,p045,5,0.06492892250255239,0.0563039717781041,-0.008624950724448285,0.0009436813779990227,0.014669893203543019
V2R-PS,p046,3,0.11238811255401251,0.09316309979253237,-0.019225012761480142,-0.007138335329111817,0.0
V2R-PS,p047,5,0.07668061211131444,0.06583672229259264,-0.010843889818721794,-0.004454057914537415,0.0
V2R-PS,p048,4,0.08915272416537738,0.06639878079397331,-0.022753943371404073,-0.005578381437522456,0.0
V2R-PS,p049,1,0.06531188699334146,0.06524405531831115,-6.783167503031373e-05,-0.0003516724150893352,0.0
V2R-PS,p050,1,0.052025330539360294,0.04761859070007091,-0.004406739839289381,-0.0019278237874459786,0.0
V2R-PS,p051,1,0.0515188920067662,0.04737635606376041,-0.004142535943005794,-0.0019410162272883447,0.0
V2R-PSG,p003,2,0.054955602473589965,0.05372914457085276,-0.0012264579027372047,0.0001296137426814864,0.005791384952183717
V2R-PSG,p004,1,0.05319776412006476,0.05310867321081642,-8.909090924833635e-05,0.00010655204584515687,0.0011042577234219864
V2R-PSG,p005,4,0.05868276588056724,0.055013761890020864,-0.003669003990546378,0.0007981111743672054,0.013234165194180053
V2R-PSG,p006,1,0.05378307563521644,0.05321438759766963,-0.0005686880375468106,1.2505539679338873e-05,-0.006651421279169692
V2R-PSG,p007,5,0.06717394591396988,0.0664982187790598,-0.0006757271349100841,9.487635580071596e-05,-0.01089283742576326
V2R-PSG,p008,3,0.24890374385277267,0.2020690945559049,-0.04683464929686776,-0.006966340483988684,0.0
V2R-PSG,p009,5,0.10063111773940538,0.08795708589484177,-0.012674031844563602,-0.00716613497590729,0.0
V2R-PSG,p010,2,0.06627798121174942,0.05856992771069452,-0.007708053501054905,0.003135450505640014,0.0
V2R-PSG,p011,1,0.06245018678372146,0.05405601607445186,-0.0083941707092696,0.00048097707011787033,0.006526139794551772
V2R-PSG,p012,4,0.04783598091621012,0.04602660021270702,-0.0018093807035031023,0.000205283678525639,-0.010034553620326611
V2R-PSG,p013,2,0.05297350120963454,0.05203978096961857,-0.0009337202400159714,-0.0009225771491988971,0.0
V2R-PSG,p014,3,0.11189958142586505,0.09957555561442674,-0.012324025811438308,-0.007949001433562919,0.0
V2R-PSG,p015,3,0.0495633006170211,0.044823947192470154,-0.004739353424550945,-0.002069495934144891,4.163336342344337e-17
V2R-PSG,p017,5,0.07113899384447793,0.06110391272172996,-0.010035081122747973,-7.399956780036743e-05,0.009571416048156332
V2R-PSG,p018,2,0.09389089842742801,0.08976729848301633,-0.004123599944411679,-0.003907607662734791,0.0
V2R-PSG,p019,1,0.0713523437436162,0.07134862210818137,-3.7216354348279523e-06,-8.207049887433426e-05,0.0
V2R-PSG,p020,2,0.18904670070611374,0.14558892910237503,-0.043457771603738704,-0.005255583096400826,0.0
V2R-PSG,p021,3,0.15666807308825367,0.1163266137822613,-0.040341459305992367,-0.0054109185040712715,0.0
V2R-PSG,p022,3,0.1925758221844429,0.14351304910809995,-0.049062773076342964,-0.005778362800105588,0.0
V2R-PSG,p023,2,0.05252249699796347,0.050880389705545766,-0.001642107292417705,-0.0014490740442183736,0.0
V2R-PSG,p024,5,0.06152118032265101,0.05397656783081935,-0.007544612491831665,0.0036262589768336767,0.0
V2R-PSG,p025,4,0.059385661934439775,0.05556805466857493,-0.0038176072658648447,0.0008658569699990792,0.0052916876858560835
V2R-PSG,p026,4,0.05765276975414145,0.054457165774149524,-0.003195603979991926,0.00227778023359429,2.0816681711721685e-16
V2R-PSG,p027,4,0.053100094699834954,0.05282068103660059,-0.00027941366323436245,0.0001596498815741032,0.0027752151391544355
V2R-PSG,p028,3,0.05239383148652014,0.051449944309653946,-0.0009438871768661927,-1.4850945334848875e-05,-0.0077193439718596935
V2R-PSG,p029,4,0.055026332180259006,0.05332824856794027,-0.0016980836123187334,-0.00021101343049757804,-0.008242609135981668
