camera_name,original_sample_id,light_name,variable_isolation
Nikon D300s,L055_A2,FL11,camera_only
Nikon D3X,L055_A2,FL11,camera_only
Nikon D700,L055_A2,FL11,camera_only
Nikon D90,L055_A2,FL11,camera_only
Pentax K-5,L055_A2,FL11,camera_only
Canon 20D,L055_A3,FL2,camera_only
Canon 300D,L055_A3,FL2,camera_only
Canon 40D,L055_A3,FL2,camera_only
Canon 500D,L055_A3,FL2,camera_only
Canon 600D,L055_A3,FL2,camera_only
Canon 60D,L055_A3,FL2,camera_only
Nikon D200,L055_A3,FL2,camera_only
Nikon D3,L055_A3,FL2,camera_only
Nikon D300s,L055_A3,FL2,camera_only
Nikon D3X,L055_A3,FL2,camera_only
Nikon D700,L055_A3,FL2,camera_only
Nikon D90,L055_A3,FL2,camera_only
Pentax K-5,L055_A3,FL2,camera_only
Canon 20D,L063_A0,FL2,camera_only
Canon 300D,L063_A0,FL2,camera_only
Canon 40D,L063_A0,FL2,camera_only
Canon 500D,L063_A0,FL2,camera_only
Canon 600D,L063_A0,FL2,camera_only
Canon 60D,L063_A0,FL2,camera_only
Nikon D200,L063_A0,FL2,camera_only
Nikon D3,L063_A0,FL2,camera_only
Nikon D300s,L063_A0,FL2,camera_only
Nikon D3X,L063_A0,FL2,camera_only
Nikon D700,L063_A0,FL2,camera_only
Nikon D90,L063_A0,FL2,camera_only
Pentax K-5,L063_A0,FL2,camera_only
Canon 20D,L063_A2,FL11,camera_only
Canon 300D,L063_A2,FL11,camera_only
Canon 40D,L063_A2,FL11,camera_only
Canon 500D,L063_A2,FL11,camera_only
Canon 600D,L063_A2,FL11,camera_only
Canon 60D,L063_A2,FL11,camera_only
Nikon D200,L063_A2,FL11,camera_only
Nikon D3,L063_A2,FL11,camera_only
Nikon D300s,L063_A2,FL11,camera_only
Nikon D3X,L063_A2,FL11,camera_only
Nikon D700,L063_A2,FL11,camera_only
Nikon D90,L063_A2,FL11,camera_only
Pentax K-5,L063_A2,FL11,camera_only
Canon 20D,L063_A3,FL2,camera_only
Canon 300D,L063_A3,FL2,camera_only
Canon 40D,L063_A3,FL2,camera_only
Canon 500D,L063_A3,FL2,camera_only
Canon 600D,L063_A3,FL2,camera_only
Canon 60D,L063_A3,FL2,camera_only
Nikon D200,L063_A3,FL2,camera_only
Nikon D3,L063_A3,FL2,camera_only
Nikon D300s,L063_A3,FL2,camera_only
Nikon D3X,L063_A3,FL2,camera_only
Nikon D700,L063_A3,FL2,camera_only
Nikon D90,L063_A3,FL2,camera_only
Pentax K-5,L063_A3,FL2,camera_only
