fold,best_epoch,training_seconds,train_normal_count,train_patient_count,weight_normal,weight_patient,total_params,trainable_params,macro_auc,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
0,4,133.0521848999997,92,308,2.17391300201416,0.649350643157959,11177538,11177538,0.8458498023715415,0.73,0.6917077175697866,0.7636928289102203,0.6923076923076923,0.7636928289102203
1,20,149.2504958999998,92,308,2.17391300201416,0.649350643157959,11177538,11177538,0.8876341050254093,0.84,0.7733333333333333,0.7893845285149632,0.7807017543859649,0.7893845285149632
2,9,75.45377670000016,92,308,2.17391300201416,0.649350643157959,11177538,11177538,0.8577075098814229,0.81,0.7344074844074844,0.7546583850931676,0.7432085416948236,0.7546583850931676
3,9,92.38796829999774,92,308,2.17391300201416,0.649350643157959,11177538,11177538,0.857707509881423,0.83,0.7625,0.7371541501976284,0.7481854540068138,0.7371541501976284
4,7,45.42814580000049,92,308,2.17391300201416,0.649350643157959,11177538,11177538,0.8836815358554488,0.82,0.7483510908168443,0.7763975155279503,0.76,0.7763975155279503
