epoch,train_loss,inner_val_macro_ovr_auc
1,1.0001658279693986,0.5720816168954519
2,0.6134468903735887,0.5711731295396949
3,0.35477438158002395,0.6163584024661136
4,0.30210237999134304,0.6585129469501879
5,0.2689787123270543,0.6424749462219356
6,0.2433687609191225,0.6958797447899987
7,0.22751490612949324,0.6659448122264484
8,0.2159312298772477,0.6890070470834083
9,0.20640539258811916,0.6426144182244392
10,0.20374774110728297,0.6750192665125345
11,0.2007108034571884,0.648220169077357
12,0.2000389853054453,0.661627760741355
13,0.19784323992587183,0.6485517578224966
14,0.1961636350352936,0.660457694833065
15,0.1955053278458156,0.6585484090320826
16,0.1944600672557436,0.6534473530663368
