candidate,subject_id,capture_id,outer_fold,solver_converged,selected_start_index,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,diameter_um,scattering_amplitude,delta_bs,g0,selected_nfev,selected_status,selected_optimality
V2R-0,p004,p004_neutral_front,1,True,25,0.0638017296590632,0.0776430840605079,11.64646260907619,0.1065770846456847,0.0311827898839381,5.300868833147945,0.1065152213359962,0.0036307843942035,0.0569179411362432,1.872469075973312,False,False,False,False,False,0.0,1.0,0.0,1.0,,,
V2R-0,p006,p006_neutral_front,1,True,21,0.0736993334866028,0.0999999999999999,14.999999999999998,0.1174239807333301,0.0330019881681717,6.040307765974411,0.1172773518133127,0.0058663449368367,0.1394057748913485,0.8423179084571581,True,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p011,p011_neutral_front,1,True,2,0.0344596572490817,0.0353033975323757,5.29550962985637,0.0843581192633024,0.0314261547509066,4.129583285944087,0.084205762732011,-0.0050677222064571,0.3732889911864766,0.2259860892097974,True,False,False,False,False,0.0,1.0,0.0,1.0,,,
V2R-0,p019,p019_neutral_front,1,True,6,0.0683556103441189,0.0999999999999999,14.999999999999998,0.1292665376590537,0.0346382582465766,6.213989329945981,0.1289885695664327,0.0084727020226782,0.1037332125002784,1.2461441667846431,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p032,p032_neutral_front,1,True,6,0.0581626271780248,0.0999999999999999,14.999999999999998,0.1170831550618696,0.0355972895775367,5.788442810907328,0.1168823681254497,0.006853993042648,0.0257088923405327,4.554189014097501,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p044,p044_neutral_front,1,True,8,0.0969933133826459,0.0999999999999999,14.999999999999998,0.1354535565900334,0.0327341767607757,6.897011239461458,0.1352709800681791,0.0070305009980559,0.3098442047484866,0.4371666615484602,True,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p049,p049_neutral_front,1,True,21,0.081915430480419,0.0999999999999999,14.999999999999998,0.1345491495519455,0.0338142088118219,6.48861272600584,0.1342516417386963,0.0089426134667961,0.2047297877318145,0.6572035805956971,True,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p050,p050_neutral_front,1,True,32,0.0580069492149259,0.0999999999999999,14.999999999999998,0.1238709880034837,0.039185248080563,6.235606187860825,0.1232469204709976,0.0124184646142268,0.0339307747016101,3.65069731218385,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p051,p051_neutral_front,1,True,32,0.061996611813398,0.0999999999999999,14.999999999999998,0.1244550952389995,0.0382076450717032,6.245227738983918,0.1238697431146571,0.0120564286443912,0.0553890470777392,2.2469260946902607,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p003,p003_neutral_front,2,True,19,0.0507262317699626,0.0739301555282936,11.089523329244042,0.0902433821647102,0.0278363948176028,4.424703747683609,0.0902193163770252,0.0020839810431428,0.12492241791591,0.7223954168534944,True,False,False,False,False,0.0,1.0,0.0,1.0,,,
V2R-0,p010,p010_neutral_front,2,True,28,0.0527648799969261,0.0999999999999999,14.999999999999998,0.0887290587964214,0.023910421671701,4.078932009522613,0.088701501973166,0.0022112038809741,0.0727337682326018,1.219915603886587,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p013,p013_neutral_front,2,True,20,0.0494528495342465,0.0999999999999999,14.999999999999998,0.1129974425221124,0.0361547983936524,5.623758433910076,0.112768812151625,0.0071844987611951,0.0755801276441504,1.4950681620191453,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p018,p018_neutral_front,2,True,26,0.0943284687232146,0.0999999999999999,14.999999999999998,0.1805325499860183,0.0426492879688393,9.135193432917529,0.1802690244670634,0.0097509190411726,0.2863075203985125,0.6305546907560597,True,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p020,p020_neutral_front,2,True,14,0.0309326023940206,0.0999999999999999,14.999999999999998,0.2414328840252628,0.0942376069714344,13.429014883633736,0.237790728500275,0.0417780675482305,0.2705528085486448,0.8923687960232494,True,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p023,p023_neutral_front,2,True,4,0.0680680436047386,0.0999999999999999,14.999999999999998,0.1096235996420702,0.0342667538417493,5.815185454677503,0.109118654791873,0.010509651511679,0.0892167842191436,1.2287329183800353,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
