left_candidate,right_candidate,median_logrmse_left,median_logrmse_right,right_minus_left_median_logrmse,right_better_subject_fraction
V2R-0,V2R-P,0.10928087793534105,0.0964815294766327,-0.012799348458708351,1.0
V2R-0,V2R-PS,0.10928087793534105,0.061478291574805354,-0.0478025863605357,1.0
V2R-0,V2R-PSG,0.10928087793534105,0.05881906981538026,-0.050461808119960795,1.0
V2R-P,V2R-PS,0.0964815294766327,0.061478291574805354,-0.03500323790182735,0.9318181818181818
V2R-P,V2R-PSG,0.0964815294766327,0.05881906981538026,-0.037662459661252444,1.0
V2R-PS,V2R-PSG,0.061478291574805354,0.05881906981538026,-0.0026592217594250955,0.7272727272727273
