candidate,subject_id,outer_fold,reference_logrmse,model_logrmse,error_ratio,model_better,reference_source
V2R-0,p004,1,0.0569179411362432,0.1065770846456847,1.872469075973312,False,
V2R-0,p006,1,0.1394057748913485,0.1174239807333301,0.8423179084571581,True,
V2R-0,p011,1,0.3732889911864766,0.0843581192633024,0.2259860892097974,True,
V2R-0,p019,1,0.1037332125002784,0.1292665376590537,1.2461441667846431,False,
V2R-0,p032,1,0.0257088923405327,0.1170831550618696,4.554189014097501,False,
V2R-0,p044,1,0.3098442047484866,0.1354535565900334,0.4371666615484602,True,
V2R-0,p049,1,0.2047297877318145,0.1345491495519455,0.6572035805956971,True,
V2R-0,p050,1,0.0339307747016101,0.1238709880034837,3.65069731218385,False,
V2R-0,p051,1,0.0553890470777392,0.1244550952389995,2.2469260946902607,False,
V2R-0,p003,2,0.12492241791591,0.0902433821647102,0.7223954168534944,True,
V2R-0,p010,2,0.0727337682326018,0.0887290587964214,1.219915603886587,False,
V2R-0,p013,2,0.0755801276441504,0.1129974425221124,1.4950681620191453,False,
V2R-0,p018,2,0.2863075203985125,0.1805325499860183,0.6305546907560597,True,
V2R-0,p020,2,0.2705528085486448,0.2414328840252628,0.8923687960232494,True,
V2R-0,p023,2,0.0892167842191436,0.1096235996420702,1.2287329183800353,False,
V2R-0,p037,2,0.137458735883587,0.0997453142319131,0.7256382331086387,True,
V2R-0,p038,2,0.1553245037958918,0.1397330139018196,0.8996198956826502,True,
V2R-0,p041,2,0.0782387437641309,0.0992313818654622,1.268315122295656,False,
V2R-0,p008,3,0.244548020468925,0.3004407624866042,1.228555282968571,False,
V2R-0,p014,3,0.3163864289197167,0.2082378233420437,0.6581755862698023,True,
V2R-0,p015,3,0.1363362173921327,0.1004751341293978,0.7369658338136916,True,
V2R-0,p021,3,0.3130906041516113,0.1955459937412355,0.6245667904059625,True,
V2R-0,p022,3,0.3035463164089812,0.2274896481153404,0.7494396598403577,True,
V2R-0,p028,3,0.0719508387437177,0.0923864666669459,1.2840220945306555,False,
V2R-0,p033,3,0.1749406623424799,0.091078098944043,0.5206228084682804,True,
V2R-0,p043,3,0.2089411172685215,0.0681049055267444,0.3259526244382964,True,
V2R-0,p046,3,0.3075360483278093,0.2011613392910889,0.6541065360788754,True,
V2R-0,p005,4,0.1358455305140367,0.1017936280532252,0.7493336561610845,True,
V2R-0,p012,4,0.1349698970672302,0.1072116454078256,0.7943374614446223,True,
V2R-0,p025,4,0.0945105824623186,0.095046829058046,1.0056739317625225,False,
V2R-0,p026,4,0.1329135637786801,0.1040624341402848,0.782933142275558,True,
V2R-0,p027,4,0.1048888958057871,0.1089381562286119,1.0386052345361931,False,
V2R-0,p029,4,0.0866531927313216,0.127025274099402,1.465904141504153,False,
V2R-0,p031,4,0.1111794200646268,0.0865181297349131,0.7781847547380765,True,
V2R-0,p034,4,0.3058002406024518,0.080966792152581,0.2647702042126252,True,
V2R-0,p048,4,0.0845282190446583,0.1680939749480889,1.9886137061432785,False,
V2R-0,p007,5,0.2231799342339794,0.1441264280241579,0.6457857805131231,True,
V2R-0,p009,5,0.3132877392838114,0.1950412126652456,0.6225625462110895,True,
V2R-0,p017,5,0.2346034856449402,0.0943305645711802,0.4020850939697654,True,
V2R-0,p024,5,0.1301839330223582,0.0928250879094255,0.7130302930199802,True,
V2R-0,p040,5,0.1841406946227375,0.0763670316438315,0.4147211011682684,True,
V2R-0,p042,5,0.2131414499690293,0.0730522400532335,0.3427406544520009,True,
V2R-0,p045,5,0.078313582785636,0.1053325307430882,1.3450097287900855,False,
V2R-0,p047,5,0.1850256132003054,0.1617582951419817,0.8742481235117707,True,
V2R-P,p004,1,0.0569179411362432,0.0920386281951048,1.6170407143644554,False,
V2R-P,p006,1,0.1394057748913485,0.1055389041372293,0.7570626411960717,True,
V2R-P,p011,1,0.3732889911864766,0.0666694607686023,0.178600125754305,True,
V2R-P,p019,1,0.1037332125002784,0.1192824488894604,1.1498964122907145,False,
V2R-P,p032,1,0.0257088923405327,0.1018567411211878,3.9619264716667737,False,
V2R-P,p044,1,0.3098442047484866,0.1288676463578858,0.4159111075273881,True,
V2R-P,p049,1,0.2047297877318145,0.1269588964105524,0.6201290873063477,True,
V2R-P,p050,1,0.0339307747016101,0.1107098840567801,3.2628162790378816,False,
V2R-P,p051,1,0.0553890470777392,0.1121799221077766,2.0253087573492774,False,
V2R-P,p003,2,0.12492241791591,0.0744363745295801,0.5958608212313506,True,
V2R-P,p010,2,0.0727337682326018,0.0766674362668897,1.0540831051363666,False,
V2R-P,p013,2,0.0755801276441504,0.0970785607967785,1.284445578788222,False,
V2R-P,p018,2,0.2863075203985125,0.1742869040625973,0.6087402238684012,True,
V2R-P,p020,2,0.2705528085486448,0.2241318749124526,0.8284219118433368,True,
V2R-P,p023,2,0.0892167842191436,0.0990135622718644,1.109808688336681,False,
V2R-P,p037,2,0.137458735883587,0.0810954557867628,0.5899621822176659,True,
V2R-P,p038,2,0.1553245037958918,0.127991001011494,0.8240232409155733,True,
V2R-P,p041,2,0.0782387437641309,0.084437992054074,1.07923501824917,False,
V2R-P,p008,3,0.244548020468925,0.2872900228967297,1.174779588670749,False,
V2R-P,p014,3,0.3163864289197167,0.202596228205392,0.6403442426312191,True,
V2R-P,p015,3,0.1363362173921327,0.0832972261086142,0.6109691738698695,True,
V2R-P,p021,3,0.3130906041516113,0.1749433810694803,0.5587627950175265,True,
V2R-P,p022,3,0.3035463164089812,0.2093342939737456,0.6896288396782927,True,
V2R-P,p028,3,0.0719508387437177,0.0780638989481169,1.0849616253421777,False,
V2R-P,p033,3,0.1749406623424799,0.0718314121028594,0.4106044366188328,True,
V2R-P,p043,3,0.2089411172685215,0.0549618391135748,0.2630494171376541,True,
V2R-P,p046,3,0.3075360483278093,0.1961838709128028,0.6379215444157825,True,
V2R-P,p005,4,0.1358455305140367,0.0911416890727586,0.6709215145163803,True,
V2R-P,p012,4,0.1349698970672302,0.0896235510693974,0.6640262237493945,True,
V2R-P,p025,4,0.0945105824623186,0.0802206015999886,0.8488002032150483,True,
V2R-P,p026,4,0.1329135637786801,0.0942095353856862,0.7088030198524992,True,
V2R-P,p027,4,0.1048888958057871,0.0958844981564869,0.9141529941742084,True,
V2R-P,p029,4,0.0866531927313216,0.1135101817463156,1.3099365201495483,False,
V2R-P,p031,4,0.1111794200646268,0.0693537996667437,0.6238006964457047,True,
V2R-P,p034,4,0.3058002406024518,0.0603593098439461,0.19738149886682,True,
V2R-P,p048,4,0.0845282190446583,0.1571618023050687,1.8592820726772472,False,
V2R-P,p007,5,0.2231799342339794,0.134321828462811,0.6018544136767665,True,
V2R-P,p009,5,0.3132877392838114,0.1899660142831477,0.6063627472859866,True,
V2R-P,p017,5,0.2346034856449402,0.0787655985765075,0.3357392511026671,True,
V2R-P,p024,5,0.1301839330223582,0.0832540715347045,0.6395111101798268,True,
V2R-P,p040,5,0.1841406946227375,0.0587141842479716,0.3188550166396604,True,
V2R-P,p042,5,0.2131414499690293,0.0568139744825018,0.2665552593864649,True,
V2R-P,p045,5,0.078313582785636,0.0916831169937568,1.1707179486950117,False,
V2R-P,p047,5,0.1850256132003054,0.15318887784596,0.827933361205081,True,
V2R-PS,p004,1,0.056917941136243246,0.05475530015956073,0.9620042304146974,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p006,1,0.13940577489134853,0.054785358335537,0.39299202904783653,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p011,1,0.3732889911864766,0.06952233906576887,0.18624267178305015,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p019,1,0.10373321250027841,0.07199964434433495,0.6940847835416426,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p032,1,0.025708892340532755,0.04683669283241692,1.821809053926994,False,outer_fold_train_subject_log_geometric_mean
V2R-PS,p044,1,0.3098442047484866,0.05983637833546091,0.19311762950038902,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p049,1,0.20472978773181452,0.06531188699334145,0.3190150672109164,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p050,1,0.0339307747016101,0.05202533053936031,1.5332785943402458,False,outer_fold_train_subject_log_geometric_mean
V2R-PS,p051,1,0.055389047077739215,0.05151889200676621,0.9301277910497143,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p003,2,0.12492241791591004,0.05792212550337538,0.46366478066702915,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p010,2,0.0727337682326018,0.06904302562263542,0.9492568211485561,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p013,2,0.07558012764415048,0.053085075834672514,0.7023681685827509,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p018,2,0.2863075203985125,0.09568013638873035,0.3341865985760794,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p020,2,0.27055280854864483,0.18114392407814842,0.669532595318001,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p023,2,0.08921678421914363,0.05103417825702526,0.5720244089012417,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p037,2,0.13745873588358706,0.041376716062523244,0.30101190583889065,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p038,2,0.15532450379589183,0.06363654304557684,0.4097006041570883,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p041,2,0.07823874376413094,0.0644633130918,0.8239308300519216,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p008,3,0.24454802046892507,0.23407616459592723,0.9571787338416484,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p014,3,0.3163864289197167,0.11880098159726887,0.375493291551436,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p015,3,0.13633621739213275,0.04649885963946625,0.34106021517177176,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p021,3,0.3130906041516113,0.13530037331303377,0.4321444703831348,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p022,3,0.3035463164089812,0.1689777213672086,0.556678543710402,True,outer_fold_train_subject_log_geometric_mean
