candidate,outer_fold,parameter,value,loss,loss_kind,solver_success,nfev,grid_kind,profile_source,profile_identifiable,acceptable_normalized_span
V2R-PS,1,A_s,1.3599999999999999,0.0666907963647234,centered_logrmse,True,41,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.38,0.06643816144992899,centered_logrmse,True,42,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.4,0.06623225910798759,centered_logrmse,True,78,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.42,0.06606979845215079,centered_logrmse,True,13,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.44,0.06595295430057202,centered_logrmse,True,16,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.46,0.06588735249789937,centered_logrmse,True,14,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.4763056990827377,0.06587095577850532,centered_logrmse,True,4,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.48,0.06587178982672366,centered_logrmse,True,12,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.5,0.06590493809542909,centered_logrmse,True,29,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.52,0.06598540624893069,centered_logrmse,True,67,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.54,0.0661118531200074,centered_logrmse,True,19,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.56,0.06628271608311899,centered_logrmse,True,21,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.58,0.06649635104982207,centered_logrmse,True,58,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,A_s,1.6,0.0667509709696794,centered_logrmse,True,64,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,1,delta_bs,-0.5,0.08266258418718424,centered_logrmse,True,64,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.48,0.08218216138912321,centered_logrmse,True,74,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.46,0.08170301975722896,centered_logrmse,True,29,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.44,0.08114997749036305,centered_logrmse,True,25,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.42,0.08068258581092354,centered_logrmse,True,26,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.4,0.08021866901641748,centered_logrmse,True,28,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.38,0.07975826776972195,centered_logrmse,True,27,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.36,0.07930141902062682,centered_logrmse,True,26,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.33999999999999997,0.07884817945805014,centered_logrmse,True,30,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.32,0.07839862249664302,centered_logrmse,True,32,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.3,0.07795283881445568,centered_logrmse,True,31,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.28,0.07751094351497798,centered_logrmse,True,39,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.26,0.07707308535551578,centered_logrmse,True,35,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.24,0.0766394611022673,centered_logrmse,True,34,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.21999999999999997,0.07621033480498526,centered_logrmse,True,39,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.2,0.07578605202169376,centered_logrmse,True,48,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.18,0.07536702974620156,centered_logrmse,True,45,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.15999999999999998,0.07495371581337852,centered_logrmse,True,58,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.14,0.0745465442696616,centered_logrmse,True,74,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.12,0.07413966196464893,centered_logrmse,True,15,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.09999999999999998,0.07373698195204471,centered_logrmse,True,16,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.08000000000000002,0.07334129790316324,centered_logrmse,True,19,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.06,0.07292480623037324,centered_logrmse,True,13,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.03999999999999998,0.07254369863313151,centered_logrmse,True,14,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,-0.020000000000000018,0.0721711304576036,centered_logrmse,True,13,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.0,0.07180695636501011,centered_logrmse,True,13,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.020000000000000018,0.07145164749469088,centered_logrmse,True,16,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.040000000000000036,0.07110582915276241,centered_logrmse,True,18,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.06000000000000005,0.0707700223854671,centered_logrmse,True,17,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.07999999999999996,0.07044480105374096,centered_logrmse,True,19,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.09999999999999998,0.07013053823667752,centered_logrmse,True,22,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.12,0.06982745449496217,centered_logrmse,True,24,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.14,0.06953628955734399,centered_logrmse,True,28,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.16000000000000003,0.06925777777744573,centered_logrmse,True,36,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.18000000000000005,0.06899247746895831,centered_logrmse,True,41,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
