candidate,subject_id,capture_id,outer_fold,solver_converged,selected_start_index,selected_nfev,selected_status,selected_optimality,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,diameter_um,scattering_amplitude,delta_bs,g0
V2R-PS,p004,p004_neutral_front,1,True,6,10,1,5.626538035159003e-09,0.09849210803674126,0.05540229121055276,8.310343681582914,0.05475530015956073,0.01668325868135707,3.1695802302197187,0.05472077275770092,-0.0019442027578541723,0.056917941136243246,0.9620042304146974,True,False,False,False,False,15.0,1.4763056990827377,0.4999999999999999,1.0
V2R-PS,p006,p006_neutral_front,1,True,4,9,1,3.749333454913129e-09,0.11109510215132987,0.08468614834924436,12.702922252386653,0.054785358335537,0.014430003436373693,3.1276928308239285,0.054772294991503954,-0.001196323249320039,0.13940577489134853,0.39299202904783653,True,False,False,False,False,15.0,1.4763056990827377,0.4999999999999999,1.0
V2R-PS,p011,p011_neutral_front,1,True,23,9,2,2.2757123165044435e-08,0.05288853440633315,0.03875963762582807,5.81394564387421,0.06952233906576887,0.03608436974367858,4.263474909002386,0.06877761563922483,-0.010148655879415273,0.3732889911864766,0.18624267178305015,True,False,False,False,False,15.0,1.4763056990827377,0.4999999999999999,1.0
V2R-PS,p019,p019_neutral_front,1,True,32,9,2,1.9180473727922055e-08,0.10270063238747941,0.09999999999999999,14.999999999999998,0.07199964434433495,0.017693029296299102,3.6743821416685045,0.07199276140067686,-0.0009955358436231118,0.10373321250027841,0.6940847835416426,True,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.0
V2R-PS,p032,p032_neutral_front,1,True,2,13,1,3.1764929445773866e-09,0.09006866226018734,0.09999999999999999,14.999999999999998,0.04683669283241692,0.012062167838211981,2.3395493974703063,0.0468283140632303,-0.0008858879577252703,0.025708892340532755,1.821809053926994,False,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.0
V2R-PS,p044,p044_neutral_front,1,True,1,13,3,1.0233039989495004e-08,0.13792463010944528,0.09999999999999999,14.999999999999998,0.05983637833546091,0.013071216715613667,3.3608932644553042,0.05982712593719011,-0.0010522235503967368,0.3098442047484866,0.19311762950038902,True,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.0
V2R-PS,p049,p049_neutral_front,1,True,11,11,2,1.1197703584017082e-08,0.1194642517065337,0.09999999999999999,14.999999999999998,0.06531188699334145,0.013651561686961461,3.15166686103451,0.06530291280694088,-0.0010826641030728,0.20472978773181452,0.3190150672109164,True,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.0
V2R-PS,p050,p050_neutral_front,1,True,10,11,1,1.4932503637682316e-09,0.09031702763375837,0.09999999999999999,14.999999999999998,0.05202533053936031,0.013670701821966037,2.6074451090836215,0.05199656795602212,0.0017297220945774667,0.0339307747016101,1.5332785943402458,False,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.0
V2R-PS,p051,p051_neutral_front,1,True,19,8,2,1.6136554381674076e-08,0.09516380267404527,0.09999999999999999,14.999999999999998,0.05151889200676621,0.01302396649667118,2.575722927105492,0.051503527306115876,0.0012581369691000103,0.055389047077739215,0.9301277910497143,True,False,False,False,True,15.0,1.4763056990827377,0.4999999999999999,1.0
V2R-PS,p003,p003_neutral_front,2,True,24,9,1,9.389658297970948e-09,0.08032945990977179,0.06500564062922921,9.750846094384382,0.05792212550337538,0.021515270412953643,3.5032867390046776,0.05783213520769459,-0.0032275006038264996,0.12492241791591004,0.46366478066702915,True,False,False,False,False,15.0,1.4878127891963353,0.4999999999999999,1.0
V2R-PS,p010,p010_neutral_front,2,True,32,12,1,1.2327356123507084e-09,0.08379450813733356,0.09999999999999995,14.999999999999993,0.06904302562263542,0.023983883309254803,3.968672746684671,0.06895091606289701,-0.0035651874025389757,0.0727337682326018,0.9492568211485561,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0
V2R-PS,p013,p013_neutral_front,2,True,23,14,1,3.2093898611779e-09,0.08010023821390894,0.09999999999999995,14.999999999999993,0.053085075834672514,0.015789594404352108,2.8601111730041966,0.05308228071317016,-0.0005447482548247768,0.07558012764415048,0.7023681685827509,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0
V2R-PS,p018,p018_neutral_front,2,True,32,8,2,2.4701207261684103e-08,0.13599722214757679,0.09999999999999999,14.999999999999998,0.09568013638873035,0.018982547348680892,4.835493893241811,0.0956511277892506,-0.0023558972835186465,0.2863075203985125,0.3341865985760794,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0
