candidate,subject_id,outer_fold,start_index,selected,success,valid,logrmse,cost,nfev,status,optimality,initial_theta,final_theta
V2R-PS,p004,1,18,False,True,True,0.054755300159560885,0.040474929090108705,10,1,6.511093636973955e-09,"[0.3381239766441286,0.059305240493267776]","[0.09849210778307657,0.055402292392685196]"
V2R-PS,p004,1,19,False,True,True,0.05475530015956105,0.040474929090108955,7,1,8.876514795114799e-09,"[0.09655071299523114,0.027565486170351507]","[0.09849210899388404,0.055402286828217684]"
V2R-PS,p004,1,20,False,True,True,0.05475530015956087,0.04047492909010869,8,1,5.904610096046132e-09,"[0.020166591303423048,0.06693046055734157]","[0.09849210771231441,0.05540229261452611]"
V2R-PS,p004,1,21,False,True,True,0.05475530015956086,0.040474929090108684,10,1,6.670979282905952e-09,"[0.42364591720514,0.04768764125183225]","[0.0984921084260357,0.05540228951974734]"
V2R-PS,p004,1,22,False,True,True,0.054755300159560885,0.04047492909010872,9,1,2.4287019898612682e-09,"[0.2696691325493157,0.07934459513053299]","[0.09849210769903605,0.05540229287256537]"
V2R-PS,p004,1,23,False,True,True,0.0547553001595609,0.040474929090108726,9,1,1.7998618144598754e-09,"[0.13559587851166724,0.010297199897468091]","[0.09849210753843593,0.05540229369246224]"
V2R-PS,p004,1,24,False,True,True,0.05475530015956088,0.040474929090108705,7,1,1.7970798191525427e-09,"[0.1301412095874548,0.056243073567748075]","[0.0984921077056647,0.05540229283564781]"
V2R-PS,p004,1,25,False,True,True,0.05475530015956082,0.040474929090108615,10,1,4.838949031014107e-09,"[0.31796442518010737,0.0370001588948071]","[0.09849210818581931,0.055402290577032914]"
V2R-PS,p004,1,26,False,True,True,0.05475530015956081,0.04047492909010861,9,1,6.749963927297727e-09,"[0.37955190653912724,0.09363360470160842]","[0.09849210796102484,0.05540229181147277]"
V2R-PS,p004,1,27,False,True,True,0.05475530015956081,0.04047492909010861,8,1,6.4252935578082985e-09,"[0.029822516562417148,0.02458592336624861]","[0.09849210802944007,0.05540229140174581]"
V2R-PS,p004,1,28,False,True,True,0.05475530015956085,0.04047492909010866,7,2,1.287444691238659e-07,"[0.061699500866234304,0.08250500932335854]","[0.09849210766574933,0.055402291477967186]"
V2R-PS,p004,1,29,False,True,True,0.05475530015956087,0.04047492909010869,11,1,1.5410493598974675e-09,"[0.35702270044013856,0.0009603665210306645]","[0.09849210811883627,0.055402290793426595]"
V2R-PS,p004,1,30,False,True,True,0.05475530015956083,0.040474929090108636,9,1,8.096153290289385e-09,"[0.2287923493143171,0.0701152223162353]","[0.09849210830747897,0.05540228973444126]"
V2R-PS,p004,1,31,False,True,True,0.05475530015956092,0.040474929090108754,9,1,4.708554758928515e-09,"[0.201562968948856,0.038375372625887395]","[0.09849210780137821,0.0554022923520786]"
V2R-PS,p004,1,32,False,True,True,0.05475530015956083,0.04047492909010862,9,1,5.309008823509821e-09,"[0.215,0.05]","[0.0984921082716221,0.055402290157091805]"
V2R-PS,p006,1,0,False,True,True,0.054785358335541615,0.04051937908737493,8,2,3.510058260788763e-08,"[0.07534087788313627,0.0928423329256475]","[0.11109509507667317,0.08468619436319398]"
V2R-PS,p006,1,1,False,True,True,0.05478535833553758,0.040519379087368974,13,1,4.563692478489655e-09,"[0.30845056219026445,0.04457924021407962]","[0.11109510377259638,0.08468613762415866]"
V2R-PS,p006,1,2,False,True,True,0.0547853583355404,0.040519379087373145,13,1,5.619920803567346e-09,"[0.3948367362469435,0.06183353029191494]","[0.1110951067381441,0.08468611826283623]"
V2R-PS,p006,1,3,False,True,True,0.05478535833554254,0.04051937908737631,13,1,9.181100717228336e-09,"[0.18881270648911594,0.0007712192833423615]","[0.11109510821564364,0.08468610854171678]"
V2R-PS,p006,1,4,True,True,True,0.054785358335537,0.04051937908736811,9,1,3.749333454913129e-09,"[0.127671416150406,0.06929626669734716]","[0.11109510215132987,0.08468614834924436]"
V2R-PS,p006,1,5,False,True,True,0.05478535833553751,0.040519379087368856,14,1,4.314701129604972e-09,"[0.361935467524454,0.018292746134102346]","[0.11109510345360292,0.08468613967964791]"
V2R-PS,p006,1,6,False,True,True,0.054785358335543745,0.040519379087378085,11,2,1.0927960250066486e-08,"[0.2347897294256836,0.07597674177959562]","[0.11109510887232721,0.08468610444873512]"
V2R-PS,p006,1,7,False,True,True,0.054785358335554916,0.04051937908739462,11,2,2.1478782414698745e-08,"[0.028031251272186638,0.03640487054362893]","[0.11109511367956743,0.0846860732129258]"
V2R-PS,p006,1,8,False,True,True,0.05478535833553759,0.04051937908736898,11,1,4.299149120819898e-09,"[0.004314429592341185,0.05543069383129478]","[0.11109510354646131,0.08468613928978747]"
V2R-PS,p006,1,9,False,True,True,0.05478535833553739,0.04051937908736869,14,1,1.6572819654351326e-09,"[0.2585247988626361,0.007161491643637419]","[0.11109510311854723,0.08468614193126879]"
V2R-PS,p006,1,10,False,True,True,0.05478535833553885,0.04051937908737085,12,1,4.222830457897512e-09,"[0.3315013343282044,0.09922037981450559]","[0.11109510530245371,0.08468612774519987]"
V2R-PS,p006,1,11,False,True,True,0.05478535833553957,0.040519379087371916,11,1,7.406745300494968e-09,"[0.158126667663455,0.03816416636109352]","[0.11109510605785818,0.08468612278303635]"
V2R-PS,p006,1,12,False,True,True,0.054785358335537784,0.04051937908736928,10,1,4.786922366810226e-09,"[0.16509096304886042,0.08170801308006048]","[0.11109510385847567,0.08468613725090608]"
V2R-PS,p006,1,13,False,True,True,0.05478535833553728,0.04051937908736851,14,1,6.225901440247438e-09,"[0.4185668871272355,0.030710578151047233]","[0.11109510309446605,0.08468614231779623]"
V2R-PS,p006,1,14,False,True,True,0.05478535833554,0.04051937908737254,12,1,7.909023218692099e-09,"[0.27800822659395635,0.06358980881050229]","[0.11109510636961321,0.0846861207776491]"
