AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,failed_sample_id,camera,light,variable_isolation,original_camera,exposure_ev,valid_pixel_count,high_clip_element_fraction,high_clip_pixel_any_fraction,high_clip_pixel_all_fraction,low_clip_element_fraction,low_clip_pixel_any_fraction,low_clip_pixel_all_fraction,R_high_clip_fraction,R_low_clip_fraction,G_high_clip_fraction,G_low_clip_fraction,B_high_clip_fraction,B_low_clip_fraction,finite,nonfinite_count
True,True,True,True,L024_A1,Canon 5DMarkII,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.004786173502604167,0.0143585205078125,0.0,0.0,0.0,0.0,0.0143585205078125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Nikon D80,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.0067138671875,0.0201416015625,0.0,0.0,0.0,0.0,0.0201416015625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Olympus E-PL2,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.008855183919270834,0.0265655517578125,0.0,0.0,0.0,0.0,0.0265655517578125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Canon 300D,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.005584716796875,0.016754150390625,0.0,0.0,0.0,0.0,0.016754150390625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Canon 1DMarkIII,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.005701700846354167,0.0171051025390625,0.0,0.0,0.0,0.0,0.0171051025390625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Nikon D5100,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.00677490234375,0.02032470703125,0.0,0.0,0.0,0.0,0.02032470703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Canon 5DMarkII,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.055511474609375,0.166534423828125,0.0,0.0,0.0,0.0,0.166534423828125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Nikon D80,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.06744384765625,0.20233154296875,0.0,0.0,0.0,0.0,0.20233154296875,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Olympus E-PL2,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.07245381673177083,0.2173614501953125,0.0,0.0,0.0,0.0,0.2173614501953125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Canon 300D,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.060511271158854164,0.1815338134765625,0.0,0.0,0.0,0.0,0.1815338134765625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Canon 1DMarkIII,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.062479654947916664,0.18743896484375,0.0,0.0,0.0,0.0,0.18743896484375,0.0,0.0,0.0,0.0,0.0,True,0
