sample_id,spearman_P_high_clip,spearman_S_high_clip,mean_P_clipped,mean_P_nonclipped,mean_S_clipped,mean_S_nonclipped,fraction_clipped_pixels_in_top20_percent_P,fraction_clipped_pixels_in_top20_percent_S,IoU_clipped_top20_P,IoU_clipped_top20_S
L024_A1,,0.24320941471090884,0.0,0.0,1.365705966949463,0.9924827218055725,1.0,1.0,0.0201416015625,0.1007018614586512
L024_A2,-0.16791989301590066,0.6430986594225904,1.565040541606777e-09,0.00040199735667556524,1.2456110715866089,0.9509245157241821,0.11838006230529595,0.9948689756276342,0.05684117905851298,0.8248252810695837
L040_A4,-0.3824523652061391,0.8588363420351455,0.00034770515048876405,0.0005523311556316912,1.135366439819336,0.8878875374794006,0.059415945299605914,0.44151032368890836,0.042989788706650746,0.44151032368890836
L048_A2,-0.0019544174714347545,0.0711850080972963,8.340508429682814e-06,0.00016564319957979023,1.433059573173523,0.9992652535438538,0.3963963963963964,1.0,0.0033396584440227705,0.00846811107720476
