camera_name,illuminant_name,relative_rgb_error_median,relative_rgb_error_p95,relative_rgb_error_max,chromaticity_l1_p95,finite_fraction
Nikon D40,FL11,0.00143949783734,0.00249561490476,0.00308884750082,0.00115022631368,1.0
Nikon D40,FL2,0.000371875356764,0.00123438229646,0.00142284479141,0.000427302788697,1.0
Nikon D50,A,0.000394142563034,0.00136123914108,0.00171361752611,0.000451606620678,1.0
Nikon D50,D65,0.000490788769008,0.000970740993401,0.00115740095568,0.000388333916024,1.0
Nikon D50,FL11,0.0016331277834,0.00287094508218,0.00358730012292,0.00134560688418,1.0
Nikon D50,FL2,0.000575457888386,0.00140491441817,0.00178017640917,0.000571365460552,1.0
Nikon D5100,A,0.000331640967096,0.00108746358244,0.0013384591377,0.000383053064627,1.0
Nikon D5100,D65,0.000473738134397,0.00105965219985,0.00126216197072,0.000336014268653,1.0
Nikon D5100,FL11,0.00150951435491,0.00269457572193,0.00311597236522,0.00113235709705,1.0
Nikon D5100,FL2,0.000468596790545,0.00184062517089,0.00213410935025,0.000507576912084,1.0
Nikon D700,A,0.000386763429746,0.00147820199674,0.00183247679035,0.00044987491603,1.0
Nikon D700,D65,0.000463501207395,0.000996429152967,0.00119570105691,0.000375285471854,1.0
Nikon D700,FL11,0.00157426212626,0.00266772930493,0.00329268884133,0.00107448136684,1.0
Nikon D700,FL2,0.000433343601582,0.00136266502072,0.0017344284593,0.000460196307657,1.0
Nikon D80,A,0.000378361916693,0.0015483730434,0.00193880605412,0.00045075698009,1.0
Nikon D80,D65,0.000458611528701,0.000960480661057,0.00115377828922,0.000362348260844,1.0
Nikon D80,FL11,0.00208635018299,0.00392837012828,0.00503630664582,0.00133798588166,1.0
Nikon D80,FL2,0.000502901826491,0.00134828134514,0.00158964011472,0.000507684718589,1.0
Nikon D90,A,0.000373433991729,0.00114354992672,0.00142199736338,0.000437688798083,1.0
Nikon D90,D65,0.000496944469794,0.00086254809763,0.00103717026665,0.000376068060189,1.0
Nikon D90,FL11,0.00122668904101,0.00198534820456,0.00226229026607,0.00120936119015,1.0
Nikon D90,FL2,0.000675385273796,0.0012660266067,0.00159704946793,0.000638381069578,1.0
Nokia N900,A,0.000330364788216,0.000532477574821,0.000609715152205,0.000281365397491,1.0
Nokia N900,D65,0.000505740336021,0.000722985136222,0.000785231751199,0.000356705181309,1.0
Nokia N900,FL11,0.00129638019115,0.00309383481182,0.00381816126064,0.00187239924963,1.0
Nokia N900,FL2,0.000746652161125,0.00103446175682,0.00109037175893,0.000529680915897,1.0
Olympus E-PL2,A,0.000324105979013,0.000676738141118,0.000800195829593,0.000332948308459,1.0
Olympus E-PL2,D65,0.00044373011079,0.00066130384271,0.000759069435588,0.000345476590871,1.0
Olympus E-PL2,FL11,0.00158800442146,0.00598783501198,0.00737441319543,0.00136572314638,1.0
Olympus E-PL2,FL2,0.000467425268485,0.000955036567495,0.00115279160305,0.000431381331389,1.0
Pentax K-5,A,0.000309970744847,0.00101855044586,0.00125323402545,0.000351200280488,1.0
Pentax K-5,D65,0.000436687880792,0.000947436627579,0.00113522691386,0.00030329138645,1.0
Pentax K-5,FL11,0.00132499319383,0.00223070359264,0.0026281554138,0.00113635247964,1.0
Pentax K-5,FL2,0.000432635953655,0.00140372726405,0.00170625100125,0.00040766858517,1.0
Pentax Q,A,0.000230261406604,0.000391749739487,0.000462200438956,0.000198494112477,1.0
Pentax Q,D65,0.000360108089624,0.000628499634219,0.000774683561909,0.000228923027332,1.0
Pentax Q,FL11,0.000599009444632,0.000818825544019,0.00086381255733,0.000504107084055,1.0
Pentax Q,FL2,0.000415893266685,0.000747808068947,0.0009066761198,0.000255616529036,1.0
Phase One,A,0.000309717429903,0.000808775457938,0.00102155615834,0.000249508891594,1.0
Phase One,D65,0.000208904142989,0.000664134240507,0.000815796489147,0.000241849236132,1.0
Phase One,FL11,0.0012715386814,0.00187293532509,0.00204311174523,0.001536745372,1.0
Phase One,FL2,0.000236449212471,0.000662568077826,0.000736675582863,0.000288950447492,1.0
Point Grey Grasshopper 50S5C,A,0.000214013070278,0.000558333400468,0.00074339995629,0.00022003343067,1.0
Point Grey Grasshopper 50S5C,D65,0.000286230087671,0.000656500629941,0.000792451061238,0.000194859317622,1.0
Point Grey Grasshopper 50S5C,FL11,0.000556792493492,0.00162071436101,0.00180800094581,0.000400712950264,1.0
Point Grey Grasshopper 50S5C,FL2,0.000690278158948,0.000955770444565,0.00102481851679,0.000501960191033,1.0
Point Grey Grasshopper2 14S5C,A,0.000378069462131,0.00105182632043,0.00145403014778,0.000391671217373,1.0
Point Grey Grasshopper2 14S5C,D65,0.000432204470256,0.000834177321142,0.00100501880171,0.000327891750871,1.0
Point Grey Grasshopper2 14S5C,FL11,0.00177619042281,0.00359491734837,0.00449926067467,0.00133983874145,1.0
Point Grey Grasshopper2 14S5C,FL2,0.000530463002683,0.00149259331382,0.0020062088042,0.000488820186992,1.0
SONY NEX-5N,A,0.000312509975923,0.00109742419456,0.00135063385943,0.000356813074537,1.0
SONY NEX-5N,D65,0.000333465575504,0.000772266131214,0.000956938741559,0.000297555745186,1.0
SONY NEX-5N,FL11,0.000880315107501,0.00144627804342,0.00152780973216,0.000926928792141,1.0
SONY NEX-5N,FL2,0.000359425225718,0.00119881368567,0.00150731918166,0.000382079582018,1.0
