candidate,reference,metric,fold,delta_candidate_minus_reference
global_raw,global_mask,severe_vs_rest_auc,3,-0.040000000000000036
global_raw,global_mask,severe_vs_rest_auc,4,0.050000000000000044
global_raw,global_mask,normal_vs_abnormal_auc,0,-0.03274985883681536
global_raw,global_mask,normal_vs_abnormal_auc,1,0.046301524562394114
global_raw,global_mask,normal_vs_abnormal_auc,2,0.024844720496894457
global_raw,global_mask,normal_vs_abnormal_auc,3,0.03670242800677592
global_raw,global_mask,normal_vs_abnormal_auc,4,-0.011293054771315592
global_stage2a,global_mask,macro_auc,0,-0.00958611834016998
global_stage2a,global_mask,macro_auc,1,0.03633881336260336
global_stage2a,global_mask,macro_auc,2,0.0014359381835338247
global_stage2a,global_mask,macro_auc,3,0.04865786005855466
global_stage2a,global_mask,macro_auc,4,0.01861097290102598
global_stage2a,global_mask,accuracy,0,0.030000000000000027
global_stage2a,global_mask,accuracy,1,0.04999999999999993
global_stage2a,global_mask,accuracy,2,-0.03999999999999998
global_stage2a,global_mask,accuracy,3,0.08000000000000002
global_stage2a,global_mask,accuracy,4,0.07000000000000006
global_stage2a,global_mask,balanced_accuracy,0,-0.02611194402798589
global_stage2a,global_mask,balanced_accuracy,1,0.0015304847576211866
global_stage2a,global_mask,balanced_accuracy,2,-0.06875321204645912
global_stage2a,global_mask,balanced_accuracy,3,0.06350087367663693
global_stage2a,global_mask,balanced_accuracy,4,0.05704594511255012
global_stage2a,global_mask,macro_f1,0,-0.023539293213720447
global_stage2a,global_mask,macro_f1,1,0.040855350670594204
global_stage2a,global_mask,macro_f1,2,-0.03636228030921229
global_stage2a,global_mask,macro_f1,3,0.07502873839507501
global_stage2a,global_mask,macro_f1,4,0.06859201893264799
global_stage2a,global_mask,auc_normal,0,-0.02371541501976282
global_stage2a,global_mask,auc_normal,1,0.03783173348390745
global_stage2a,global_mask,auc_normal,2,0.012422360248447228
global_stage2a,global_mask,auc_normal,3,0.04517221908526259
global_stage2a,global_mask,auc_normal,4,0.03783173348390745
global_stage2a,global_mask,auc_mild,0,0.0420673076923076
global_stage2a,global_mask,auc_mild,1,0.028445512820512775
global_stage2a,global_mask,auc_mild,2,0.005218787635487887
global_stage2a,global_mask,auc_mild,3,0.0903251706142113
global_stage2a,global_mask,auc_mild,4,0.005620232838217665
global_stage2a,global_mask,auc_severe,0,-0.04711024769305483
global_stage2a,global_mask,auc_severe,1,0.04273919378338997
global_stage2a,global_mask,auc_severe,2,-0.013333333333333308
global_stage2a,global_mask,auc_severe,3,0.010476190476190528
