candidate,reference,metric,oof_delta_candidate_minus_reference,fold_delta_mean,fold_delta_sample_std_ddof1,fold_delta_median,fold_delta_min,fold_delta_max,candidate_better_folds,reference_better_folds,equal_folds
global_mask,global_only,macro_auc,-0.02180340354020538,-0.010495577654669418,0.032793422443830544,-0.018443366065763245,-0.054070620994465246,0.034675895095817144,2,3,0
global_mask,global_only,accuracy,-0.02200000000000002,-0.02200000000000003,0.04147288270665546,-0.020000000000000018,-0.08000000000000007,0.02999999999999997,1,3,1
global_mask,global_only,balanced_accuracy,-0.013883393575193193,-0.014614111384024298,0.04299669784489142,-0.004810094952523825,-0.08882721759687534,0.020885390638014423,2,3,0
global_mask,global_only,macro_f1,-0.02098513012540948,-0.027164909457543775,0.03998082415680587,-0.042079015543581844,-0.06387278258158502,0.037991815665733786,1,4,0
global_mask,global_only,auc_normal,-0.01115753811405984,0.005533596837944632,0.04132085376994907,-0.013551665725578754,-0.031620553359683834,0.06888763410502541,2,3,0
global_mask,global_only,auc_mild,-0.03592113073751424,-0.02157362659420068,0.02647360627771684,-0.03412284223203532,-0.04326923076923084,0.022480931352870215,1,4,0
global_mask,global_only,auc_severe,-0.018331541769041837,-0.015446703207752276,0.061982255492014186,-0.0023809523809524835,-0.1053909664885867,0.05196697425934926,2,3,0
global_mask,global_only,recall_normal,0.0782608695652175,0.07826086956521741,0.3470099119866942,0.21739130434782616,-0.39130434782608703,0.4347826086956522,3,2,0
global_mask,global_only,recall_mild,-0.025316455696202556,-0.026241134751773042,0.2171737936354661,0.041666666666666685,-0.3404255319148936,0.19148936170212766,3,2,0
global_mask,global_only,recall_severe,-0.09459459459459463,-0.09586206896551726,0.19917852167962447,-0.06666666666666665,-0.4137931034482758,0.09999999999999998,2,3,0
global_mask,global_only,severe_vs_rest_auc,-0.018331541769041837,-0.015446703207752276,0.061982255492014186,-0.0023809523809524835,-0.1053909664885867,0.05196697425934926,2,3,0
global_mask,global_only,normal_vs_abnormal_auc,-0.01115753811405984,0.005533596837944632,0.04132085376994907,-0.013551665725578754,-0.031620553359683834,0.06888763410502541,2,3,0
global_raw,global_mask,macro_auc,0.01660868532345816,0.016257876346107026,0.025880860885939893,0.022853706431804954,-0.024815237520724565,0.04073584913216288,4,1,0
global_raw,global_mask,accuracy,0.028000000000000025,0.028000000000000025,0.05449770637375486,0.020000000000000018,-0.04999999999999999,0.08000000000000007,4,1,0
global_raw,global_mask,balanced_accuracy,-0.020747246971792976,-0.020411141946757118,0.06688266192311466,-0.03672525439407959,-0.07584541062801936,0.08780964127865148,1,4,0
global_raw,global_mask,macro_f1,0.010964941419013607,0.010682559488772902,0.05434992378619079,0.0268444836530477,-0.04581812543443037,0.07944513688448418,3,2,0
global_raw,global_mask,auc_normal,0.027193675889327973,0.012761151891586709,0.033518692124178615,0.024844720496894457,-0.03274985883681536,0.046301524562394114,3,2,0
global_raw,global_mask,auc_mild,0.04054162455279087,0.037412602033989016,0.0385039070665297,0.026495383380168658,-0.0036057692307692735,0.08350060216780397,4,1,0
global_raw,global_mask,auc_severe,-0.017909244471744357,-0.0014001248872545391,0.05140894185943947,-0.024285714285714244,-0.05050995628946087,0.057795046138902406,2,3,0
global_raw,global_mask,recall_normal,-0.19130434782608696,-0.191304347826087,0.31742108258163443,-0.26086956521739135,-0.4782608695652174,0.34782608695652173,1,4,0
global_raw,global_mask,recall_mild,0.18987341772151894,0.19007092198581557,0.18567970886513482,0.14893617021276595,0.0,0.4680851063829787,4,0,1
global_raw,global_mask,recall_severe,-0.0608108108108108,-0.06000000000000001,0.14629208463081955,-0.09999999999999998,-0.23333333333333334,0.1379310344827586,2,3,0
global_raw,global_mask,severe_vs_rest_auc,-0.017909244471744357,-0.0014001248872545391,0.05140894185943947,-0.024285714285714244,-0.05050995628946087,0.057795046138902406,2,3,0
global_raw,global_mask,normal_vs_abnormal_auc,0.027193675889327973,0.012761151891586709,0.033518692124178615,0.024844720496894457,-0.03274985883681536,0.046301524562394114,3,2,0
