variant,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,auc_normal,precision_normal,recall_normal,f1_normal,auc_mild,precision_mild,recall_mild,f1_mild,auc_severe,precision_severe,recall_severe,f1_severe,macro_auc,severe_vs_rest_auc,normal_vs_abnormal_auc
global_only,0.506,0.5067319291485503,0.5296845276757219,0.5077556188667299,0.5296845276757219,0.8157876905702993,0.4774193548387097,0.6434782608695652,0.5481481481481482,0.6120229099485007,0.6190476190476191,0.4388185654008439,0.5135802469135803,0.6504146191646192,0.423728813559322,0.5067567567567568,0.46153846153846156,0.6927417398944731,0.6504146191646192,0.8157876905702993
global_mask,0.484,0.48029703641158744,0.5158011341005287,0.48677048874132045,0.5158011341005287,0.8046301524562395,0.4853801169590643,0.7217391304347827,0.5804195804195804,0.5761017792109865,0.5568181818181818,0.41350210970464135,0.4745762711864407,0.6320830773955773,0.39869281045751637,0.41216216216216217,0.4053156146179402,0.6709383363542677,0.6320830773955773,0.8046301524562395
global_raw,0.512,0.5015395116673217,0.49505388712873577,0.49773543016033406,0.49505388712873577,0.8318238283455675,0.5648148148148148,0.5304347826086957,0.547085201793722,0.6166434037637774,0.562992125984252,0.6033755274261603,0.5824847250509165,0.614173832923833,0.37681159420289856,0.35135135135135137,0.36363636363636365,0.6875470216777259,0.614173832923833,0.8318238283455675
global_stage2a,0.522,0.5084491336421342,0.5216827724807912,0.513584225452977,0.5216827724807912,0.8500734048560136,0.5447761194029851,0.6347826086956522,0.5863453815261044,0.6200446006000224,0.5775862068965517,0.5654008438818565,0.5714285714285714,0.62528792997543,0.40298507462686567,0.36486486486486486,0.3829787234042553,0.698468645143822,0.62528792997543,0.8500734048560136
global_stage2b,0.506,0.49466639640552684,0.5193835001760153,0.5026336587511456,0.5193835001760153,0.8503218520609824,0.5266666666666666,0.6869565217391305,0.5962264150943396,0.6216810254929329,0.5797101449275363,0.5063291139240507,0.5405405405405406,0.6093366093366093,0.3776223776223776,0.36486486486486486,0.3711340206185567,0.6937798289635082,0.6093366093366093,0.8503218520609824
