candidate,reference,metric,delta_mean,delta_median,ci_lower_2_5,ci_upper_97_5,valid_repetitions,requested_repetitions,bootstrap_seed,sampling_unit,stratified_by_true_label,stratification_rule,mixed_true_label_patient_group_count
global_stage2a,global_raw,balanced_accuracy,0.02705864863212139,0.027389056640570092,-0.01642630660379693,0.07197409434751206,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2a,global_raw,macro_f1,0.016392724690280153,0.01625805534516453,-0.025199655686351553,0.05911451889048835,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2a,global_raw,auc_normal,0.018635798983625072,0.017967250141163127,-0.020127046866177275,0.056738001129305486,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2a,global_raw,auc_mild,0.004140860887840721,0.003746129534260567,-0.039585840111661934,0.047384928847603876,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2a,global_raw,auc_severe,0.011773475890663392,0.011421222358722338,-0.030809467137592143,0.05499798449017185,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_raw,macro_auc,0.006683982786465205,0.006191275720526024,-0.024619091702789385,0.03801820826374973,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_raw,accuracy,-0.005537000000000003,-0.0040000000000000036,-0.050000000000000044,0.03600000000000003,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_raw,balanced_accuracy,0.024705354873310298,0.024609956682053513,-0.02160266278937173,0.06882809543170029,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_raw,macro_f1,0.005541791990571983,0.005617513533565738,-0.03890902651607647,0.04749296560018586,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_raw,auc_normal,0.018816386222473204,0.018464144551101125,-0.017594579333709674,0.05633088650479955,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_raw,auc_mild,0.005522877861738136,0.005374532736519555,-0.0367465627055558,0.04867722321156404,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_raw,auc_severe,-0.004287315724815729,-0.003896652334152373,-0.04685916385135132,0.03844872926904169,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_stage2a,macro_auc,-0.004832729134244522,-0.004890576274086733,-0.020349858297070304,0.010514968765042123,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_stage2a,accuracy,-0.016007000000000007,-0.016000000000000014,-0.04200000000000004,0.010000000000000009,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_stage2a,balanced_accuracy,-0.002353293758811091,-0.0019380690541945245,-0.030050139572704124,0.024521397429350136,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_stage2a,macro_f1,-0.01085093269970817,-0.010455814478743136,-0.03708848550209059,0.014212344253376427,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_stage2a,auc_normal,0.00018058723884813234,2.258610954264384e-05,-0.016557312252964414,0.016714850367024355,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_stage2a,auc_mild,0.0013820169738974152,0.0016043381303043613,-0.02180335627536865,0.02504411929858329,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
global_stage2b,global_stage2a,auc_severe,-0.016060791615479117,-0.015932125307125344,-0.03800771652334167,0.005931837377149807,2000,2000,2026,patient_group_id,True,patient_group_true_label_count_composition,10
