variant,fold,feature,train_valid_n,val_valid_n,train_availability_ratio,val_availability_ratio,train_mean,train_std,train_median,train_min,train_max,val_mean,val_std,val_median,val_min,val_max,standardized_mean_difference,train_unavailable_n,val_unavailable_n,forehead_feature
global_only,0,none,,,,,,,,,,,,,,,,,,
global_only,1,none,,,,,,,,,,,,,,,,,,
global_only,2,none,,,,,,,,,,,,,,,,,,
global_only,3,none,,,,,,,,,,,,,,,,,,
global_only,4,none,,,,,,,,,,,,,,,,,,
global_mask,0,forehead_available,400.0,100.0,0.975,0.96,,,,,,,,,,,,,,
global_mask,1,forehead_available,400.0,100.0,0.9725,0.97,,,,,,,,,,,,,,
global_mask,2,forehead_available,400.0,100.0,0.9725,0.97,,,,,,,,,,,,,,
global_mask,3,forehead_available,400.0,100.0,0.9675,0.99,,,,,,,,,,,,,,
global_mask,4,forehead_available,400.0,100.0,0.9725,0.97,,,,,,,,,,,,,,
global_raw,0,cheek_mean_log2_y,400.0,100.0,0.975,0.96,-1.9706568365919857,0.4579001939566988,-1.837152955180356,-4.457309391604292,-0.988649048859598,-1.9691757484253112,0.4183996847203191,-1.8932464576616987,-3.1188075638739177,-1.143608068573536,0.0032345218155001,10.0,4.0,False
global_raw,0,cheek_mean_log2_rg,400.0,100.0,0.975,0.96,0.9634255607906296,0.1506582734796699,0.9563700689022072,0.3889769033788075,1.4927992180506124,0.9886147103843248,0.1350465704038054,0.9950118934471116,0.6236998400880982,1.325090510778172,0.1671939350685197,10.0,4.0,False
global_raw,0,cheek_mean_log2_bg,400.0,100.0,0.975,0.96,-0.5876997138123609,0.1367919811076365,-0.5849695091624216,-1.0548843422010488,-0.1967235338498867,-0.5814304905723391,0.1482399053560509,-0.5677517849995064,-0.9537905874557834,-0.294485922495437,0.0458303417295254,10.0,4.0,False
global_raw,0,forehead_minus_cheek_log2_y,390.0,96.0,0.975,0.96,-0.0290496786111348,0.3363239705813618,-0.0189731928631875,-1.6423573811402985,1.2722628297120335,0.0741135732551013,0.2804670414166236,0.0813818011863693,-0.7915634667033075,0.8302826266815472,0.3067377317409478,10.0,4.0,True
global_raw,0,forehead_minus_cheek_log2_rg,390.0,96.0,0.975,0.96,-0.0513116173607911,0.1162845598655048,-0.0413519710612318,-0.3925268938263012,0.3962370708623289,-0.065683794632513,0.1175585031614634,-0.0614513386605155,-0.4940569609269917,0.1962738684666709,-0.1235948890234857,10.0,4.0,True
