epoch,train_loss,inner_val_loss,inner_val_macro_auc
1,0.5916306361556053,0.5945996582508087,0.8602243313201035
2,0.3991264089941978,0.5263467192649841,0.8783433994823124
3,0.31762493401765823,0.5430680751800537,0.8869715271786023
4,0.2872920073568821,0.5345385611057282,0.8766177739430543
5,0.2665835030376911,0.5203578770160675,0.8636755823986195
6,0.21731627136468887,0.4707954704761505,0.8835202761000863
7,0.2245342254638672,0.5900586009025574,0.8723037100949094
8,0.2071852959692478,0.45371424555778506,0.9163071613459879
9,0.21991647481918336,0.55512033700943,0.8878343399482312
10,0.18882251307368278,0.5656557202339172,0.8809318377911992
11,0.22235335409641266,0.5157419860363006,0.8947368421052632
12,0.19372355788946152,0.6379062473773957,0.8886971527178603
13,0.20508497580885887,0.4859440863132477,0.8930112165660052
14,0.19608772844076156,0.518676632642746,0.908541846419327
15,0.1951892651617527,0.4880660712718964,0.9007765314926661
16,0.19042522236704826,0.5205663919448853,0.8869715271786022
17,0.20182550325989723,0.5188156485557556,0.8947368421052632
18,0.19791449084877968,0.5100365698337554,0.8835202761000862
