audit_id,geometry_quality,albedo_shadow_leakage,albedo_highlight_leakage,skin_color_stability,shading_plausibility,reconstruction_quality,relight_direction_correctness,relight_identity_preservation,relight_artifacts,physics_core_usability,overall_usability,failure_codes,reviewer_notes
P0B-001,,,,,,,,,,,,,
P0B-002,,,,,,,,,,,,,
P0B-003,,,,,,,,,,,,,
P0B-004,,,,,,,,,,,,,
P0B-005,,,,,,,,,,,,,
P0B-006,,,,,,,,,,,,,
P0B-007,,,,,,,,,,,,,
P0B-008,,,,,,,,,,,,,
P0B-009,,,,,,,,,,,,,
P0B-010,,,,,,,,,,,,,
P0B-011,,,,,,,,,,,,,
P0B-012,,,,,,,,,,,,,
