model_type,feature_group,metric,oof_value,fold_mean,fold_std,bootstrap_ci_low_95,bootstrap_ci_high_95,bootstrap_valid_repeats,bootstrap_requested_repeats,bootstrap_seed,bootstrap_unit
multinomial_logistic,E0_BrightnessValue,accuracy,0.452,0.45200000000000007,0.03768288736283355,0.41045761749987103,0.4949909759877608,2000,2000,2026,patient_group_id
multinomial_logistic,E0_BrightnessValue,balanced_accuracy,0.5593562467255367,0.5591947377375142,0.04441399521334101,0.5259889324379796,0.5906686190780583,2000,2000,2026,patient_group_id
multinomial_logistic,E0_BrightnessValue,macro_precision,0.4693222091704065,0.46081129920804853,0.05994835107101319,0.41236012751145285,0.5260215987564503,2000,2000,2026,patient_group_id
multinomial_logistic,E0_BrightnessValue,macro_recall,0.5593562467255367,0.5591947377375142,0.04441399521334101,0.5259889324379796,0.5906686190780583,2000,2000,2026,patient_group_id
multinomial_logistic,E0_BrightnessValue,macro_f1,0.43531698542968406,0.43351651836381955,0.03734489756068101,0.39691918919129654,0.47191341058046793,2000,2000,2026,patient_group_id
multinomial_logistic,E0_BrightnessValue,normal_auc,0.8646979107848674,0.8657820440429136,0.03269785489289616,0.831912375252708,0.8939187627433028,2000,2000,2026,patient_group_id
multinomial_logistic,E0_BrightnessValue,mild_auc,0.6277775103880893,0.637386820116522,0.04481553215023803,0.5780802639989171,0.6757088636764186,2000,2000,2026,patient_group_id
multinomial_logistic,E0_BrightnessValue,severe_auc,0.6273898187960688,0.6339700270589052,0.06277297405759263,0.5775497804873332,0.6773976147711399,2000,2000,2026,patient_group_id
multinomial_logistic,E0_BrightnessValue,macro_auc,0.7066217466563418,0.7123796304061136,0.023629052415634982,0.6831692754914238,0.7293924612613796,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_exposure_time,accuracy,0.334,0.334,0.029664793948382655,0.29458917835671344,0.37351276332694955,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_exposure_time,balanced_accuracy,0.44164960227150657,0.44162168915542227,0.03329810259243263,0.41199708473337365,0.473123269880351,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_exposure_time,macro_precision,0.4542258816452365,0.29762296324860216,0.1476532837557126,0.21977524456302044,0.5865667352331386,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_exposure_time,macro_recall,0.44164960227150657,0.44162168915542227,0.03329810259243263,0.41199708473337365,0.473123269880351,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_exposure_time,macro_f1,0.29137426900584795,0.29013597928700263,0.03017140439433881,0.2600373781835296,0.3223329582478298,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_exposure_time,normal_auc,0.6460982495765103,0.7085262563523432,0.06162402794830422,0.5955136986597406,0.6964987851684632,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_exposure_time,mild_auc,0.5071713914424604,0.5351590404944981,0.027861099903998272,0.4569858479770384,0.5581642903598519,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_exposure_time,severe_auc,0.5841811271498772,0.6249172506302181,0.06106067316203591,0.531891797003322,0.6352222547867218,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_exposure_time,macro_auc,0.5791502560562827,0.6228675158256864,0.035152927045197326,0.5494196404101137,0.6100455619104623,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_fnumber,accuracy,0.548,0.548,0.027748873851023217,0.5030299981708433,0.5917210567210567,2000,2000,2026,patient_group_id
