cohort,level,variable,camera_id,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,image,ExposureTime,HONOR/BVL-AN00,283,283,0,29,0.0022222222222222222,0.0035714285714285713,0.0058823529411764705,0.01,0.016666666666666666,0.02,0.030303030303030304,0.04,0.04,0.016159323604427008,0.008070079143774094,0.01,0.006666666666666666,0.01,0.38515901060070673
all_exif_522,image,FNumber,HONOR/BVL-AN00,283,283,0,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,1.9042402826855123,0.020186335942539293,0.0,0.0,1.9,0.9575971731448764
all_exif_522,image,ISOSpeedRatings,HONOR/BVL-AN00,283,283,0,16,50.0,50.0,65.60000000000002,200.0,320.0,500.0,1000.0,1250.0,1600.0,384.3922261484099,277.694455942748,300.0,120.0,320.0,0.13780918727915195
all_exif_522,image,BrightnessValue,HONOR/BVL-AN00,283,283,0,220,-2.67,-2.3644000000000003,-1.746,-0.615,0.56,1.5550000000000002,3.3589999999999995,4.343400000000001,5.43,0.573321554770318,1.5752911221866661,2.17,1.04,1.28,0.014134275618374558
all_exif_522,image,log2_exposure_time,HONOR/BVL-AN00,283,283,0,29,-8.813781191217037,-8.129283016944967,-7.409390936137702,-6.643856189774724,-5.906890595608519,-5.643856189774724,-5.044394119358453,-4.643856189774724,-4.643856189774724,-6.1407719429325995,0.7685035394843936,1.0,0.7369655941662057,-6.643856189774724,0.38515901060070673
all_exif_522,image,log2_iso_gain,HONOR/BVL-AN00,283,283,0,16,-1.0,-1.0,-0.611663380285988,1.0,1.6780719051126378,2.321928094887362,3.321928094887362,3.643856189774725,4.0,1.5710093774473168,1.0872073643909452,1.3219280948873622,0.6780719051126378,1.6780719051126378,0.13780918727915195
all_exif_522,image,log2_fnumber,HONOR/BVL-AN00,283,283,0,2,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.929137252398362,0.014938005969673231,0.0,0.0,0.925999418556223,0.9575971731448764
all_exif_522,image,aperture_value_from_f,HONOR/BVL-AN00,283,283,0,2,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.858274504796724,0.029876011939346463,0.0,0.0,1.851998837112446,0.9575971731448764
all_exif_522,image,time_value_from_t,HONOR/BVL-AN00,283,283,0,29,4.643856189774724,4.643856189774724,5.044394119358453,5.643856189774724,5.906890595608519,6.643856189774724,7.409390936137702,8.129283016944967,8.813781191217037,6.1407719429325995,0.7685035394843936,1.0,0.7369655941662057,6.643856189774724,0.38515901060070673
all_exif_522,image,EV100,HONOR/BVL-AN00,283,283,0,31,6.643856189774724,6.643856189774724,6.8963929564708994,7.49585502688717,7.758889432720965,8.49585502688717,9.261389773250148,9.981281854057414,10.665780028329483,7.999046447729323,0.7592208908871062,1.0,0.7369655941662057,8.49585502688717,0.38515901060070673
all_exif_522,image,relative_optical_exposure,HONOR/BVL-AN00,283,283,0,31,-10.665780028329483,-9.981281854057414,-9.261389773250148,-8.49585502688717,-7.758889432720965,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.643856189774724,-7.999046447729323,0.7592208908871062,1.0,0.7369655941662057,-8.49585502688717,0.38515901060070673
all_exif_522,image,combined_exposure_gain,HONOR/BVL-AN00,283,283,0,65,-10.261389773250148,-9.81683648980069,-9.139711216661896,-7.49585502688717,-6.49585502688717,-5.173926931999809,-4.218321051358261,-3.5744648615835373,-3.2525367666961746,-6.428037070282006,1.5168474863437131,2.3219280948873617,1.0,-6.49585502688717,0.08480565371024736
all_exif_522,image,sensitivity_value,HONOR/BVL-AN00,283,283,0,16,4.0,4.0,4.388336619714012,6.0,6.678071905112637,7.321928094887363,8.321928094887362,8.643856189774725,9.0,6.571009377447316,1.087207364390945,1.3219280948873626,0.6780719051126374,6.678071905112637,0.13780918727915195
all_exif_522,image,brightness_apex_pred,HONOR/BVL-AN00,283,283,0,66,-1.7474632333038258,-1.4255351384164623,-0.7816789486417379,0.1739269319998078,1.4958550268871704,2.4958550268871704,4.139711216661895,4.816836489800692,5.261389773250148,1.4280370702820064,1.5168474863437138,2.3219280948873626,1.0,1.4958550268871704,0.08480565371024736
all_exif_522,image,brightness_residual,HONOR/BVL-AN00,283,283,0,195,-1.527783121774533,-1.3471893792756362,-1.0633125509772803,-0.9777831217745331,-0.8958550268871703,-0.7948909794434892,-0.7263292884683243,0.5777639353051933,2.9341449731128293,-0.8547155155116885,0.3432772921212115,0.1828921423310439,0.08999999999999986,-0.7858550268871705,0.02120141342756184
all_exif_522,image,device_centered_brightness,HONOR/BVL-AN00,283,283,0,220,-1.4884792626728112,-1.3476497695852536,-1.062672811059908,-0.5414746543778802,0.0,0.45852534562211983,1.2898617511520736,1.743502304147466,2.2442396313364052,0.006138965331943765,0.7259406093026116,1.0,0.47926267281105994,0.3317972350230415,0.014134275618374558
all_exif_522,image,ExposureTime,Xiaomi/M2006J10C,239,239,0,8,0.008496,0.010002,0.0100029,0.020004,0.020004,0.030006,0.040008,0.040008,0.050009,0.02468082008368201,0.008207715538848413,0.010002,0.010002,0.020004,0.4560669456066946
all_exif_522,image,FNumber,Xiaomi/M2006J10C,239,239,0,1,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,9.567955637198567e-15,0.0,0.0,1.89,1.0
all_exif_522,image,ISOSpeedRatings,Xiaomi/M2006J10C,239,239,0,169,50.0,58.519999999999996,75.9,135.5,192.0,271.0,469.59999999999997,809.8200000000007,1115.0,229.581589958159,152.54617924583832,135.5,63.0,82.0,0.016736401673640166
all_exif_522,image,BrightnessValue,Xiaomi/M2006J10C,239,239,0,57,3.8,4.566,5.3,6.6,7.4,8.3,9.52,10.462,10.9,7.425104602510462,1.2957742767964253,1.700000000000001,0.8000000000000007,7.2,0.05439330543933055
all_exif_522,image,log2_exposure_time,Xiaomi/M2006J10C,239,239,0,8,-6.87900051852002,-6.643567679616601,-6.643437869515338,-5.643567679616601,-5.643567679616601,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.321668433148858,-5.428504392107173,0.5266898220629238,0.5849625007211561,0.5849625007211561,-5.643567679616601,0.4560669456066946
all_exif_522,image,log2_iso_gain,Xiaomi/M2006J10C,239,239,0,169,-1.0,-0.7737841927186881,-0.39783955862590964,0.43828302937586056,0.9411063109464314,1.4380472563649547,2.2314218818109453,3.0106283150255497,3.4789718050329426,0.954684194733598,0.8262356429772159,0.9997642269890941,0.5081469036703251,-0.2863041851566411,0.016736401673640166
all_exif_522,image,log2_fnumber,Xiaomi/M2006J10C,239,239,0,1,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,3.3376589432088022e-15,0.0,0.0,0.9183862344463479,1.0
all_exif_522,image,aperture_value_from_f,Xiaomi/M2006J10C,239,239,0,1,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,6.6753178864176045e-15,0.0,0.0,1.8367724688926959,1.0
all_exif_522,image,time_value_from_t,Xiaomi/M2006J10C,239,239,0,8,4.321668433148858,4.643567679616601,4.643567679616601,5.058605178895445,5.643567679616601,5.643567679616601,6.643437869515338,6.643567679616601,6.87900051852002,5.428504392107173,0.5266898220629238,0.5849625007211561,0.5849625007211561,5.643567679616601,0.4560669456066946
all_exif_522,image,EV100,Xiaomi/M2006J10C,239,239,0,8,6.158440902041554,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.480340148509297,8.480210338408034,8.480340148509297,8.715772987412716,7.26527686099987,0.5266898220629233,0.5849625007211561,0.5849625007211561,7.480340148509297,0.4560669456066946
all_exif_522,image,relative_optical_exposure,Xiaomi/M2006J10C,239,239,0,8,-8.715772987412716,-8.480340148509297,-8.480210338408034,-7.480340148509297,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-6.158440902041554,-7.26527686099987,0.5266898220629233,0.5849625007211561,0.5849625007211561,-7.480340148509297,0.4560669456066946
