cohort,level,variable,SEX,sex_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,image,ExposureTime,0,female,229,229,0,22,0.0022222222222222222,0.005647058823529412,0.01,0.02,0.020004,0.030006,0.040008,0.040008,0.050009,0.02193873805029584,0.009328713297347246,0.010006000000000001,0.010002,0.030006,0.2183406113537118
all_exif_522,image,FNumber,0,female,229,229,0,3,1.89,1.89,1.89,1.89,1.89,1.9,1.9,2.0,2.0,1.8963755458515283,0.01470345809915296,0.010000000000000009,0.0,1.89,0.537117903930131
all_exif_522,image,ISOSpeedRatings,0,female,229,229,0,119,50.0,64.0,80.0,168.0,252.0,400.0,800.0,1250.0,1250.0,330.1353711790393,242.14020879869693,232.0,117.0,400.0,0.07860262008733625
all_exif_522,image,BrightnessValue,0,female,229,229,0,145,-2.66,-2.0724,-1.43,0.32,5.4,7.2,8.9,10.016,10.4,4.019344978165939,3.7204494173836316,6.88,3.1999999999999993,7.2,0.034934497816593885
all_exif_522,image,log2_exposure_time,0,female,229,229,0,22,-8.813781191217037,-7.468763691475922,-6.643856189774724,-5.643856189774724,-5.643567679616601,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.321668433148858,-5.6650364741283,0.7174488530137634,0.5852510108792792,0.5849625007211561,-5.058605178895445,0.2183406113537118
all_exif_522,image,log2_iso_gain,0,female,229,229,0,119,-1.0,-0.6438561897747247,-0.3219280948873623,0.7484612330040356,1.3334237337251917,2.0,3.0,3.643856189774725,3.643856189774725,1.3894128456460402,0.9893424059385861,1.2515387669959646,0.6665762662748083,2.0,0.07860262008733625
all_exif_522,image,log2_fnumber,0,female,229,229,0,3,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,1.0,1.0,0.92320282764033,0.010930904152724132,0.007613184109875104,0.0,0.9183862344463479,0.537117903930131
all_exif_522,image,aperture_value_from_f,0,female,229,229,0,3,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,2.0,2.0,1.84640565528066,0.021861808305448264,0.015226368219750208,0.0,1.8367724688926959,0.537117903930131
all_exif_522,image,time_value_from_t,0,female,229,229,0,22,4.321668433148858,4.643567679616601,4.643567679616601,5.058605178895445,5.643567679616601,5.643856189774724,6.643856189774724,7.468763691475922,8.813781191217037,5.6650364741283,0.7174488530137634,0.5852510108792792,0.5849625007211561,5.058605178895445,0.2183406113537118
all_exif_522,image,EV100,0,female,229,229,0,23,6.158440902041554,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.49585502688717,8.49585502688717,9.320762528588368,10.665780028329483,7.51144212940896,0.7185694184919441,0.6004773790990292,0.5849625007211561,6.895377647788141,0.2183406113537118
