model_type,feature_group,true_label,true_name,predicted_label,predicted_name,count
random_forest_shallow,E0_log2_exposure_time,1,mild,2,severe,127
random_forest_shallow,E0_log2_exposure_time,2,severe,0,normal,34
random_forest_shallow,E0_log2_exposure_time,2,severe,1,mild,26
random_forest_shallow,E0_log2_exposure_time,2,severe,2,severe,88
random_forest_shallow,E0_log2_iso_gain,0,normal,0,normal,75
random_forest_shallow,E0_log2_iso_gain,0,normal,1,mild,17
random_forest_shallow,E0_log2_iso_gain,0,normal,2,severe,23
random_forest_shallow,E0_log2_iso_gain,1,mild,0,normal,73
random_forest_shallow,E0_log2_iso_gain,1,mild,1,mild,82
random_forest_shallow,E0_log2_iso_gain,1,mild,2,severe,82
random_forest_shallow,E0_log2_iso_gain,2,severe,0,normal,47
random_forest_shallow,E0_log2_iso_gain,2,severe,1,mild,49
random_forest_shallow,E0_log2_iso_gain,2,severe,2,severe,52
random_forest_shallow,E0_log2_fnumber,0,normal,0,normal,115
random_forest_shallow,E0_log2_fnumber,0,normal,1,mild,0
random_forest_shallow,E0_log2_fnumber,0,normal,2,severe,0
random_forest_shallow,E0_log2_fnumber,1,mild,0,normal,78
random_forest_shallow,E0_log2_fnumber,1,mild,1,mild,0
random_forest_shallow,E0_log2_fnumber,1,mild,2,severe,159
random_forest_shallow,E0_log2_fnumber,2,severe,0,normal,40
random_forest_shallow,E0_log2_fnumber,2,severe,1,mild,0
random_forest_shallow,E0_log2_fnumber,2,severe,2,severe,108
random_forest_shallow,E0_BrightnessValue,0,normal,0,normal,113
random_forest_shallow,E0_BrightnessValue,0,normal,1,mild,1
random_forest_shallow,E0_BrightnessValue,0,normal,2,severe,1
random_forest_shallow,E0_BrightnessValue,1,mild,0,normal,78
random_forest_shallow,E0_BrightnessValue,1,mild,1,mild,68
random_forest_shallow,E0_BrightnessValue,1,mild,2,severe,91
random_forest_shallow,E0_BrightnessValue,2,severe,0,normal,40
random_forest_shallow,E0_BrightnessValue,2,severe,1,mild,46
random_forest_shallow,E0_BrightnessValue,2,severe,2,severe,62
random_forest_shallow,E1_four_core_transformed,0,normal,0,normal,113
random_forest_shallow,E1_four_core_transformed,0,normal,1,mild,2
random_forest_shallow,E1_four_core_transformed,0,normal,2,severe,0
random_forest_shallow,E1_four_core_transformed,1,mild,0,normal,77
random_forest_shallow,E1_four_core_transformed,1,mild,1,mild,66
random_forest_shallow,E1_four_core_transformed,1,mild,2,severe,94
random_forest_shallow,E1_four_core_transformed,2,severe,0,normal,40
random_forest_shallow,E1_four_core_transformed,2,severe,1,mild,37
random_forest_shallow,E1_four_core_transformed,2,severe,2,severe,71
random_forest_shallow,E2_compact_physical,0,normal,0,normal,112
random_forest_shallow,E2_compact_physical,0,normal,1,mild,3
random_forest_shallow,E2_compact_physical,0,normal,2,severe,0
random_forest_shallow,E2_compact_physical,1,mild,0,normal,75
random_forest_shallow,E2_compact_physical,1,mild,1,mild,49
random_forest_shallow,E2_compact_physical,1,mild,2,severe,113
random_forest_shallow,E2_compact_physical,2,severe,0,normal,39
random_forest_shallow,E2_compact_physical,2,severe,1,mild,35
random_forest_shallow,E2_compact_physical,2,severe,2,severe,74
random_forest_shallow,E3_device_centered_physical,0,normal,0,normal,97
random_forest_shallow,E3_device_centered_physical,0,normal,1,mild,13
random_forest_shallow,E3_device_centered_physical,0,normal,2,severe,5
random_forest_shallow,E3_device_centered_physical,1,mild,0,normal,73
random_forest_shallow,E3_device_centered_physical,1,mild,1,mild,48
random_forest_shallow,E3_device_centered_physical,1,mild,2,severe,116
random_forest_shallow,E3_device_centered_physical,2,severe,0,normal,38
random_forest_shallow,E3_device_centered_physical,2,severe,1,mild,36
random_forest_shallow,E3_device_centered_physical,2,severe,2,severe,74
random_forest_shallow,E4_camera_only,0,normal,0,normal,115
random_forest_shallow,E4_camera_only,0,normal,1,mild,0
random_forest_shallow,E4_camera_only,0,normal,2,severe,0
random_forest_shallow,E4_camera_only,1,mild,0,normal,78
random_forest_shallow,E4_camera_only,1,mild,1,mild,0
random_forest_shallow,E4_camera_only,1,mild,2,severe,159
random_forest_shallow,E4_camera_only,2,severe,0,normal,40
random_forest_shallow,E4_camera_only,2,severe,1,mild,0
random_forest_shallow,E4_camera_only,2,severe,2,severe,108
random_forest_shallow,E5_E3_plus_camera,0,normal,0,normal,115
random_forest_shallow,E5_E3_plus_camera,0,normal,1,mild,0
random_forest_shallow,E5_E3_plus_camera,0,normal,2,severe,0
random_forest_shallow,E5_E3_plus_camera,1,mild,0,normal,78
random_forest_shallow,E5_E3_plus_camera,1,mild,1,mild,63
random_forest_shallow,E5_E3_plus_camera,1,mild,2,severe,96
random_forest_shallow,E5_E3_plus_camera,2,severe,0,normal,40
random_forest_shallow,E5_E3_plus_camera,2,severe,1,mild,40
random_forest_shallow,E5_E3_plus_camera,2,severe,2,severe,68
