scope,camera_id,exif_field,image_metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
overall,ALL,ExposureTime,skin_linear_luminance_median,500,-0.3200591616293642,2.2575580916405621e-13,-0.38857968037360924,1.8098008494055563e-19
overall,ALL,ExposureTime,laplacian_variance,500,-0.07507558692839272,0.09356073420940034,-0.05410927121448626,0.2271331503296334
overall,ALL,ExposureTime,high_frequency_noise_mad,500,-0.2187542388918548,7.844509634623874e-07,-0.1540579090024522,0.0005464761279739683
overall,ALL,ISOSpeedRatings,high_frequency_noise_mad,500,-0.07764902290724843,0.08281897390346216,-0.09798019306295469,0.028473975419881392
overall,ALL,ISOSpeedRatings,underexposed_pixel_ratio,500,-0.06797323868939292,0.12904475965453352,-0.1081502921074337,0.015547789715620992
overall,ALL,ISOSpeedRatings,skin_linear_luminance_median,500,0.2816124805558713,1.440980868030606e-10,0.2316666410831823,1.6171821916322682e-07
overall,ALL,FNumber,skin_linear_luminance_median,500,0.2492220894142971,1.621451141099495e-08,0.6125889897335614,7.811252693245474e-53
overall,ALL,FNumber,laplacian_variance,500,-0.1976695580737391,8.468874760998181e-06,-0.18638801494117618,2.7390852804859625e-05
overall,ALL,BrightnessValue,skin_linear_luminance_median,500,-0.584023517586238,4.718297421612064e-47,-0.5398870715762865,3.603230348892369e-39
overall,ALL,BrightnessValue,skin_lab_l_median,500,-0.580193392507812,2.5465820655477738e-46,-0.5398870715762865,3.603230348892369e-39
overall,ALL,BrightnessValue,overexposed_pixel_ratio,500,0.022246688353180506,0.6197057386382367,0.07410755724424137,0.0978789732225513
overall,ALL,BrightnessValue,underexposed_pixel_ratio,500,0.13150664620209054,0.0032188929169331168,0.2697945698036632,8.691386196843408e-10
within_camera,HONOR/BVL-AN00,ExposureTime,skin_linear_luminance_median,267,0.13822584599389046,0.023890481982071343,0.13235822568148595,0.030608515879491628
within_camera,HONOR/BVL-AN00,ExposureTime,laplacian_variance,267,-0.2196476345017614,0.00029861740589558027,-0.20289412016526143,0.0008544921647649624
within_camera,HONOR/BVL-AN00,ExposureTime,high_frequency_noise_mad,267,-0.19506001168238418,0.0013592061460244932,-0.16411437139378374,0.007202922291880359
within_camera,HONOR/BVL-AN00,ISOSpeedRatings,high_frequency_noise_mad,267,0.023562691370001686,0.7015237631556891,-0.007929547745446817,0.8973861397000585
within_camera,HONOR/BVL-AN00,ISOSpeedRatings,underexposed_pixel_ratio,267,-0.005859145767476717,0.9240838003655283,-0.0634338724730949,0.30174650564019423
within_camera,HONOR/BVL-AN00,ISOSpeedRatings,skin_linear_luminance_median,267,0.2867659500532847,1.8956076559568847e-06,0.2674777626015042,9.374583224239539e-06
within_camera,HONOR/BVL-AN00,FNumber,skin_linear_luminance_median,267,-0.05416530633582002,0.37801305223943366,-0.06356105867657347,0.3007762961033127
within_camera,HONOR/BVL-AN00,FNumber,laplacian_variance,267,-0.22365923291838086,0.00022937189395713976,-0.23641891863293277,9.602269726978848e-05
within_camera,HONOR/BVL-AN00,BrightnessValue,skin_linear_luminance_median,267,-0.3410861421725403,1.067241963272279e-08,-0.2677943303721888,9.140692808819991e-06
within_camera,HONOR/BVL-AN00,BrightnessValue,skin_lab_l_median,267,-0.35272295735279147,3.064211368279442e-09,-0.2677943303721888,9.140692808819991e-06
within_camera,HONOR/BVL-AN00,BrightnessValue,overexposed_pixel_ratio,267,,,,
within_camera,HONOR/BVL-AN00,BrightnessValue,underexposed_pixel_ratio,267,0.0050327816330271585,0.9347651887723961,0.029763087357493556,0.6282734743465064
within_camera,Xiaomi/M2006J10C,ExposureTime,skin_linear_luminance_median,233,-0.20211161516650433,0.0019314914687803073,-0.15090760026029218,0.021204225935128444
within_camera,Xiaomi/M2006J10C,ExposureTime,laplacian_variance,233,-0.2438360186348772,0.00017068153721884637,-0.22839607561689843,0.00044120071004818175
within_camera,Xiaomi/M2006J10C,ExposureTime,high_frequency_noise_mad,233,-0.26438088044258967,4.372708520592141e-05,-0.2135918898666704,0.001035327435456275
within_camera,Xiaomi/M2006J10C,ISOSpeedRatings,high_frequency_noise_mad,233,-0.31123298625958384,1.2590315514212298e-06,-0.23629550630711166,0.0002735219887048845
within_camera,Xiaomi/M2006J10C,ISOSpeedRatings,underexposed_pixel_ratio,233,-0.020650129473677947,0.7538637867258038,0.1344443024403008,0.04031715486884089
within_camera,Xiaomi/M2006J10C,ISOSpeedRatings,skin_linear_luminance_median,233,-0.16526816145468118,0.011519241039212728,-0.25544949538896133,8.015729540231533e-05
within_camera,Xiaomi/M2006J10C,FNumber,skin_linear_luminance_median,233,,,,
within_camera,Xiaomi/M2006J10C,FNumber,laplacian_variance,233,,,,
within_camera,Xiaomi/M2006J10C,BrightnessValue,skin_linear_luminance_median,233,0.29655139054669094,4.097894435360314e-06,0.2520462193774389,0.00010040572902717482
within_camera,Xiaomi/M2006J10C,BrightnessValue,skin_lab_l_median,233,0.2765236903696464,1.851862463207256e-05,0.2520462193774389,0.00010040572902717482
within_camera,Xiaomi/M2006J10C,BrightnessValue,overexposed_pixel_ratio,233,-0.1178270321431883,0.07263186968847869,-0.02839948434212962,0.6662830272450221
within_camera,Xiaomi/M2006J10C,BrightnessValue,underexposed_pixel_ratio,233,-0.12671534485847985,0.05340683896743349,-0.17319387022688718,0.008060514459871227
