cohort,analysis_type,scope,camera_id,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r_squared,residual_mean,residual_std,residual_median,residual_mad,term,coefficient,standard_error,term_p
all_exif_522,fit,overall,ALL,522,0.33858417854509704,1.8160505380604402e-15,0.46169695442770675,6.400889938461264e-29,0.8890413511750404,2.488662527340908,0.11463924596105833,2.336175980598761,3.497156676272934,-0.7417815750520078,0.3260015467225249,,,,
all_exif_522,fit,within_camera,HONOR/BVL-AN00,283,0.9760567541651355,3.3318225443111956e-188,0.9887793718442907,4.5803301241867817e-234,1.0136639005763972,-0.8742280720594314,0.9526867873513799,-0.8547155155116885,0.3432772921212115,-0.8958550268871703,0.08999999999999986,,,,
all_exif_522,fit,within_camera,Xiaomi/M2006J10C,239,0.9427833065818925,4.832841564688252e-115,0.9372926358583054,1.8066075184062993e-110,0.952952668256409,6.176171824194737,0.8888403631694853,6.114511936244189,0.4362087007359389,6.1623041888991965,0.13117330687865802,,,,
all_exif_522,device_interaction,overall,reference=HONOR/BVL-AN00;indicator=Xiaomi/M2006J10C,522,,,,,,,0.9892056355337899,,,,,intercept,-0.8742280720594313,0.03161163803533736,4.501623654694274e-104
all_exif_522,device_interaction,overall,reference=HONOR/BVL-AN00;indicator=Xiaomi/M2006J10C,522,,,,,,,0.9892056355337899,,,,,brightness_apex_pred,1.0136639005763988,0.01518810098638034,1.4827226558302773e-256
all_exif_522,device_interaction,overall,reference=HONOR/BVL-AN00;indicator=Xiaomi/M2006J10C,522,,,,,,,0.9892056355337899,,,,,camera_main,7.050399896254163,0.047778967510836136,0.0
all_exif_522,device_interaction,overall,reference=HONOR/BVL-AN00;indicator=Xiaomi/M2006J10C,522,,,,,,,0.9892056355337899,,,,,camera_by_pred_interaction,-0.06071123231998986,0.0247658488523534,0.014559057105589301
formal_global_meanbg_500,fit,overall,ALL,500,0.3524183239749309,4.561621154574966e-16,0.47588211529779295,1.271662014485485e-29,0.9380914904900397,2.4817489117874176,0.12419867507329939,2.3957934963844534,3.5008810504039336,-0.7270880391227164,0.4828397418880952,,,,
formal_global_meanbg_500,fit,within_camera,HONOR/BVL-AN00,267,0.9752854277385234,8.668305530335244e-176,0.9885984259026084,6.312148803439395e-220,1.0149382018265425,-0.8715701731253782,0.9511816655591153,-0.8504177057777833,0.3516090000566903,-0.8939269319998078,0.09000000000000008,,,,
formal_global_meanbg_500,fit,within_camera,Xiaomi/M2006J10C,233,0.9388332645748834,6.313438328725898e-109,0.933982023236062,3.201064767487427e-105,0.9481053808333617,6.18611300439273,0.8814078986723315,6.115700753797831,0.44110122258197626,6.170157098574836,0.12674788677586069,,,,
formal_global_meanbg_500,device_interaction,overall,reference=HONOR/BVL-AN00;indicator=Xiaomi/M2006J10C,500,,,,,,,0.9889803387340134,,,,,intercept,-0.8715701731253762,0.03290303477568033,5.264055030376344e-97
formal_global_meanbg_500,device_interaction,overall,reference=HONOR/BVL-AN00;indicator=Xiaomi/M2006J10C,500,,,,,,,0.9889803387340134,,,,,brightness_apex_pred,1.014938201826542,0.015821483214038434,2.7135598856492693e-242
formal_global_meanbg_500,device_interaction,overall,reference=HONOR/BVL-AN00;indicator=Xiaomi/M2006J10C,500,,,,,,,0.9889803387340134,,,,,camera_main,7.057683177518103,0.050297945225547966,0.0
formal_global_meanbg_500,device_interaction,overall,reference=HONOR/BVL-AN00;indicator=Xiaomi/M2006J10C,500,,,,,,,0.9889803387340134,,,,,camera_by_pred_interaction,-0.0668328209931795,0.025980710764579557,0.010389383708644279
