epoch,train_loss,inner_val_macro_ovr_auc
1,1.0333211362361907,0.6472358693233119
2,0.5868817403912544,0.6755924528463004
3,0.39478032290935516,0.7350094056785998
4,0.2890732802450657,0.7118690969723461
5,0.2598535895347595,0.679311426362124
6,0.24100608974695206,0.6844322591928537
7,0.22515614032745362,0.6627028611880479
8,0.2159557357430458,0.6811368244195511
9,0.21031666696071624,0.6936943441410502
10,0.20365473628044128,0.6589410424788759
11,0.20059469789266587,0.676275935289068
12,0.2004942201077938,0.6610600252500974
13,0.19763753786683083,0.6715034427075682
