subject_id,capture_id,roi,mean_log_residual,centered_logrmse,sam_deg,centered_log_residual_400nm,centered_log_residual_410nm,centered_log_residual_420nm,centered_log_residual_430nm,centered_log_residual_440nm,centered_log_residual_450nm,centered_log_residual_460nm,centered_log_residual_470nm,centered_log_residual_480nm,centered_log_residual_490nm,centered_log_residual_500nm,centered_log_residual_510nm,centered_log_residual_520nm,centered_log_residual_530nm,centered_log_residual_540nm,centered_log_residual_550nm,centered_log_residual_560nm,centered_log_residual_570nm,centered_log_residual_580nm,centered_log_residual_590nm,centered_log_residual_600nm,centered_log_residual_610nm,centered_log_residual_620nm,centered_log_residual_630nm,centered_log_residual_640nm,centered_log_residual_650nm,centered_log_residual_660nm,centered_log_residual_670nm,centered_log_residual_680nm,centered_log_residual_690nm,centered_log_residual_700nm
p003,p003_neutral_front,left_cheek,-0.01012367833771722,0.13456097090777605,6.284047709759473,-0.37007265287429936,-0.2804692221248424,-0.04763061955893554,0.08041476461245711,0.11184188034442233,0.1520746829242834,0.13604016077022618,0.15698255590718468,0.1981914579895303,0.16347669474978277,0.11836944546186623,0.12715083634801694,0.05914960642041912,0.0028369312565692598,-0.052334995320128634,-0.15414652798354345,-0.055487434681676266,-0.1457455825978482,-0.1817024563298062,0.10473890146083087,0.15776637171810826,0.03034133626861136,0.03606229822611529,0.0028877633795816385,0.01045838069001593,-0.10166813502945432,-0.010388391799063305,-0.08773913493504659,0.0033838730661933172,-0.13093159669386606,-0.03385119166570482
p003,p003_neutral_front,right_cheek,0.009681733334597485,0.19749814358904505,10.896273090928577,-0.7549818167745496,-0.5563472198616771,-0.24251094429168812,-0.10286465376242243,-0.029037109093618285,0.019695382888909985,0.10712217464745205,0.13467376684088644,0.16741758046607208,0.17479496737769679,0.15758201171305736,0.14436042928212417,0.10452084920426225,0.08882108936773264,0.06806141943117888,-0.049419036952037254,-0.04908799904306077,-0.0803889403316364,0.004044247065473407,0.08860677844720893,0.037198201383369434,-0.038696843817405735,0.055994626510274925,0.03796389792764693,0.06780093067453136,0.011280545085775641,0.12244159115914127,0.004004854443130425,0.19687369637977453,-0.017508300594181903,0.12758382422657816
p004,p004_neutral_front,left_cheek,-0.007528468665991541,0.1451989481322604,6.4500682770935045,-0.46838705449267193,-0.30088643454541164,-0.0518401148777723,0.06517203327710662,0.0576454339993333,0.13404220044183535,0.13165320341311615,0.1636809551008671,0.2209244165008195,0.16932174077707884,0.13929574955510748,0.1564250620737433,0.09406854065712776,0.04237645674908163,-0.023672754700309058,-0.19282167283527096,-0.07089720841477144,-0.15086691947580277,-0.20142915474061596,0.03527442163934657,0.11690614680861931,0.01676721352914167,0.025871599199030808,0.01156414686139339,0.02651929259168661,-0.08091994259640801,0.010129849849035191,-0.05063900243359066,0.034337153878221886,-0.076342665821109,0.01672730803204136
p004,p004_neutral_front,right_cheek,0.012084441768534548,0.22349509677388663,12.631264265840983,-0.8518480860434281,-0.6031123364389349,-0.2890484846443863,-0.14860748505084068,-0.09199572054595154,-0.01249570045815821,0.07351323288673259,0.10649951337237348,0.14684308083930162,0.15827214439757128,0.1655232870029034,0.170840086990068,0.13781289165396635,0.11446333381552196,0.07874979246135969,-0.09617702059255376,-0.0581106955025689,-0.08879945562735228,-0.023735105974957683,0.05273290565653251,0.04144671142721109,-0.015095159580308081,0.07994201101534179,0.07959804859462291,0.11668981059494063,0.05839154713781488,0.1661091568455488,0.051038089214752246,0.25003557517194847,0.038678929651938275,0.19184510172899047
p005,p005_neutral_front,left_cheek,-0.005759542794052559,0.15155885373103525,6.86580068413651,-0.545720071830848,-0.3404004783059348,-0.0776537291143179,0.048208687144919334,0.07858241014647394,0.1324159892309772,0.12628067045743496,0.15081200763758995,0.20922784478248324,0.1701529233368485,0.1389274553357841,0.14780749099971968,0.0837710343848076,0.04756495325530897,0.0036995687009250336,-0.1468099754330171,-0.05224580162454295,-0.12237974212202485,-0.14095993416687802,0.0791164238993659,0.12870302030770364,0.01682770502696363,0.03048360392231409,0.008453694506749827,0.020407507946504595,-0.08951079187352584,0.0032042991543064295,-0.06239238056041895,0.03177251959731576,-0.0882552992275123,0.009908394484524193
p005,p005_neutral_front,right_cheek,0.012041598549242085,0.23989423893033562,13.66725411156292,-0.9305041815729626,-0.6662504958956192,-0.343021697327166,-0.18318557880381497,-0.0754922387718972,-0.027274584708400107,0.02876265979135534,0.068427548125017,0.11421131746804664,0.14101350291681253,0.15080641600356431,0.15216199950298998,0.12745303323973084,0.134668170668034,0.12158261127962705,-0.007906354962093633,-0.007974459207522768,-0.04319616418191358,0.04651754190524199,0.11009148693439236,0.054976571761925996,-0.012465893694590004,0.0832462843150164,0.07802979422750772,0.11518130109513974,0.057573061667854086,0.16611337274503485,0.05508342542499628,0.25168014772205877,0.04438753555450531,0.19530386677712847
p006,p006_neutral_front,left_cheek,-0.008258777025430692,0.14962775603595888,6.828263568033267,-0.4897786351441123,-0.30208730976034587,-0.05350856851158088,0.06280763534823912,0.10911788270876814,0.14138671010078588,0.14684839670405095,0.17182136664878592,0.21751504935325286,0.19153800287873116,0.1340502190527845,0.13020791101586396,0.07050604071340232,0.01767822198783768,-0.04448957101870572,-0.15821351780035994,-0.09844466580688212,-0.16576958622338397,-0.19924511176777546,0.038590056602699915,0.1165800087349002,0.0308845248596991,0.07103923384261794,0.03873972232212046,0.038027639673911914,-0.08190633340805549,0.0038623143498720935,-0.06703460745698038,0.02383013781211378,-0.09596383325609832,0.0014106654438425358
p006,p006_neutral_front,right_cheek,0.01488676104960099,0.25417827512561625,14.818246310360182,-0.9685682366620678,-0.7012821688080703,-0.376343956705065,-0.21857790667425495,-0.10122895671416346,-0.05419213263398928,0.004434797051455412,0.04336013145705139,0.08251416952116405,0.12449705412897191,0.1348006364824995,0.13919010745060553,0.1200494755939788,0.11180047114411282,0.09427843403345113,-0.02551712615160065,-0.009279048789604756,-0.044387960129059684,0.02792307164060301,0.1165682697689375,0.08830955970593565,0.0373233723452194,0.14385509237474245,0.13241233959475993,0.15908036378990018,0.09609691421877717,0.1962025780738302,0.08279003674391658,0.275317476799626,0.0704167279897889,0.21815641335854805
p007,p007_neutral_front,left_cheek,-0.007942956949889819,0.16937432353073373,7.646940291530701,-0.5525641029289033,-0.37460652835579206,-0.12272195060404918,0.001925446952420291,0.08752305485601901,0.11561042668243508,0.1401200251577476,0.17549017555252835,0.24152137620101613,0.23439956827566957,0.19771642830301986,0.18789219598540532,0.125010075035395,0.06428917334248412,-0.006041795437745261,-0.09118954761885008,-0.0908539037534198,-0.18653847820960542,-0.24992233282875928,-0.00933080510305702,0.09343657941318188,0.020549011084042765,0.0763529449530606,0.037823558078661154,0.03867153239837588,-0.07292405082173777,0.01649123981253002,-0.055744827364883134,0.03763214198530544,-0.08761698767629751,0.0076003566338016925
p007,p007_neutral_front,right_cheek,0.01383134040078555,0.29971733125241834,18.12968260725619,-1.0951212661375673,-0.8098922071076374,-0.46823251393383397,-0.30766084611058636,-0.1588475724110741,-0.1075681374074345,-0.05921604317172197,-0.0033771988732234724,0.05966627401949525,0.11830478476889954,0.14684412462442958,0.15545622865483394,0.13731756549039836,0.13718795271750278,0.11420982873012313,0.02518979460158926,-0.0049990066938737174,-0.05956732618544864,0.0006931732382954772,0.10747519075558969,0.11610563686945145,0.0871213459368833,0.2156355760566248,0.19085199006213321,0.21276662034137023,0.15108993706018453,0.2478588661399838,0.1357031781980091,0.3316154466935523,0.1204843151737524,0.26290428789930015
p008,p008_neutral_front,left_cheek,0.036206174121434724,0.23187612141707145,12.760951616731667,-0.5418062453102604,-0.46111772980394244,-0.43307381841101183,-0.5133920786398999,-0.434684260194885,-0.22139006794509525,0.023914169096426692,0.09323470802470651,0.16767776734000012,0.17311807716772282,0.18380761719259625,0.0903318059934049,0.013684526010840532,0.11451806535459835,0.07835986314071614,-0.152436467279138,-0.017413816222922866,-0.07187931258104902,0.022339173654001128,0.0859787463865232,0.15901455783570523,0.20523186838665292,0.16966819821503026,0.1811316430028173,0.2068203242083983,0.16136259041418982,0.1438567959775739,0.10032467492130087,0.20204597350768533,0.12832522955095854,0.14244742100635516
p008,p008_neutral_front,right_cheek,0.05878466283825002,0.3011759738275063,17.62077613381243,-0.7004516806482268,-0.5961210472011955,-0.5268145632938157,-0.5964360111613811,-0.5260109342459365,-0.3116985290770271,-0.10797582742499312,-0.02595182174069422,0.014640420210669351,0.06422172598458631,0.11718239016462895,0.03641466494976319,-0.0007083878190781226,0.0878839963546767,0.06437221880739408,-0.11796394416462475,0.014561260448284312,-0.07884614956023417,0.034606781315456685,0.10388471709691793,0.17384194140075349,0.2532675859902056,0.2733661851750876,0.2891524140270604,0.32576326520253895,0.3058228242309986,0.2789865570449932,0.21139708138978863,0.40110229356521676,0.23666312446374305,0.3018474485144431
p009,p009_neutral_front,left_cheek,0.004060347149714146,0.1856992098928253,9.427193022362447,-0.7147863080613189,-0.5053520764501639,-0.24825004369908676,-0.1580382930617924,-0.020625849702530116,0.002291648569538677,0.07429889611218432,0.18120208872609045,0.21630793540129878,0.2022209161170404,0.14225042861123416,0.10415471326711268,0.08217266986992333,0.12728576503581268,0.09364609025589787,-0.006956464322554031,-0.0021385428611068145,0.03668273707509562,0.01299312366618011,0.06160695052738052,0.07798072721096816,-0.007084243445745538,0.030718113228600633,0.0002524453604128042,0.034599493931839365,-0.03385623742411059,0.037245756120891316,0.01592994630700573,0.0787276616337994,0.024382663810046837,0.06013728819005515
p009,p009_neutral_front,right_cheek,0.022785568234687366,0.33951587481799844,21.103401475287384,-1.1440217508279737,-0.898326685900551,-0.5632515925694248,-0.44060910970941136,-0.23501779152945645,-0.2002485385766848,-0.16217140375659422,-0.04075661374018536,-0.0107808943304133,0.04562596604217583,0.07836502201006645,0.08389524421786221,0.10139874763607337,0.14544739039527554,0.12561598429263543,0.06177336216860518,0.07081474108941732,0.07359116515768482,0.08952627793207957,0.15888604567893116,0.1543506873009055,0.10337918993966899,0.20517024358712765,0.19180028937784832,0.2507857339691699,0.2273439641613968,0.3074697923779841,0.2364102779113506,0.40075752019816746,0.24654005227108078,0.3362366832251884
p010,p010_neutral_front,left_cheek,-0.0068708693147558255,0.14154182454827008,6.473976217131693,-0.457087953677155,-0.32766696473057705,-0.08569839596724556,0.016716253279316744,0.13049605640755763,0.15216542701033337,0.10623024703817278,0.16616762284951053,0.19766252025473946,0.16570471604428455,0.12614911950872448,0.11494658180574062,0.07556344908607408,0.04915150165404596,-0.01405696413051489,-0.09840714071847352,-0.0046956923974546625,-0.07479417634178283,-0.17012531332525255,0.0850202163603379,0.17530579616537928,0.0421319736157209,0.02483803811107959,-0.024537464376435288,-0.0028573377282369947,-0.0871322118623324,-0.021688184259662464,-0.07181634347851286,-0.013599450381041387,-0.09961840585922523,-0.07446751995711516
p010,p010_neutral_front,right_cheek,0.014877001085883659,0.2307074835604364,12.909494524150048,-0.8694544041942878,-0.6517186975357196,-0.3487793560736405,-0.2355500287115009,-0.07517810977861375,-0.039250205462394244,0.049204904893802554,0.1360858298476055,0.1485764126991784,0.17532250170867011,0.16656726816872133,0.14210751246029682,0.1369398706016902,0.1552587923160482,0.13650019233639152,0.039547353535177326,0.03158112064318927,0.03519890629471642,0.07508986448489738,0.1065163217827498,0.048916528618948324,-0.03192667002577346,0.04779471029475332,0.01783445452228369,0.06349970944394753,0.03927288820927696,0.1225500720190019,0.03373178845557687,0.19784278093709104,0.03117163243868801,0.11474605506922783
p011,p011_neutral_front,left_cheek,-0.008917845518609805,0.1300046578171671,6.114259250821403,-0.32644306706017473,-0.29022834525025826,-0.07830884135047872,0.02300214812534768,0.07030900701655635,0.14407375427717545,0.11602276153401242,0.17867731696765304,0.21159489039011975,0.16664568324004242,0.13588505992561267,0.1335835438545367,0.08751962778608663,0.045355454556912755,-0.04853736755605259,-0.16488880244717868,-0.03997504665452617,-0.10117894494697138,-0.21195260378907171,0.039757268655253364,0.15819778288237002,0.041333798352975626,0.026346777051510843,-0.01675944335153323,0.005099529269561923,-0.07848581438717411,-0.014384074582265201,-0.06293220392287141,-0.0050778924293815,-0.08703184236479339,-0.05722011379299663
