wavelength_nm,train_median_signed_residual,validation_median_signed_residual,abs_change,same_sign
400,-0.18896519120134853,-0.1770097874737558,0.01195540372759274,True
410,-0.11441985512122638,-0.11945324156299247,0.005033386441766097,True
690,-0.027016557881652775,-0.0487695859470591,0.021753028065406327,True
700,0.005447210476040604,-0.017565917471887182,0.023013127947927786,False
